player,team,matches,shots,xg,goals,goals_minus_xg
Nuno Albertino Varela Tavares,Marseille,2,8,0.3,0.0,-0.3
Nishu Kumar Tashni,Kerala Blasters,7,11,1.3,1.0,-0.3
Ashutosh Mehta,ATK Mohun Bagan,6,7,0.31,0.0,-0.31
Marcos Paulo Mesquita Lopes,Troyes,1,5,0.32,0.0,-0.32
Georginio Wijnaldum,Paris Saint-Germain,8,11,1.32,1.0,-0.32
Nongdamba Singh Naorem,Goa,4,5,0.33,0.0,-0.33
Mattéo Guendouzi Olié,Marseille,4,8,0.34,0.0,-0.34
Narayan Das,Chennaiyin,5,5,0.34,0.0,-0.34
Seminlen Doungel,Jamshedpur,13,24,2.35,2.0,-0.35
Benjamin Henrichs,RB Leipzig,2,6,0.35,0.0,-0.35
Eduardo Bedia Peláez,Goa,15,37,1.36,1.0,-0.36
Hitesh Sharma,Hyderabad,4,6,0.36,0.0,-0.36
Lallianzuala Chhangte,Mumbai City,6,10,0.36,0.0,-0.36
Cengiz Ünder,Marseille,3,7,0.37,0.0,-0.37
Seriton Fernandes,Goa,5,6,0.38,0.0,-0.38
Ermedin Demirović,Augsburg,2,6,0.39,0.0,-0.39
Pritam Kotal,ATK Mohun Bagan,8,9,1.39,1.0,-0.39
Lallianzuala Chhangte,Chennaiyin,7,16,1.4,1.0,-0.4
Aniket Anil Jadhav,Hyderabad,14,37,2.4,2.0,-0.4
Glan Martins,Goa,7,15,0.41,0.0,-0.41
Parag Satish Shrivas,Bengaluru,5,6,0.41,0.0,-0.41
Iván Garrido González,Goa,5,5,1.42,1.0,-0.42
Alexis Alejandro Sánchez Sánchez,Marseille,2,6,0.42,0.0,-0.42
Suhair Vadakkepeedika,NorthEast United,18,46,3.43,3.0,-0.43
Mohammad Mobashir Rahman,Jamshedpur,7,12,0.43,0.0,-0.43
Hugo Ekitike,Paris Saint-Germain,10,19,2.44,2.0,-0.44
Víctor Mongil Adeva,Odisha,5,5,0.44,0.0,-0.44
Dango Aboubacar Faissal Ouattara,Lorient,2,7,0.44,0.0,-0.44
Bijoy Varghese,Kerala Blasters,4,6,0.44,0.0,-0.44
Jonathan David,Lille,3,14,2.46,2.0,-0.46
Patrick Flottmann,NorthEast United,5,8,1.46,1.0,-0.46
Suresh Singh Wangjam,Bengaluru,8,11,0.47,0.0,-0.47
Syed Suhail Pasha,Chennaiyin,5,5,0.47,0.0,-0.47
