match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3837727,Paris Saint-Germain,27,14.55,4.99,3.32
3837727,OGC Nice,23,11.83,4.86,2.66
3837747,Paris Saint-Germain,31,17.97,4.93,3.62
3837747,Marseille,32,12.9,4.95,2.81
3837752,AC Ajaccio,35,16.45,5.52,3.02
3837752,Paris Saint-Germain,31,13.91,5.24,2.92
3837771,Troyes,33,17.01,4.99,3.34
3837771,Paris Saint-Germain,26,14.39,5.67,2.86
3837785,Paris Saint-Germain,34,14.55,4.98,2.86
3837785,Auxerre,28,14.15,5.14,2.64
3837818,Angers,26,18.33,5.24,3.66
3837818,Paris Saint-Germain,25,11.44,5.21,2.49
3837827,Rennes,29,14.56,4.77,3.06
3837827,Paris Saint-Germain,17,11.98,4.84,2.78
3837839,Paris Saint-Germain,29,15.86,4.97,3.48
3837839,Stade de Reims,36,14.33,5.46,2.73
3837844,Montpellier,48,13.48,4.22,3.61
3837844,Paris Saint-Germain,33,13.07,4.89,2.82
3837859,Toulouse,24,15.6,4.59,3.59
3837859,Paris Saint-Germain,30,16.03,4.55,3.47
3837876,Paris Saint-Germain,26,15.72,5.1,3.11
3837876,Lille,22,12.53,4.67,2.98
3837885,Marseille,36,13.17,4.46,3.14
3837885,Paris Saint-Germain,17,10.14,4.34,2.23
3837896,Nantes,26,14.73,4.92,3.35
3837896,Paris Saint-Germain,32,13.07,4.69,3.09
3837902,Paris Saint-Germain,32,16.54,5.01,3.39
3837902,Stade Brestois,26,16.17,5.15,3.34
3837918,Rennes,21,15.96,5.02,3.47
3837918,Paris Saint-Germain,27,14.7,5.26,2.77
3837928,Lyon,39,13.9,3.43,4.01
3837928,Paris Saint-Germain,39,14.64,5.56,2.66
3837938,OGC Nice,31,14.38,4.98,3.43
3837938,Paris Saint-Germain,22,14.22,5.27,3.02
3837947,Lens,21,11.76,4.57,2.71
3837947,Paris Saint-Germain,22,9.7,5.28,1.99
3837954,Angers,35,14.84,4.91,3.05
3837954,Paris Saint-Germain,21,13.68,5.79,2.65
3837963,Lorient,28,15.01,4.72,3.71
3837963,Paris Saint-Germain,24,14.8,4.81,3.49
3837987,AC Ajaccio,24,15.08,4.57,3.63
3837987,Paris Saint-Germain,20,10.7,5.01,2.43
3837998,Auxerre,18,14.56,4.65,3.33
3837998,Paris Saint-Germain,24,15.73,5.55,3.1
3838004,Strasbourg,21,13.28,4.5,3.18
3838004,Paris Saint-Germain,23,14.18,5.36,2.69
3838017,Clermont Foot,28,14.7,4.04,3.92
3838017,Paris Saint-Germain,20,12.43,4.59,2.99
3895052,RB Leipzig,27,16.77,5.03,3.63
3895052,Bayer Leverkusen,26,14.27,4.58,2.92
3895060,Bayer Leverkusen,28,19.03,4.73,4.03
3895060,Borussia Mönchengladbach,28,18.67,5.42,3.53
3895067,Darmstadt 98,27,14.7,4.2,3.68
3895067,Bayer Leverkusen,44,16.82,5.32,3.32
3895074,Bayern Munich,34,13.18,4.74,3.99
3895074,Bayer Leverkusen,32,14.79,4.63,3.11
3895086,Bayer Leverkusen,29,13.17,4.41,3.4
3895086,FC Heidenheim,18,19.64,5.38,3.35
3895095,Bayer Leverkusen,25,14.11,4.68,3.77
3895095,FSV Mainz 05,32,11.64,4.15,2.77
3895107,FC Köln,21,12.21,4.55,3.2
3895107,Bayer Leverkusen,31,11.49,4.5,2.86
3895113,Wolfsburg,30,14.87,4.72,3.37
3895113,Bayer Leverkusen,36,13.63,4.95,2.96
3895121,Bayer Leverkusen,31,12.57,4.14,3.23
3895121,Freiburg,19,11.08,4.82,2.92
3895134,Hoffenheim,28,18.21,4.81,4.17
3895134,Bayer Leverkusen,29,16.83,5.14,3.6
3895139,Bayer Leverkusen,28,16.59,5.36,3.06
3895139,Union Berlin,24,11.23,4.43,2.65
3895153,Werder Bremen,33,13.78,4.77,3.13
3895153,Bayer Leverkusen,26,14.74,4.82,3.03
3895158,Borussia Dortmund,24,15.17,4.09,4.0
3895158,Bayer Leverkusen,43,14.47,4.87,3.15
3895167,Bayer Leverkusen,31,18.4,5.09,3.6
3895167,VfB Stuttgart,31,12.91,4.72,3.11
3895180,Bayer Leverkusen,40,14.67,4.62,3.16
3895180,Eintracht Frankfurt,27,13.43,5.1,2.83
3895182,Bochum,26,11.21,3.32,3.72
3895182,Bayer Leverkusen,26,16.54,4.99,3.35
3895194,Augsburg,28,15.77,4.0,3.74
3895194,Bayer Leverkusen,32,12.9,4.37,3.23
