match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
3895180,Eintracht Frankfurt,Eric Junior Dina Ebimbe,30,2.0,4.0,8,13.33,71,38.03
3837998,Paris Saint-Germain,Warren Zaire Emery,30,3.0,7.0,6,23.33,93,29.03
3837896,Nantes,Florent Mollet,30,4.0,3.0,2,10.0,69,39.13
3837771,Troyes,Xavier Chavalerin,30,8.0,6.0,5,20.0,86,31.4
3817855,Kerala Blasters,Adrián Nicolás Luna Retamar,30,5.0,7.0,5,23.33,98,27.55
3895194,Augsburg,Arne Maier,30,2.0,2.0,4,6.67,34,79.41
3837938,Paris Saint-Germain,Vitor Machado Ferreira,30,8.0,4.0,2,13.33,92,29.35
3837938,Paris Saint-Germain,Achraf Hakimi Mouh,30,6.0,10.0,7,33.33,93,29.03
3895244,Bayer Leverkusen,Amine Adli,30,8.0,9.0,7,30.0,87,31.03
3817901,Jamshedpur,Boris Singh Thangjam,30,7.0,9.0,11,30.0,73,36.99
3817890,Goa,Glan Martins,30,9.0,8.0,6,26.67,94,28.72
3837987,AC Ajaccio,Thomas Mangani,29,3.0,5.0,0,17.24,79,33.04
3802795,Rennes,Benjamin Bourigeaud,29,7.0,3.0,7,10.34,79,33.04
3837938,OGC Nice,Aaron Ramsey,29,7.0,5.0,9,17.24,80,32.63
3802665,Paris Saint-Germain,Ángel Fabián Di María Hernández,29,5.0,8.0,13,27.59,88,29.66
3802709,Saint-Étienne,Denis Bouanga,29,7.0,4.0,13,13.79,71,36.76
3817900,Chennaiyin,Anirudh Thapa,29,4.0,4.0,5,13.79,95,27.47
3837954,Angers,Batista Mendy,29,3.0,6.0,4,20.69,88,29.66
3837752,AC Ajaccio,Vincent Marchetti,29,8.0,7.0,4,24.14,89,29.33
3837859,Paris Saint-Germain,Vitor Machado Ferreira,29,6.0,4.0,10,13.79,93,28.06
3895107,FC Köln,Dejan Ljubicic,29,1.0,2.0,8,6.9,88,29.66
3895210,Borussia Mönchengladbach,Kouadio Emmanuel Koné,29,4.0,3.0,1,10.34,78,33.46
3813266,Chennaiyin,Keisham Reagan Singh,29,7.0,10.0,6,34.48,92,28.37
3813277,Mumbai City,Ahmed Jahouh,29,5.0,13.0,3,44.83,94,27.77
3895134,Hoffenheim,Finn Ole Becker,29,3.0,4.0,4,13.79,77,33.9
3895153,Werder Bremen,Leonardo Bittencourt,29,6.0,4.0,5,13.79,71,36.76
3895244,FC Heidenheim,Lennard Maloney,29,6.0,6.0,3,20.69,92,28.37
3802809,Rennes,Gaëtan Laborde,29,3.0,2.0,15,6.9,96,27.19
3802805,OGC Nice,Flavius Daniliuc,29,7.0,6.0,4,20.69,77,33.9
3895086,FC Heidenheim,Jan-Niklas Beste,28,1.0,3.0,5,10.71,81,31.11
3837918,Paris Saint-Germain,Marco Verratti,28,6.0,4.0,5,14.29,95,26.53
3895060,Borussia Mönchengladbach,Julian Weigl,28,7.0,6.0,1,21.43,91,27.69
3837659,Paris Saint-Germain,Marco Verratti,28,6.0,9.0,13,32.14,85,29.65
3895210,Bayer Leverkusen,Jonas Hofmann,28,7.0,6.0,21,21.43,83,30.36
3837918,Rennes,Lesley Chimuanya Ugochukwu,28,3.0,6.0,5,21.43,77,32.73
3827337,Jamshedpur,Ritwik Kumar Das,28,4.0,8.0,11,28.57,91,27.69
3895302,Werder Bremen,Nick Woltemade,28,4.0,1.0,11,3.57,68,37.06
3895182,Bochum,Matúš Bero,28,5.0,2.0,9,7.14,86,29.3
3895333,Eintracht Frankfurt,Eric Junior Dina Ebimbe,28,7.0,11.0,13,39.29,79,31.9
3837963,Lorient,Darlin Zidane Yongwa Ngameni,28,4.0,6.0,9,21.43,93,27.1
3813316,NorthEast United,Rochharzela Rochharzela,28,5.0,3.0,9,10.71,94,26.81
3817891,East Bengal,Naocha Huidrom Singh,28,8.0,9.0,5,32.14,92,27.39
3837885,Marseille,Valentin Rongier,28,1.0,8.0,2,28.57,91,27.69
3837896,Paris Saint-Germain,Vitor Machado Ferreira,28,9.0,8.0,12,28.57,92,27.39
3802752,Lyon,Maxence Caqueret,28,5.0,4.0,4,14.29,92,27.39
3813318,Mumbai City,Lalengmawia Ralte,28,10.0,16.0,7,57.14,93,27.1
3837928,Lyon,Alexandre Lacazette,28,4.0,4.0,7,14.29,68,37.06
3895220,Darmstadt 98,Bartol Franjić,28,4.0,0.0,1,0.0,80,31.5
3817886,Kerala Blasters,Sahal Abdul Samad,28,4.0,7.0,4,25.0,65,38.77
3802696,Stade de Reims,Marshall Nyasha Munetsi,28,4.0,9.0,4,32.14,94,26.81
3802818,Paris Saint-Germain,Idrissa Gana Gueye,28,8.0,8.0,7,28.57,92,27.39
3817862,Mumbai City,Bipin Singh Thounajam,28,3.0,9.0,5,32.14,85,29.65
3813296,NorthEast United,Suhair Vadakkepeedika,28,3.0,9.0,4,32.14,90,28.0
3895052,RB Leipzig,Daniel Olmo Carvajal,28,3.0,4.0,6,14.29,93,27.1
3817891,East Bengal,Lalrinliana Hnamte,27,3.0,5.0,9,18.52,58,41.9
3837963,Paris Saint-Germain,Marco Verratti,27,7.0,6.0,4,22.22,93,26.13
3837839,Stade de Reims,Marshall Nyasha Munetsi,27,2.0,5.0,5,18.52,74,32.84
3802676,Lens,Florian Sotoca,27,1.0,5.0,4,18.52,81,30.0
3895202,Bayer Leverkusen,Florian Wirtz,27,7.0,6.0,12,22.22,90,27.0
3895153,Werder Bremen,Jens Stage,27,1.0,2.0,4,7.41,91,26.7
