player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Jens Stage,Werder Bremen,12,11.0,0.92,6.0,0.83
Yannick Gerhardt,Wolfsburg,12,11.0,0.92,2.0,1.0
Wout Weghorst,Hoffenheim,11,10.0,0.91,4.0,1.25
Bernardo Fernandes da Silva Junior,Bochum,11,10.0,0.91,5.0,1.2
Maximilian Beier,Hoffenheim,10,9.0,0.9,2.0,1.5
Stefan Bell,FSV Mainz 05,10,9.0,0.9,5.0,1.4
Nicolas Höfler,Freiburg,21,19.0,0.9,7.0,1.43
Kevin Sessa,FC Heidenheim,10,9.0,0.9,4.0,1.0
Mitchell Weiser,Werder Bremen,38,34.0,0.89,16.0,1.5
Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,9,8.0,0.89,3.0,1.0
Hiroki Ito,VfB Stuttgart,19,17.0,0.89,10.0,1.7
Arne Maier,Augsburg,18,16.0,0.89,9.0,1.33
Emir Karic,Darmstadt 98,27,24.0,0.89,10.0,1.8
Kevin Trapp,Eintracht Frankfurt,26,23.0,0.88,17.0,1.18
Jadon Sancho,Borussia Dortmund,8,7.0,0.88,4.0,1.0
Florian Kainz,FC Köln,8,7.0,0.88,5.0,1.0
Leandro Barreiro Martins,FSV Mainz 05,24,21.0,0.88,11.0,0.82
Niklas Dorsch,Augsburg,24,21.0,0.88,9.0,1.22
Denis Huseinbašić,FC Köln,17,15.0,0.88,6.0,1.17
Patrik Schick,Bayer Leverkusen,75,65.0,0.87,21.0,1.29
Bartol Franjić,Darmstadt 98,15,13.0,0.87,2.0,2.0
Omar Haktab Traorè,FC Heidenheim,38,33.0,0.87,16.0,1.63
Serhou Guirassy,VfB Stuttgart,15,13.0,0.87,2.0,0.5
Noah Mbamba,Bayer Leverkusen,7,6.0,0.86,4.0,1.25
Rani Khedira,Union Berlin,7,6.0,0.86,3.0,1.33
Felix Kalu Nmecha,Borussia Dortmund,7,6.0,0.86,2.0,2.0
Edmond Fayçal Tapsoba,Bayer Leverkusen,688,595.0,0.86,360.0,1.19
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,13,11.0,0.85,6.0,1.33
Maximilian Wöber,Borussia Mönchengladbach,20,17.0,0.85,16.0,0.94
Jonathan Tah,Bayer Leverkusen,650,550.0,0.85,345.0,1.2
Senne Lynen,Werder Bremen,26,22.0,0.85,6.0,1.17
Michael Zetterer,Werder Bremen,50,42.0,0.84,30.0,1.3
Nick Woltemade,Werder Bremen,6,5.0,0.83,0.0,
Ozan Muhammed Kabak,Hoffenheim,18,15.0,0.83,12.0,0.92
Arne Engels,Augsburg,6,5.0,0.83,1.0,0.0
Omar Marmoush,Eintracht Frankfurt,12,10.0,0.83,3.0,2.0
Marius Bülter,Hoffenheim,12,10.0,0.83,2.0,2.0
Jae-Sung Lee,FSV Mainz 05,23,19.0,0.83,10.0,1.1
Eric Martel,FC Köln,11,9.0,0.82,2.0,1.5
Amine Adli,Bayer Leverkusen,148,121.0,0.82,45.0,1.16
Grischa Prömel,Hoffenheim,21,17.0,0.81,13.0,1.08
Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,26,21.0,0.81,7.0,1.14
Thomas Poppler Isherwood,Darmstadt 98,5,4.0,0.8,2.0,2.0
Anthony Losilla,Bochum,20,16.0,0.8,6.0,1.67
Mattias Svanberg,Wolfsburg,5,4.0,0.8,2.0,0.5
Kevin Akpoguma,Hoffenheim,19,15.0,0.79,7.0,1.14
Joseph Scally,Borussia Mönchengladbach,23,18.0,0.78,9.0,1.22
Gerrit Holtmann,Darmstadt 98,9,7.0,0.78,3.0,1.0
Alex Král,Union Berlin,23,18.0,0.78,7.0,1.29
Robert Skov,Hoffenheim,18,14.0,0.78,6.0,2.0
Serge Gnabry,Bayern Munich,9,7.0,0.78,3.0,1.67
Enzo Millot,VfB Stuttgart,35,27.0,0.77,7.0,2.0
Atakan Karazor,VfB Stuttgart,30,23.0,0.77,6.0,1.33
Philipp Lienhart,Freiburg,13,10.0,0.77,8.0,1.25
Silvan Widmer,FSV Mainz 05,13,10.0,0.77,7.0,0.71
Alejandro Grimaldo García,Bayer Leverkusen,793,602.0,0.76,219.0,1.65
Deniz Undav,VfB Stuttgart,21,16.0,0.76,11.0,1.09
Josuha Guilavogui,FSV Mainz 05,8,6.0,0.75,4.0,1.0
Tim Kleindienst,FC Heidenheim,16,12.0,0.75,1.0,1.0
Noussair Mazraoui,Bayern Munich,35,26.0,0.74,8.0,1.88
Josip Stanišić,Bayer Leverkusen,320,237.0,0.74,101.0,1.23
Rasmus Carstensen,FC Köln,23,17.0,0.74,12.0,0.92
Jeremie Frimpong,Bayer Leverkusen,381,282.0,0.74,92.0,1.54
Patrick Osterhage,Bochum,19,14.0,0.74,5.0,0.8
Jeffrey Gouweleeuw,Augsburg,22,16.0,0.73,14.0,0.93
Luca Pfeiffer,Darmstadt 98,15,11.0,0.73,3.0,1.0
Tomáš Koubek,Augsburg,15,11.0,0.73,11.0,1.0
Kevin Kampl,RB Leipzig,11,8.0,0.73,1.0,2.0
Milos Veljkovic,Werder Bremen,43,31.0,0.72,12.0,1.92
Aleksandar Pavlović,Bayern Munich,18,13.0,0.72,6.0,1.0
Julian Ryerson,Borussia Dortmund,29,21.0,0.72,6.0,2.0
Ridle Bote Baku,Wolfsburg,28,20.0,0.71,10.0,0.9
Kevin Vogt,Union Berlin,17,12.0,0.71,10.0,0.8
