match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3813303,ATK Mohun Bagan,69.0,1.507,60.87,27.54,11.59,Low Block,42.0,19.0,8.0
3813303,Goa,47.0,1.66,48.94,36.17,14.89,Balanced,23.0,17.0,7.0
3813304,East Bengal,76.0,1.224,80.26,17.11,2.63,Low Block,61.0,13.0,2.0
3813304,Hyderabad,54.0,1.556,55.56,33.33,11.11,Low Block,30.0,18.0,6.0
3813305,Hyderabad,44.0,1.568,52.27,38.64,9.09,Low Block,23.0,17.0,4.0
3813305,Kerala Blasters,63.0,1.397,66.67,26.98,6.35,Low Block,42.0,17.0,4.0
3813306,ATK Mohun Bagan,75.0,1.373,69.33,24.0,6.67,Low Block,52.0,18.0,5.0
3813306,NorthEast United,65.0,1.538,60.0,26.15,13.85,Low Block,39.0,17.0,9.0
3813307,Bengaluru,46.0,1.261,80.43,13.04,6.52,Low Block,37.0,6.0,3.0
3813307,Jamshedpur,47.0,1.553,57.45,29.79,12.77,Low Block,27.0,14.0,6.0
3813308,Goa,70.0,1.4,67.14,25.71,7.14,Low Block,47.0,18.0,5.0
3813308,Odisha,48.0,1.438,62.5,31.25,6.25,Low Block,30.0,15.0,3.0
3813309,Chennaiyin,74.0,1.23,81.08,14.86,4.05,Low Block,60.0,11.0,3.0
3813309,Hyderabad,46.0,1.457,63.04,28.26,8.7,Low Block,29.0,13.0,4.0
3813310,East Bengal,54.0,1.259,75.93,22.22,1.85,Low Block,41.0,12.0,1.0
3813310,Kerala Blasters,38.0,1.421,65.79,26.32,7.89,Low Block,25.0,10.0,3.0
3813311,Chennaiyin,77.0,1.273,74.03,24.68,1.3,Low Block,57.0,19.0,1.0
3813311,Jamshedpur,50.0,1.68,44.0,44.0,12.0,Balanced,22.0,22.0,6.0
3813312,ATK Mohun Bagan,39.0,1.385,69.23,23.08,7.69,Low Block,27.0,9.0,3.0
3813312,Mumbai City,31.0,1.387,67.74,25.81,6.45,Low Block,21.0,8.0,2.0
3813313,ATK Mohun Bagan,39.0,1.513,58.97,30.77,10.26,Low Block,23.0,12.0,4.0
3813313,Odisha,61.0,1.393,62.3,36.07,1.64,Low Block,38.0,22.0,1.0
3813314,ATK Mohun Bagan,85.0,1.306,74.12,21.18,4.71,Low Block,63.0,18.0,4.0
3813314,Kerala Blasters,42.0,1.738,47.62,30.95,21.43,Balanced,20.0,13.0,9.0
3813315,Goa,40.0,1.2,82.5,15.0,2.5,Low Block,33.0,6.0,1.0
3813315,Jamshedpur,47.0,1.447,68.09,19.15,12.77,Low Block,32.0,9.0,6.0
3813316,Goa,38.0,1.605,52.63,34.21,13.16,Low Block,20.0,13.0,5.0
3813316,NorthEast United,67.0,1.433,65.67,25.37,8.96,Low Block,44.0,17.0,6.0
