match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
3895210,Borussia Mönchengladbach,Robin Hack,0.0,0.0,37.0,3.0,1.0,4.0,0.0,0.0,1.0,14.0,22.0,10.0,1.0,40.0,0.0,92.5,0.0,2.5,21.74,Balanced Defender
3837717,Lyon,Maxence Caqueret,0.0,4.0,35.0,1.0,3.0,4.0,3.0,3.0,6.0,19.0,26.0,11.0,2.0,40.0,50.0,87.5,10.0,5.0,19.64,Balanced Defender
3895194,Augsburg,Kevin Mbabu,0.0,1.0,33.0,6.0,4.0,1.0,2.0,1.0,6.0,30.0,9.0,14.0,0.0,40.0,16.67,82.5,2.5,0.0,26.42,Balanced Defender
3803000,Clermont Foot,Yohann Magnin,0.0,0.0,39.0,1.0,0.0,2.0,1.0,0.0,5.0,18.0,25.0,5.0,0.0,40.0,0.0,97.5,0.0,0.0,10.42,Balanced Defender
3817901,Jamshedpur,Jitendra Singh,0.0,0.0,33.0,7.0,0.0,5.0,1.0,2.0,5.0,15.0,26.0,10.0,2.0,40.0,40.0,82.5,0.0,5.0,19.61,Balanced Defender
3802690,Lorient,Laurent Abergel,0.0,5.0,34.0,1.0,0.0,8.0,2.0,0.0,4.0,41.0,11.0,2.0,1.0,40.0,0.0,85.0,12.5,2.5,3.7,Balanced Defender
3895210,Borussia Mönchengladbach,Julian Weigl,0.0,1.0,34.0,5.0,5.0,1.0,0.0,1.0,3.0,37.0,12.0,0.0,0.0,40.0,33.33,85.0,2.5,0.0,0.0,Balanced Defender
3838004,Strasbourg,Morgan Sanson,0.0,2.0,36.0,2.0,0.0,1.0,1.0,1.0,4.0,14.0,23.0,9.0,1.0,40.0,25.0,90.0,5.0,2.5,19.57,Balanced Defender
3813311,Chennaiyin,Vladimir Koman Jr.,0.0,4.0,32.0,4.0,1.0,1.0,0.0,0.0,8.0,20.0,27.0,3.0,1.0,40.0,0.0,80.0,10.0,2.5,6.0,Balanced Defender
3813267,East Bengal,Naorem Mahesh Singh,0.0,3.0,36.0,1.0,0.0,4.0,1.0,2.0,8.0,21.0,20.0,12.0,4.0,40.0,25.0,90.0,7.5,10.0,22.64,Balanced Defender
