team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Union Berlin,Sheraldo Becker,63.0,1.0,2.0,4.0,1.43,2.86,5.71,10.0,Progression Outlet
Clermont Foot,Mehdi Zeffane,45.0,2.0,1.0,2.0,4.0,2.0,4.0,10.0,Progressive Passer
Rennes,Amine Gouiri,108.0,2.0,4.0,6.0,1.67,3.33,5.0,10.0,Ball Carrier
Paris Saint-Germain,Juan Bernat Velasco,2173.0,43.0,52.0,146.0,1.78,2.15,6.05,9.98,Progression Outlet
Goa,Airam López Cabrera,759.0,24.0,15.0,45.0,2.85,1.78,5.34,9.969999999999999,Progression Outlet
Bayer Leverkusen,Piero Martín Hincapié Reyna,1520.0,88.0,34.0,46.0,5.21,2.01,2.72,9.94,Progressive Passer
East Bengal,Antonio Perošević,1134.0,21.0,52.0,52.0,1.67,4.13,4.13,9.93,Ball Carrier
Hyderabad,Halicharan Narzary,127.0,3.0,4.0,7.0,2.13,2.83,4.96,9.92,Progression Outlet
Paris Saint-Germain,Fabián Ruiz Peña,1594.0,79.0,30.0,66.0,4.46,1.69,3.73,9.88,Progressive Passer
Lille,Jonathan David,357.0,6.0,14.0,19.0,1.51,3.53,4.79,9.83,Ball Carrier
AC Ajaccio,Cyrille Bayala,55.0,0.0,3.0,3.0,0.0,4.91,4.91,9.82,Ball Carrier
Rennes,Lorenz Assignon,37.0,1.0,1.0,2.0,2.43,2.43,4.86,9.72,Progression Outlet
Chennaiyin,Rahim Ali,954.0,23.0,36.0,44.0,2.17,3.4,4.15,9.72,Ball Carrier
Paris Saint-Germain,Leandro Daniel Paredes,658.0,58.0,10.0,3.0,7.93,1.37,0.41,9.71,Progressive Passer
Jamshedpur,Seminlen Doungel,1122.0,28.0,50.0,43.0,2.25,4.01,3.45,9.71,Ball Carrier
Auxerre,M''Baye Babacar Niang,65.0,0.0,3.0,4.0,0.0,4.15,5.54,9.690000000000001,Ball Carrier
Odisha,Liridon Krasniqi,753.0,37.0,23.0,21.0,4.42,2.75,2.51,9.68,Progressive Passer
