match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
3895167,VfB Stuttgart,22,2.404,2.404,1.0,1.0,0.109
3895167,Bayer Leverkusen,19,1.532,1.532,1.0,1.0,0.081
3895180,Bayer Leverkusen,14,2.753,2.753,3.0,3.0,0.197
3895180,Eintracht Frankfurt,4,0.185,0.185,0.0,0.0,0.046
3895182,Bayer Leverkusen,16,3.401,2.617,4.0,3.0,0.174
3895182,Bochum,6,0.288,0.288,0.0,0.0,0.048
3895194,Bayer Leverkusen,25,1.576,1.576,1.0,1.0,0.063
3895194,Augsburg,4,0.316,0.316,0.0,0.0,0.079
3895202,Bayer Leverkusen,18,1.881,1.881,3.0,3.0,0.104
3895202,RB Leipzig,10,1.087,1.087,2.0,2.0,0.109
3895210,Bayer Leverkusen,28,2.561,2.561,0.0,0.0,0.091
3895210,Borussia Mönchengladbach,4,0.184,0.184,0.0,0.0,0.046
3895220,Bayer Leverkusen,20,1.952,1.952,2.0,2.0,0.098
3895220,Darmstadt 98,8,0.771,0.771,0.0,0.0,0.096
3895232,Bayer Leverkusen,14,1.034,1.034,3.0,3.0,0.074
3895232,Bayern Munich,9,0.618,0.618,0.0,0.0,0.069
3895244,Bayer Leverkusen,18,1.819,1.819,2.0,2.0,0.101
3895244,FC Heidenheim,6,0.457,0.457,1.0,1.0,0.076
3895250,FSV Mainz 05,13,1.141,1.141,1.0,1.0,0.088
3895250,Bayer Leverkusen,17,1.113,1.113,2.0,2.0,0.065
3895258,Bayer Leverkusen,17,1.293,1.293,2.0,2.0,0.076
3895258,FC Köln,6,0.686,0.686,0.0,0.0,0.114
3895266,Bayer Leverkusen,19,1.786,1.786,2.0,2.0,0.094
3895266,Wolfsburg,3,0.227,0.227,0.0,0.0,0.076
3895275,Bayer Leverkusen,19,2.596,2.596,3.0,3.0,0.137
3895275,Freiburg,11,0.931,0.931,2.0,2.0,0.085
3895286,Bayer Leverkusen,34,2.77,2.77,2.0,2.0,0.081
3895286,Hoffenheim,6,0.649,0.649,1.0,1.0,0.108
3895292,Bayer Leverkusen,20,2.564,1.78,1.0,0.0,0.094
3895292,Union Berlin,9,0.545,0.545,0.0,0.0,0.061
3895302,Bayer Leverkusen,20,3.004,2.221,5.0,4.0,0.117
3895302,Werder Bremen,7,0.684,0.684,0.0,0.0,0.098
3895309,Bayer Leverkusen,13,1.364,1.364,1.0,1.0,0.105
3895309,Borussia Dortmund,8,0.555,0.555,1.0,1.0,0.069
3895320,VfB Stuttgart,11,1.799,1.799,2.0,2.0,0.164
3895320,Bayer Leverkusen,14,1.653,1.653,2.0,2.0,0.118
3895333,Eintracht Frankfurt,17,1.442,1.442,1.0,1.0,0.085
3895333,Bayer Leverkusen,9,2.586,1.019,5.0,3.0,0.146
3895340,Bayer Leverkusen,29,4.302,3.518,5.0,4.0,0.126
3895340,Bochum,3,0.314,0.314,0.0,0.0,0.105
3895348,Bayer Leverkusen,20,2.165,2.165,2.0,2.0,0.108
3895348,Augsburg,10,0.78,0.78,1.0,1.0,0.078
