match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3817868,Germanpreet Singh,Chennaiyin,4,0.681,4.0,0.0,0.17,8.0,148.0,0.414,49.08
3817894,Lalruatthara Lalruatthara,Odisha,1,0.21,1.0,0.0,0.21,2.0,46.0,0.411,10.96
3895340,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,6,0.384,6.0,1.0,0.064,16.0,84.0,0.411,9.12
3895180,Patrik Schick,Bayer Leverkusen,4,0.328,4.0,0.0,0.082,5.0,72.0,0.41,12.68
3813282,Prasanth Karuthadathkuni,Kerala Blasters,3,0.163,3.0,0.0,0.054,8.0,36.0,0.408,11.17
3895348,Victor Okoh Boniface,Bayer Leverkusen,3,0.837,3.0,1.0,0.279,16.0,186.0,0.405,40.65
3837876,Carlos Baleba,Lille,1,0.018,1.0,0.0,0.018,2.0,4.0,0.405,0.86
3837818,Carlos Soler Barragán,Paris Saint-Germain,2,0.117,2.0,0.0,0.058,4.0,26.0,0.405,8.66
3837876,Neymar da Silva Santos Junior,Paris Saint-Germain,3,0.662,4.0,2.0,0.221,13.0,147.0,0.405,55.03
3837662,Marco Verratti,Paris Saint-Germain,6,1.667,6.0,2.0,0.278,22.0,372.0,0.403,44.78
3817862,Daniel Lalhlimpuia,Odisha,3,0.161,4.0,1.0,0.054,5.0,36.0,0.403,29.97
3837680,Danilo Luís Hélio Pereira,Paris Saint-Germain,3,0.415,3.0,0.0,0.138,5.0,93.0,0.402,17.23
3802802,Ander Herrera Agüera,Paris Saint-Germain,1,0.067,1.0,0.0,0.067,4.0,15.0,0.402,3.05
3817872,Ariday Cabrera Suárez,Odisha,2,0.294,2.0,0.0,0.147,7.0,66.0,0.401,21.76
3837928,Ismaël Gharbi,Paris Saint-Germain,2,0.098,2.0,0.0,0.049,6.0,22.0,0.401,10.46
3837752,Kylian Mbappé Lottin,Paris Saint-Germain,7,2.559,7.0,3.0,0.366,18.0,574.0,0.401,89.42
3895182,Patrik Schick,Bayer Leverkusen,7,1.959,7.0,3.0,0.28,14.0,441.0,0.4,59.86
3817877,Ajay Chhetri,Bengaluru,3,0.546,4.0,1.0,0.182,11.0,123.0,0.4,34.63
3802793,Jean-Clair Todibo,OGC Nice,2,0.754,2.0,0.0,0.377,3.0,170.0,0.399,83.57
3837752,Carlos Soler Barragán,Paris Saint-Germain,4,1.223,4.0,1.0,0.306,13.0,276.0,0.399,42.74
3802902,Achraf Hakimi Mouh,Paris Saint-Germain,2,0.466,2.0,0.0,0.233,6.0,106.0,0.396,46.28
3837963,Ayman Kari,Lorient,6,0.922,6.0,0.0,0.154,15.0,210.0,0.395,35.19
3802837,Timothée Kolodziejczak,Saint-Étienne,1,0.193,2.0,1.0,0.193,1.0,44.0,0.395,49.3
3813300,Isaac Vanmalsawma Chhakchhuak,Odisha,4,0.86,6.0,1.0,0.215,13.0,196.0,0.395,49.5
3837818,Sada Thioub,Angers,1,0.057,1.0,0.0,0.057,4.0,13.0,0.395,16.09
3837659,Arnaud Souquet,Montpellier,2,0.149,2.0,1.0,0.075,3.0,34.0,0.394,20.6
3813282,Jorge Rolando Pereyra Díaz,Kerala Blasters,4,1.034,4.0,2.0,0.258,8.0,236.0,0.394,70.89
3838004,Gianluigi Donnarumma,Paris Saint-Germain,1,0.381,1.0,0.0,0.381,3.0,87.0,0.394,41.87
3827338,Sandesh Jhingan,ATK Mohun Bagan,2,0.698,2.0,1.0,0.349,9.0,160.0,0.393,40.66
3837747,Pape Gueye,Marseille,2,0.131,3.0,0.0,0.065,3.0,30.0,0.393,11.51
3817896,Redeem Tlang,Odisha,3,0.367,3.0,1.0,0.122,8.0,84.0,0.393,28.29
3895107,Eric Martel,FC Köln,2,0.647,3.0,0.0,0.324,4.0,148.0,0.393,64.54
3838017,Maximiliano Caufriez,Clermont Foot,4,1.504,4.0,2.0,0.376,18.0,344.0,0.393,44.6
3838017,Maxime Gonalons,Clermont Foot,5,1.503,5.0,2.0,0.301,19.0,345.0,0.392,44.58
3813284,Bipin Singh Thounajam,Mumbai City,3,1.16,3.0,1.0,0.387,4.0,267.0,0.391,69.44
3837695,Renato Júnior Luz Sanches,Paris Saint-Germain,9,2.19,13.0,1.0,0.243,43.0,504.0,0.391,68.64
3813315,Lalhmangaihsanga Ralte,Goa,2,0.269,2.0,0.0,0.135,3.0,62.0,0.39,35.05
3817856,Alexandre Monteiro de Lima,Jamshedpur,1,0.065,1.0,0.0,0.065,1.0,15.0,0.39,12.24
