player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Jean-Mattéo Bahoya Négoce,Eintracht Frankfurt,3895333,3,0.369,0.123,11.0,39.0,0.853
Khangembam Bidyashagar Singh,Bengaluru,3817854,1,0.188,0.094,2.0,20.0,0.848
Alidu Seidu,Clermont Foot,3803000,1,0.809,0.809,1.0,86.0,0.847
Nim Dorjee Tamang,Hyderabad,3817878,1,0.113,0.113,1.0,12.0,0.845
Deshorn Brown,NorthEast United,3813316,1,0.336,0.168,2.0,36.0,0.839
Vitor Machado Ferreira,Paris Saint-Germain,3837717,2,0.65,0.325,3.0,70.0,0.836
Juan Bernat Velasco,Paris Saint-Germain,3837650,2,0.203,0.102,6.0,22.0,0.831
Florian Wirtz,Bayer Leverkusen,3895320,1,0.212,0.212,1.0,23.0,0.829
Danilo Luís Hélio Pereira,Paris Saint-Germain,3802676,1,0.091,0.091,2.0,10.0,0.822
Arshdeep Singh Saini,Odisha,3817896,1,0.83,0.83,1.0,91.0,0.821
Javier Siverio Toro,Hyderabad,3813290,1,0.091,0.091,1.0,10.0,0.821
Marco Verratti,Paris Saint-Germain,3802902,1,0.434,0.434,2.0,48.0,0.814
Jean Eudès Aholou,Strasbourg,3802643,2,0.433,0.144,6.0,48.0,0.812
Victor Okoh Boniface,Bayer Leverkusen,3895292,2,0.521,0.261,4.0,58.0,0.809
Jonas Hofmann,Bayer Leverkusen,3895340,4,1.045,0.261,6.0,120.0,0.784
Nongdamba Singh Naorem,Goa,3813272,1,0.174,0.087,2.0,20.0,0.781
Kevin Paredes,Wolfsburg,3895113,1,0.293,0.146,2.0,34.0,0.775
Neymar da Silva Santos Junior,Paris Saint-Germain,3837695,4,1.627,0.232,40.0,189.0,0.775
Jean-Clair Todibo,OGC Nice,3802793,1,0.731,0.731,1.0,85.0,0.774
Akshunna Tyagi,Odisha,3817865,1,0.223,0.111,2.0,26.0,0.772
Mandar Rao Desai,Mumbai City,3813273,1,0.275,0.275,2.0,32.0,0.772
Arnaud Souquet,Montpellier,3837659,1,0.146,0.146,1.0,17.0,0.77
Nathan Tella,Bayer Leverkusen,3895286,2,0.231,0.077,8.0,27.0,0.769
Narender Gahlot,Jamshedpur,3813284,1,0.248,0.248,2.0,29.0,0.769
Kevin Kampl,RB Leipzig,3895052,1,0.53,0.265,4.0,62.0,0.769
Rowllin Borges,Mumbai City,3813274,1,0.12,0.06,6.0,14.0,0.769
Prasanth Karuthadathkuni,Kerala Blasters,3813300,1,0.29,0.145,4.0,34.0,0.767
Kiyan Nassiri Giri,ATK Mohun Bagan,3817888,4,1.152,0.288,12.0,136.0,0.763
Boris Singh Thangjam,Jamshedpur,3817901,2,1.234,0.617,6.0,146.0,0.761
David Pereira da Costa,Lens,3837947,1,0.076,0.076,2.0,9.0,0.755
Lenny Rodrigues,ATK Mohun Bagan,3827338,2,0.872,0.436,8.0,104.0,0.754
Thilo Kehrer,Paris Saint-Germain,3802948,1,0.067,0.067,2.0,8.0,0.753
Domagoj Bradarić,Lille,3802907,2,0.333,0.167,8.0,40.0,0.75
Moses Daddy-Ajala Simon,Nantes,3837896,1,0.204,0.204,2.0,25.0,0.734
Antonios Papadopoulos,Borussia Dortmund,3895158,1,0.236,0.236,2.0,29.0,0.733
Karim-David Adeyemi,Borussia Dortmund,3895158,1,0.236,0.236,2.0,29.0,0.733
Dante Bonfim da Costa Santos,OGC Nice,3802793,1,0.731,0.731,2.0,90.0,0.731
Andy Delort,OGC Nice,3802793,1,0.731,0.731,2.0,91.0,0.723
Rohit Kumar,Bengaluru,3817874,1,0.08,0.08,2.0,10.0,0.721
Mërgim Berisha,Hoffenheim,3895134,1,0.048,0.048,1.0,6.0,0.716
Bambasé Conté,Hoffenheim,3895134,1,0.048,0.048,2.0,6.0,0.716
Isak Vanlalruatfela,Odisha,3813289,2,0.35,0.175,4.0,44.0,0.716
Edouard Michut,Paris Saint-Germain,3802665,1,0.175,0.175,2.0,22.0,0.714
Jonas Hofmann,Bayer Leverkusen,3895266,3,0.348,0.087,8.0,44.0,0.712
Nadiem Amiri,Bayer Leverkusen,3895182,1,0.055,0.055,2.0,7.0,0.705
Michael Soosairaj,ATK Mohun Bagan,3813306,3,0.328,0.109,6.0,42.0,0.704
Saviour Gama,Goa,3817875,3,0.419,0.14,4.0,54.0,0.698
Vincent Sierro,Toulouse,3837859,3,0.369,0.092,6.0,48.0,0.692
Bradden Inman,Mumbai City,3817862,1,0.108,0.108,2.0,14.0,0.692
Jamal Musiala,Bayern Munich,3895074,1,0.281,0.281,1.0,37.0,0.685
Amrinder Singh,ATK Mohun Bagan,3827338,1,0.661,0.661,6.0,87.0,0.684
Xavi Simons,Paris Saint-Germain,3802665,1,0.175,0.175,2.0,23.0,0.683
Renato Júnior Luz Sanches,Paris Saint-Germain,3837998,2,0.485,0.121,46.0,64.0,0.682
Florian Wirtz,Bayer Leverkusen,3895113,4,1.029,0.257,18.0,136.0,0.681
Dimitri Payet,Marseille,3802983,1,0.723,0.723,1.0,96.0,0.678
Lukas Ullrich,Borussia Mönchengladbach,3895060,1,0.03,0.03,4.0,4.0,0.674
Airam López Cabrera,Goa,3813308,1,0.134,0.134,2.0,18.0,0.672
Leander D''Cunha,Goa,3817875,1,0.075,0.075,2.0,10.0,0.672
Debjit Majumder,Chennaiyin,3817880,1,0.652,0.652,1.0,88.0,0.667
Keylor Navas Gamboa,Paris Saint-Germain,3802948,1,0.606,0.606,2.0,82.0,0.665
Nuno Mendes,Paris Saint-Germain,3802685,2,0.242,0.081,4.0,33.0,0.66
Ángel Fabián Di María Hernández,Paris Saint-Germain,3802643,1,0.051,0.051,6.0,7.0,0.654
Adrián Nicolás Luna Retamar,Kerala Blasters,3817870,2,0.463,0.232,7.0,64.0,0.651
Khalil Fayad,Montpellier,3837844,1,0.058,0.058,4.0,8.0,0.65
Thilo Kehrer,Paris Saint-Germain,3802643,1,0.036,0.036,5.0,5.0,0.65
Jayesh Dilip Rane,Bengaluru,3813285,1,0.606,0.303,8.0,84.0,0.65
Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,3895333,3,0.303,0.101,14.0,42.0,0.649
Sahil Tavora,Hyderabad,3817860,2,0.706,0.353,3.0,98.0,0.648
Edwin Sydney Vanspaul,Chennaiyin,3817882,1,0.179,0.179,2.0,25.0,0.646
Roy Krishna,ATK Mohun Bagan,3813264,1,0.163,0.163,5.0,23.0,0.637
Syed Suhail Pasha,Chennaiyin,3817900,1,0.042,0.042,4.0,6.0,0.635
Lalruatthara Lalruatthara,Odisha,3813273,3,0.698,0.233,5.0,99.0,0.634
Syed Suhail Pasha,Chennaiyin,3817868,1,0.098,0.049,12.0,14.0,0.628
Joel Joseph Chianese,Hyderabad,3813290,1,0.214,0.214,2.0,31.0,0.622
Sergio Ramos García,Paris Saint-Germain,3802818,1,0.131,0.131,1.0,19.0,0.622
Pablo Sarabia García,Paris Saint-Germain,3837747,1,0.096,0.096,2.0,14.0,0.62
Mirlan Murzaev,Chennaiyin,3817876,1,0.137,0.137,2.0,20.0,0.615
Harmanjot Singh Khabra,Kerala Blasters,3813305,1,0.299,0.299,1.0,44.0,0.612
Robert Andrich,Bayer Leverkusen,3895060,3,0.448,0.149,11.0,66.0,0.611
Paul Ramfangzauva,Odisha,3813273,3,0.791,0.264,4.0,117.0,0.608
Jonathan Tah,Bayer Leverkusen,3895320,1,0.604,0.302,2.0,90.0,0.604
Banana Yaya,Bengaluru,3817854,1,0.208,0.208,2.0,31.0,0.603
Bonke Innocent,Lorient,3837963,2,0.762,0.381,13.0,114.0,0.602
Borja Iglesias Quintas,Bayer Leverkusen,3895340,2,0.265,0.133,4.0,40.0,0.597
Wahengbam Angousana Luwang,East Bengal,3817902,1,0.21,0.105,2.0,32.0,0.592
Mory Diaw,Clermont Foot,3838017,2,1.164,0.582,4.0,178.0,0.589
Nuno Mendes,Paris Saint-Germain,3802699,4,0.73,0.182,7.0,112.0,0.586
Danilo Luís Hélio Pereira,Paris Saint-Germain,3837876,1,0.117,0.117,2.0,18.0,0.584
Francisco José Sota Bernard,East Bengal,3817882,1,0.097,0.097,8.0,15.0,0.582
Nuno Mendes,Paris Saint-Germain,3837876,2,0.578,0.193,7.0,90.0,0.578
Mirlan Murzaev,Chennaiyin,3817882,1,0.179,0.179,4.0,28.0,0.577
