match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3895210,Borussia Mönchengladbach,3.0,5.0,3.0,11.0,45.45,27.27
3895220,Bayer Leverkusen,42.0,29.0,42.0,113.0,25.66,37.17
3895220,Darmstadt 98,25.0,24.0,25.0,74.0,32.43,33.78
3895232,Bayer Leverkusen,11.0,15.0,11.0,37.0,40.54,29.73
3895232,Bayern Munich,48.0,28.0,48.0,124.0,22.58,38.71
3895244,Bayer Leverkusen,35.0,31.0,35.0,101.0,30.69,34.65
3895244,FC Heidenheim,18.0,12.0,18.0,48.0,25.0,37.5
3895250,Bayer Leverkusen,41.0,23.0,41.0,105.0,21.9,39.05
3895250,FSV Mainz 05,13.0,12.0,13.0,38.0,31.58,34.21
3895258,Bayer Leverkusen,88.0,57.0,88.0,233.0,24.46,37.77
3895258,FC Köln,9.0,9.0,9.0,27.0,33.33,33.33
3895266,Bayer Leverkusen,87.0,47.0,87.0,221.0,21.27,39.37
3895266,Wolfsburg,8.0,4.0,8.0,20.0,20.0,40.0
3895275,Bayer Leverkusen,37.0,28.0,37.0,102.0,27.45,36.27
3895275,Freiburg,25.0,26.0,25.0,76.0,34.21,32.89
3895286,Bayer Leverkusen,72.0,71.0,72.0,215.0,33.02,33.49
3895286,Hoffenheim,14.0,18.0,14.0,46.0,39.13,30.43
3895292,Bayer Leverkusen,54.0,33.0,54.0,141.0,23.4,38.3
3895292,Union Berlin,18.0,10.0,18.0,46.0,21.74,39.13
3895302,Bayer Leverkusen,59.0,40.0,59.0,158.0,25.32,37.34
3895302,Werder Bremen,15.0,14.0,15.0,44.0,31.82,34.09
3895309,Bayer Leverkusen,53.0,36.0,53.0,142.0,25.35,37.32
3895309,Borussia Dortmund,19.0,17.0,19.0,55.0,30.91,34.55
3895320,Bayer Leverkusen,34.0,36.0,34.0,104.0,34.62,32.69
3895320,VfB Stuttgart,10.0,14.0,10.0,34.0,41.18,29.41
3895333,Bayer Leverkusen,14.0,15.0,14.0,43.0,34.88,32.56
3895333,Eintracht Frankfurt,42.0,32.0,42.0,116.0,27.59,36.21
3895340,Bayer Leverkusen,74.0,52.0,74.0,200.0,26.0,37.0
3895340,Bochum,14.0,10.0,14.0,38.0,26.32,36.84
3895348,Augsburg,19.0,23.0,19.0,61.0,37.7,31.15
3895348,Bayer Leverkusen,78.0,55.0,78.0,211.0,26.07,36.97
