match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3837650,Paris Saint-Germain,Marco Verratti,90.0,86.0,176.0,12,11,23,27.76
3837947,Paris Saint-Germain,Danilo Luís Hélio Pereira,89.0,86.0,175.0,10,11,21,24.89
3895292,Bayer Leverkusen,Piero Martín Hincapié Reyna,89.0,86.0,175.0,9,9,18,28.0
3895095,Bayer Leverkusen,Exequiel Alejandro Palacios,91.0,84.0,175.0,11,11,22,31.76
3837785,Paris Saint-Germain,Marco Verratti,88.0,87.0,175.0,11,13,24,29.07
3837827,Paris Saint-Germain,Marcos Aoás Corrêa,89.0,85.0,174.0,12,12,24,27.44
3802690,Paris Saint-Germain,Achraf Hakimi Mouh,88.0,86.0,174.0,9,10,19,23.23
3837771,Paris Saint-Germain,Neymar da Silva Santos Junior,85.0,88.0,173.0,12,14,26,26.78
3802696,Paris Saint-Germain,Marco Verratti,90.0,83.0,173.0,11,11,22,25.55
3802984,Paris Saint-Germain,Marco Verratti,88.0,85.0,173.0,9,10,19,23.19
3813293,Bengaluru,Alan Henrique Costa,88.0,84.0,172.0,10,12,22,34.4
3895095,Bayer Leverkusen,Granit Xhaka,86.0,86.0,172.0,10,9,19,31.22
3813286,Mumbai City,Rahul Bheke,90.0,82.0,172.0,8,7,15,31.79
3895275,Bayer Leverkusen,Jonathan Tah,89.0,82.0,171.0,10,10,20,24.64
3895258,Bayer Leverkusen,Josip Stanišić,89.0,82.0,171.0,14,12,26,21.59
3895052,RB Leipzig,Mohamed Simakan,89.0,81.0,170.0,14,11,25,33.2
3838004,Paris Saint-Germain,Sergio Ramos García,88.0,82.0,170.0,8,10,18,23.94
3895348,Bayer Leverkusen,Robert Andrich,86.0,84.0,170.0,14,14,28,24.25
3837680,Paris Saint-Germain,Marcos Aoás Corrêa,90.0,80.0,170.0,10,11,21,25.72
