season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2023,3920394,Amine Adli,Morocco,1,0.312,0.156,12.0,48.0,0.586
2023,3920409,Raphael Onyedika,Nigeria,1,0.156,0.156,3.0,24.0,0.586
2024,3939972,John Yeboah Zamora,Ecuador,1,0.215,0.215,2.0,33.0,0.585
2022,3857278,Ali Karimi,Iran,2,0.697,0.348,6.0,108.0,0.581
2023,3920384,Euciodálcio Gomes,Guinea-Bissau,2,0.115,0.057,6.0,18.0,0.573
2024,3930166,Petr Ševčík,Czech Republic,1,0.178,0.089,2.0,28.0,0.572
2022,3857297,Jakub Kamiński,Poland,3,0.649,0.216,5.0,102.0,0.572
2024,3930166,Gonçalo Bernardo Inácio,Portugal,4,0.735,0.184,13.0,116.0,0.57
2022,3869118,Famara Diedhiou,Senegal,1,0.108,0.108,3.0,17.0,0.569
2024,3930175,Ianis Hagi,Romania,2,0.328,0.164,5.0,52.0,0.568
2023,3920397,Jesús Lázaro Owono Ngua Akeng,Equatorial Guinea,1,0.605,0.605,3.0,96.0,0.567
2024,3939975,Miguel Ángel Almirón Rejala,Paraguay,1,0.364,0.364,1.0,58.0,0.566
2022,3857260,Kevin Nahin Álvarez Campos,Mexico,1,0.063,0.063,2.0,10.0,0.563
2023,3920401,José Kanté Martínez,Guinea,1,0.038,0.038,4.0,6.0,0.563
2023,3920414,Boureima Hassane Bandé,Burkina Faso,1,0.019,0.019,1.0,3.0,0.562
2022,3869420,Lovro Majer,Croatia,1,0.1,0.1,1.0,16.0,0.561
2022,3857278,Saman Ghoddos,Iran,1,0.305,0.305,2.0,49.0,0.561
2024,3930162,Žan Celar,Slovenia,2,0.299,0.1,7.0,48.0,0.56
2022,3869151,Fran Karačić,Australia,2,0.311,0.156,8.0,50.0,0.56
2022,3857290,Ricardo Iván Rodríguez Araya,Switzerland,1,0.552,0.552,5.0,89.0,0.558
2024,3930168,Chris Führich,Germany,2,0.371,0.124,10.0,60.0,0.556
2024,3939991,Jhon Andrés Córdoba Copete,Colombia,1,0.463,0.463,2.0,75.0,0.555
2023,3923881,Oumar Diakité,Côte d'Ivoire,2,0.309,0.154,9.0,50.0,0.555
2024,3930159,Roland Sallai,Hungary,1,0.58,0.58,2.0,96.0,0.543
2024,3942382,Semih Kılıçsoy,Turkey,1,0.03,0.03,2.0,5.0,0.542
2022,3869685,Gonzalo Ariel Montiel,Argentina,2,0.612,0.204,7.0,102.0,0.54
2022,3857274,Michael Steveen Estrada Martínez,Ecuador,1,0.872,0.436,2.0,146.0,0.537
2022,3857256,Dušan Vlahović,Serbia,1,0.547,0.273,2.0,92.0,0.535
2024,3930173,Kingsley Coman,France,1,0.077,0.077,3.0,13.0,0.534
2024,3930166,Antonín Barák,Czech Republic,1,0.178,0.089,4.0,30.0,0.534
2022,3857290,Nico Elvedi,Switzerland,1,0.552,0.552,2.0,93.0,0.534
2024,3942785,Nicolás Alejandro Tagliafico,Argentina,2,0.742,0.371,3.0,126.0,0.53
2024,3939979,Guillermo Martínez Ayala,Mexico,1,0.329,0.164,2.0,56.0,0.528
2024,3930180,Tijjani Reijnders,Netherlands,1,0.376,0.376,2.0,64.0,0.528
2024,3943076,Luc Rollet De Fougerolles,Canada,1,0.386,0.386,4.0,66.0,0.527
2023,3920388,Abdou Diallo,Senegal,2,0.668,0.334,9.0,114.0,0.527
2023,3922239,Naby Deco Keïta,Guinea,2,0.175,0.087,8.0,30.0,0.524
2023,3922658,Mihlali Samson Mayambela,South Africa,1,0.611,0.204,9.0,105.0,0.524
2022,3857290,Granit Xhaka,Switzerland,1,0.552,0.552,2.0,95.0,0.523
2022,3857290,Manuel Obafemi Akanji,Switzerland,1,0.552,0.552,4.0,95.0,0.523
2024,3930179,Ernest Muçi,Albania,1,0.058,0.058,1.0,10.0,0.522
2022,3857278,Matthew Charles Turner,United States,1,0.53,0.53,2.0,92.0,0.519
2024,3939978,André Martín Carrillo Díaz,Peru,1,0.104,0.104,1.0,18.0,0.518
2024,3930162,Kasper Dolberg,Denmark,1,0.046,0.046,3.0,8.0,0.518
2022,3857277,Mateo Kovačić,Croatia,1,0.448,0.448,5.0,78.0,0.517
2023,3920400,Lamine Camara,Senegal,2,0.953,0.476,4.0,166.0,0.517
2024,3939974,João Lucas de Souza Cardoso,United States,3,0.481,0.16,8.0,84.0,0.515
2023,3920385,Stanley Ratifo,Mozambique,1,0.383,0.383,2.0,67.0,0.514
2024,3942785,Mathieu Choiniere,Canada,1,0.125,0.125,1.0,22.0,0.511
2022,3857278,Ahmad Nourollahi,Iran,1,0.391,0.391,4.0,69.0,0.51
