season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2023,Stephane Aziz Ki,Burkina Faso,2,8,0.21,0.0,-0.21
2022,Pedro Guilherme Abreu dos Santos,Brazil,2,5,1.22,1.0,-0.22
2024,Angelo Smit Preciado Quiñónez,Ecuador,3,5,0.22,0.0,-0.22
2024,Dominik Szoboszlai,Hungary,2,6,0.22,0.0,-0.22
2023,Yves Bissouma,Mali,3,6,0.22,0.0,-0.22
2024,Pierre-Emile Højbjerg,Denmark,3,7,0.23,0.0,-0.23
2023,Wilfried Stephane Singo,Côte d'Ivoire,3,5,0.23,0.0,-0.23
2024,Dan Ndoye,Switzerland,5,14,1.24,1.0,-0.24
2024,N'Golo Kanté,France,3,5,0.24,0.0,-0.24
2022,Hirving Rodrigo Lozano Bahena,Mexico,3,6,0.24,0.0,-0.24
2024,Ousmane Dembélé,France,4,9,1.24,1.0,-0.24
2022,Azzedine Ounahi,Morocco,3,6,0.24,0.0,-0.24
2023,Deroy Duarte,Cape Verde Islands,2,5,0.25,0.0,-0.25
2022,Philip Foden,England,2,6,1.25,1.0,-0.25
2024,Muhammed Kerem Aktürkoğlu,Turkey,3,6,1.25,1.0,-0.25
2024,Kobbie Mainoo,England,3,5,0.25,0.0,-0.25
2022,Sergino Dest,United States,4,6,0.25,0.0,-0.25
2024,Federico Chiesa,Italy,3,8,0.25,0.0,-0.25
2023,Emam Ashour Metwally Abdelghany,Egypt,3,7,0.25,0.0,-0.25
2024,Johan Felipe Vásquez Ibarra,Mexico,2,5,0.25,0.0,-0.25
2024,Jeremy Doku,Belgium,3,5,0.26,0.0,-0.26
2022,Éder Gabriel Militão,Brazil,3,5,0.26,0.0,-0.26
2023,Ibrahim Sangaré,Côte d'Ivoire,2,5,0.26,0.0,-0.26
2023,Hamdi Fathi,Egypt,4,7,0.26,0.0,-0.26
2022,Abdelkarim Hassan Al Haj Fadlalla,Qatar,3,6,0.27,0.0,-0.27
2023,Musa Barrow,Gambia,3,8,0.27,0.0,-0.27
2022,Carlos Soler Barragán,Spain,2,5,1.27,1.0,-0.27
2024,Víctor Alejandro Dávila Zavala,Chile,2,5,0.27,0.0,-0.27
2024,Dušan Vlahović,Serbia,3,6,0.27,0.0,-0.27
2024,Luis Francisco Romo Barrón,Mexico,3,6,0.27,0.0,-0.27
2024,Aymeric Laporte,Spain,4,5,0.27,0.0,-0.27
2024,Leroy Sané,Germany,3,7,0.28,0.0,-0.28
2023,Samuel Moutoussamy,Congo DR,6,9,2.28,2.0,-0.28
2024,Robert Andrich,Germany,4,7,0.28,0.0,-0.28
2024,Davinson Sánchez Mina,Colombia,3,7,1.29,1.0,-0.29
2023,Tiago Manuel Dias Correia,Cape Verde Islands,4,17,1.29,1.0,-0.29
2023,Sekou Koita,Mali,3,6,0.3,0.0,-0.3
2024,Mykhailo Mudryk,Ukraine,2,6,0.3,0.0,-0.3
2022,Granit Xhaka,Switzerland,3,6,0.3,0.0,-0.3
2023,Sphephelo S''Miso Sithole,South Africa,4,5,0.31,0.0,-0.31
2024,Joshua Kimmich,Germany,5,7,0.31,0.0,-0.31
2024,Luis Gerardo Chávez Magallón,Mexico,3,7,0.31,0.0,-0.31
2023,Chancel Mbemba Mangulu,Congo DR,5,7,2.31,2.0,-0.31
2023,Mohamed Youcef Belaïli,Algeria,3,10,0.31,0.0,-0.31
2024,Miguel Ángel Terceros,Bolivia,3,7,0.32,0.0,-0.32
2022,Mohammed Kanoo,Saudi Arabia,2,6,0.32,0.0,-0.32
2022,Sofiane Boufal,Morocco,6,7,0.32,0.0,-0.32
2022,Harry Kane,England,4,12,2.33,2.0,-0.33
2024,Mateo Kovačić,Croatia,2,6,0.33,0.0,-0.33
2022,Joshua Kimmich,Germany,3,7,0.33,0.0,-0.33
2024,Stefan Posch,Austria,3,7,0.34,0.0,-0.34
2024,Bruno Guimarães Rodriguez Moura,Brazil,3,6,0.34,0.0,-0.34
2023,Gaël Kakuta,Congo DR,4,8,0.34,0.0,-0.34
2024,Virgil van Dijk,Netherlands,5,5,0.35,0.0,-0.35
2023,Frank Onyeka,Nigeria,4,6,0.36,0.0,-0.36
2024,Luka Modrić,Croatia,2,5,1.36,1.0,-0.36
2022,Ousmane Dembélé,France,5,8,0.36,0.0,-0.36
2023,Alex Iwobi,Nigeria,5,7,0.36,0.0,-0.36
2022,Marcelo Brozović,Croatia,4,5,1.37,1.0,-0.37
2023,Kennedy Amutenya,Namibia,4,6,0.37,0.0,-0.37
2024,Piotr Zieliński,Poland,3,8,0.38,0.0,-0.38
2024,Edgar Yoel Bárcenas Herrera,Panama,3,6,0.38,0.0,-0.38
2024,Jonas Older Wind,Denmark,3,5,0.38,0.0,-0.38
2022,Weston McKennie,United States,2,5,0.38,0.0,-0.38
2023,Christian Kouamé,Côte d'Ivoire,3,5,1.38,1.0,-0.38
2024,Declan Rice,England,5,9,0.39,0.0,-0.39
2022,Breel-Donald Embolo,Switzerland,3,6,2.39,2.0,-0.39
2024,Julián Andrés Quiñones Quiñones,Mexico,3,8,0.39,0.0,-0.39
2024,Enzo Fernandez,Argentina,4,6,0.39,0.0,-0.39
2023,Mihlali Samson Mayambela,South Africa,3,8,1.39,1.0,-0.39
2024,Aurélien Djani Tchouaméni,France,5,12,0.4,0.0,-0.4
2024,Juraj Kucka,Slovakia,3,8,0.41,0.0,-0.41
2024,Alexis Mac Allister,Argentina,4,7,1.41,1.0,-0.41
2023,Max-Alain Gradel,Côte d'Ivoire,3,6,0.42,0.0,-0.42
2023,Thapelo James Morena,South Africa,3,5,0.42,0.0,-0.42
2022,Daichi Kamada,Japan,4,6,0.42,0.0,-0.42
2024,Lukáš Haraslín,Slovakia,4,8,0.43,0.0,-0.43
2023,Obite Evan Ndicka,Côte d'Ivoire,4,7,0.43,0.0,-0.43
2024,Georgiy Sudakov,Ukraine,3,9,0.43,0.0,-0.43
2024,Ondřej Lingr,Czech Republic,2,5,0.44,0.0,-0.44
2024,Alex Adrián Arce Barrios,Paraguay,2,5,0.44,0.0,-0.44
2022,Heung-Min Son,South Korea,4,9,0.45,0.0,-0.45
2023,Ahmed Sayed,Egypt,3,10,0.45,0.0,-0.45
2023,Moses Daddy-Ajala Simon,Nigeria,4,5,0.46,0.0,-0.46
2023,Georges-Kévin Nkoudou Mbida,Cameroon,3,6,0.46,0.0,-0.46
2024,Felix Eduardo Torres Caicedo,Ecuador,3,5,0.46,0.0,-0.46
2024,Yannick Ferreira Carrasco,Belgium,3,6,0.46,0.0,-0.46
2022,Harry Maguire,England,4,6,0.49,0.0,-0.49
2024,Lorenzo Pellegrini,Italy,4,7,0.5,0.0,-0.5
2024,Shamar Nicholson,Jamaica,2,6,0.5,0.0,-0.5
2024,Gianluca Lapadula Vargas,Peru,3,8,0.5,0.0,-0.5
2022,Antoine Griezmann,France,3,6,0.5,0.0,-0.5
2023,Teboho Mokoena,South Africa,7,22,3.51,3.0,-0.51
2023,Youssef En-Nesyri,Morocco,3,8,1.51,1.0,-0.51
2024,Gianluca Scamacca,Italy,3,6,0.53,0.0,-0.53
2023,Kamory Doumbia,Mali,3,9,0.54,0.0,-0.54
2023,Garry Mendes Rodrigues,Cape Verde Islands,4,9,1.54,1.0,-0.54
2024,Ángel Fabián Di María Hernández,Argentina,4,6,0.55,0.0,-0.55
2024,Dennis Man,Romania,3,6,0.55,0.0,-0.55
2024,Artem Dovbyk,Ukraine,3,6,0.55,0.0,-0.55
2023,Simon Bokote Banza,Congo DR,3,5,0.55,0.0,-0.55
2024,Christoph Baumgartner,Austria,3,8,1.55,1.0,-0.55
2023,Zaidu Sanusi,Nigeria,4,6,0.56,0.0,-0.56
2022,Rodrigo Javier De Paul,Argentina,5,7,0.57,0.0,-0.57
2024,Álvaro Borja Morata Martín,Spain,6,14,1.57,1.0,-0.57
2024,Lamine Yamal Nasraoui Ebana,Spain,6,18,1.59,1.0,-0.59
2024,Kenan Yildiz,Turkey,4,11,0.59,0.0,-0.59
2023,Théo Bongonda Mbul''Ofeko Batombo,Congo DR,5,10,0.6,0.0,-0.6
2024,Tijjani Reijnders,Netherlands,4,10,0.63,0.0,-0.63
2024,Cyle Larin,Canada,4,7,0.63,0.0,-0.63
2023,Aubrey Maphosa Modiba,South Africa,5,6,1.63,1.0,-0.63
2024,David Strelec,Slovakia,3,7,0.63,0.0,-0.63
2024,Kristjan Asllani,Albania,3,8,0.63,0.0,-0.63
2022,Kieffer Roberto Francisco Moore,Wales,3,6,0.64,0.0,-0.64
2022,Youssef Msakni,Tunisia,2,9,0.64,0.0,-0.64
2024,Vitor Machado Ferreira,Portugal,3,8,0.64,0.0,-0.64
2022,Bruno Guimarães Rodriguez Moura,Brazil,2,5,0.65,0.0,-0.65
2022,Antonio Rüdiger,Germany,3,6,0.66,0.0,-0.66
2023,Youssef Msakni,Tunisia,2,6,0.66,0.0,-0.66
