season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2023,3920396,Ghana,Jordan Ayew,27,6.0,3.0,9,11.11,95,25.58
2023,3922837,Nigeria,Frank Onyeka,27,7.0,6.0,2,22.22,101,24.06
2023,3920385,Egypt,Hamdi Fathi,27,3.0,5.0,1,18.52,100,24.3
2024,3942227,England,Harry Kane,27,3.0,1.0,10,3.7,108,22.5
2024,3930159,Hungary,Dominik Szoboszlai,27,4.0,4.0,10,14.81,96,25.31
2024,3941020,Portugal,João Maria Lobo Alves Palhinha Gonçalves,27,8.0,8.0,6,29.63,119,20.42
2022,3869254,Portugal,Bruno Miguel Borges Fernandes,27,2.0,6.0,8,22.22,86,28.26
2023,3920417,Namibia,Bethuel Muzeu,27,4.0,3.0,9,11.11,73,33.29
2024,3930175,Romania,Nicolae Claudiu Stanciu,27,7.0,2.0,8,7.41,93,26.13
2023,3920416,Tunisia,Aïssa Bilal Laïdouni,27,8.0,7.0,4,25.93,93,26.13
2022,3869220,Morocco,Sofyan Amrabat,27,4.0,5.0,3,18.52,115,21.13
2024,3930164,Slovakia,Róbert Boženík,27,2.0,3.0,10,11.11,69,35.22
2024,3941017,Slovakia,Dávid Hancko,27,9.0,10.0,5,37.04,120,20.25
2024,3930165,France,N'Golo Kanté,27,7.0,5.0,3,18.52,97,25.05
2024,3940983,Denmark,Rasmus Winther Højlund,27,1.0,3.0,13,11.11,80,30.38
2024,3942752,Spain,Álvaro Borja Morata Martín,27,7.0,4.0,17,14.81,76,31.97
2023,3920416,Tunisia,Hamza Rafia,27,4.0,4.0,2,14.81,69,35.22
2024,3938641,Austria,Konrad Laimer,27,2.0,3.0,4,11.11,93,26.13
2024,3930181,Slovenia,Adam Gnezda Čerin,27,3.0,4.0,2,14.81,91,26.7
2022,3857283,Morocco,Youssef En-Nesyri,27,2.0,3.0,14,11.11,71,34.23
2022,3857284,Japan,Daizen Maeda,27,3.0,4.0,12,14.81,56,43.39
2022,3857261,Wales,Aaron Ramsey,27,5.0,3.0,2,11.11,93,26.13
