season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2024,Tomáš Holeš,Czech Republic,10,17.0,1.7,9.0,1.89
2022,Toby Alderweireld,Belgium,13,22.0,1.69,11.0,2.0
2024,Joey Veerman,Netherlands,13,22.0,1.69,5.0,3.2
2022,Joshua Kimmich,Germany,13,22.0,1.69,8.0,2.5
2024,Kaan Ayhan,Turkey,16,27.0,1.69,9.0,2.44
2022,Hakim Ziyech,Morocco,16,27.0,1.69,9.0,2.22
2022,David Raum,Germany,13,22.0,1.69,7.0,2.71
2022,Lovro Majer,Croatia,13,22.0,1.69,4.0,3.0
2024,Illia Zabarnyi,Ukraine,13,22.0,1.69,9.0,2.11
2022,Harry Souttar,Australia,13,22.0,1.69,10.0,2.1
2022,Christian Dannemann Eriksen,Denmark,31,52.0,1.68,15.0,3.0
2024,Răzvan Gabriel Marin,Romania,6,10.0,1.67,3.0,2.33
2024,David Jurásek,Czech Republic,6,10.0,1.67,5.0,1.8
2024,Arda Güler,Turkey,6,10.0,1.67,2.0,3.5
2022,Antoine Griezmann,France,9,15.0,1.67,5.0,2.4
2022,Jonas Hofmann,Germany,6,10.0,1.67,1.0,6.0
2024,Federico Chiesa,Italy,9,15.0,1.67,2.0,1.0
2024,Kristjan Asllani,Albania,15,25.0,1.67,11.0,2.09
2024,Vanja Drkušić,Slovenia,6,10.0,1.67,4.0,2.5
2022,Abdou Diallo,Senegal,6,10.0,1.67,3.0,3.33
2024,Joachim Andersen,Denmark,18,30.0,1.67,9.0,2.89
2024,Ivan Schranz,Slovakia,9,15.0,1.67,2.0,3.5
2024,Theo Bernard François Hernández,France,9,15.0,1.67,4.0,2.75
2022,Fabian Lukas Schär,Switzerland,6,10.0,1.67,4.0,2.5
2024,João Félix Sequeira,Portugal,20,33.0,1.65,7.0,3.0
2024,Bruno Miguel Borges Fernandes,Portugal,17,28.0,1.65,7.0,2.86
2024,Trent Alexander-Arnold,England,17,28.0,1.65,6.0,3.67
2022,Luka Modrić,Croatia,25,41.0,1.64,16.0,2.19
2022,Ao Tanaka,Japan,11,18.0,1.64,5.0,2.6
2022,İlkay Gündoğan,Germany,25,41.0,1.64,13.0,2.15
2022,Jude Bellingham,England,14,23.0,1.64,6.0,2.83
2024,Aymeric Laporte,Spain,14,23.0,1.64,10.0,2.3
2024,Antoine Griezmann,France,14,23.0,1.64,7.0,2.57
2024,João Maria Lobo Alves Palhinha Gonçalves,Portugal,11,18.0,1.64,8.0,2.13
2022,Nayef Aguerd,Morocco,11,18.0,1.64,9.0,1.89
2024,Tomáš Suslov,Slovakia,11,18.0,1.64,7.0,2.14
2022,Christian Pulisic,United States,8,13.0,1.63,6.0,1.83
2024,Marcel Sabitzer,Austria,8,13.0,1.63,6.0,2.17
2024,Dušan Tadić,Serbia,8,13.0,1.63,4.0,2.25
2024,Alexander Hartmann Bah,Denmark,19,31.0,1.63,11.0,2.09
2022,Joel Nathaniel Campbell Samuels,Costa Rica,8,13.0,1.63,1.0,7.0
2024,Ádám Lang,Hungary,8,13.0,1.63,5.0,2.2
2022,Luka Modrić,Croatia,19,31.0,1.63,12.0,1.92
2022,Maya Yoshida,Japan,8,13.0,1.63,6.0,1.83
2024,Kobbie Mainoo,England,8,13.0,1.63,2.0,4.5
2024,Willi Orban,Hungary,13,21.0,1.62,8.0,2.38
2024,Jude Bellingham,England,13,21.0,1.62,7.0,2.71
2022,Sergej Milinković-Savić,Serbia,13,21.0,1.62,10.0,1.7
2024,Leandro Trossard,Belgium,13,21.0,1.62,6.0,2.83
2024,Marius Mihai Marin,Romania,13,21.0,1.62,7.0,2.57
2024,Aymeric Laporte,Spain,13,21.0,1.62,7.0,2.57
2024,Thomas Strakosha,Albania,13,21.0,1.62,10.0,2.1
2022,Kevin De Bruyne,Belgium,15,24.0,1.6,8.0,2.38
2022,Antoine Griezmann,France,15,24.0,1.6,8.0,2.25
2022,Steven Berghuis,Netherlands,15,24.0,1.6,10.0,2.1
2024,Cristiano Ronaldo dos Santos Aveiro,Portugal,5,8.0,1.6,2.0,3.0
2022,Cody Mathès Gakpo,Netherlands,10,16.0,1.6,6.0,2.33
2022,Piotr Zieliński,Poland,5,8.0,1.6,3.0,2.33
2024,Vanja Drkušić,Slovenia,5,8.0,1.6,5.0,1.6
2024,Donyell Malen,Netherlands,5,8.0,1.6,4.0,2.0
2024,Kevin De Bruyne,Belgium,20,32.0,1.6,10.0,1.7
2024,Scott McTominay,Scotland,10,16.0,1.6,4.0,2.75
2024,Federico Chiesa,Italy,5,8.0,1.6,1.0,2.0
2024,Harry Kane,England,5,8.0,1.6,3.0,2.0
2024,İlkay Gündoğan,Germany,5,8.0,1.6,3.0,2.33
2022,Andrej Kramarić,Croatia,5,8.0,1.6,3.0,2.0
2022,Jordan Ayew,Ghana,5,8.0,1.6,3.0,2.33
2024,Tijjani Reijnders,Netherlands,17,27.0,1.59,10.0,2.1
2022,Saša Lukić,Serbia,22,35.0,1.59,11.0,2.73
2022,Thomas Teye Partey,Ghana,17,27.0,1.59,6.0,2.83
2022,Neymar da Silva Santos Junior,Brazil,22,35.0,1.59,11.0,2.18
2022,Abdulaziz Hatem Mohammed Abdullah,Qatar,12,19.0,1.58,7.0,2.0
2022,Christian Dannemann Eriksen,Denmark,24,38.0,1.58,16.0,2.13
2022,Sofiane Boufal,Morocco,12,19.0,1.58,7.0,2.29
2024,Philip Foden,England,19,30.0,1.58,3.0,2.33
2022,Kylian Mbappé Lottin,France,14,22.0,1.57,6.0,2.5
2024,Maximilian Wöber,Austria,7,11.0,1.57,4.0,2.25
2024,Luka Modrić,Croatia,14,22.0,1.57,11.0,1.82
2022,Hakim Ziyech,Morocco,7,11.0,1.57,2.0,2.0
2024,David Jurásek,Czech Republic,14,22.0,1.57,6.0,3.17
2022,Mason Mount,England,7,11.0,1.57,4.0,1.75
2024,Denis Mihai Drăguş,Romania,7,11.0,1.57,3.0,2.33
2022,Ousmane Dembélé,France,14,22.0,1.57,6.0,1.83
2022,Pape Matar Sarr,Senegal,7,11.0,1.57,5.0,2.2
2024,Kevin De Bruyne,Belgium,25,39.0,1.56,13.0,2.31
2022,Kylian Mbappé Lottin,France,9,14.0,1.56,4.0,1.75
2024,Jaka Bijol,Slovenia,9,14.0,1.56,9.0,1.56
2024,Kristjan Asllani,Albania,16,25.0,1.56,8.0,2.63
2022,Akram Hassan Afif,Qatar,31,48.0,1.55,13.0,2.69
2024,Pascal Groß,Germany,15,23.0,1.53,6.0,2.67
2024,Joshua Kimmich,Germany,15,23.0,1.53,5.0,3.4
2022,Ali Maâloul,Tunisia,19,29.0,1.53,11.0,2.09
2024,Fabian Lukas Schär,Switzerland,17,26.0,1.53,11.0,2.0
2024,Martín Zubimendi Ibáñez,Spain,29,44.0,1.52,18.0,1.94
2024,Bendegúz Bolla,Hungary,10,15.0,1.5,7.0,1.86
2024,Ivan Toney,England,6,9.0,1.5,3.0,2.33
2022,Raheem Sterling,England,6,9.0,1.5,6.0,1.5
2024,Nicolò Barella,Italy,22,33.0,1.5,6.0,4.17
2024,John McGinn,Scotland,6,9.0,1.5,2.0,3.0
2024,Aurélien Djani Tchouaméni,France,26,39.0,1.5,16.0,1.88
2022,Salem Mohammed Al Dawsari,Saudi Arabia,8,12.0,1.5,3.0,2.67
2022,Ferjani Sassi,Tunisia,12,18.0,1.5,8.0,1.88
2024,Daniel Olmo Carvajal,Spain,14,21.0,1.5,4.0,2.25
2024,Patrick Wimmer,Austria,6,9.0,1.5,3.0,2.0
2024,Lazar Samardžić,Serbia,6,9.0,1.5,2.0,1.5
2024,Lamine Yamal Nasraoui Ebana,Spain,22,33.0,1.5,7.0,2.86
2024,Callum McGregor,Scotland,8,12.0,1.5,6.0,1.83
2024,Arthur Theate,Belgium,12,18.0,1.5,9.0,1.67
2024,Cole Palmer,England,8,12.0,1.5,4.0,2.25
2022,Hiroki Sakai,Japan,6,9.0,1.5,3.0,2.67
2022,Fran Karačić,Australia,8,12.0,1.5,5.0,2.4
2024,Lorenzo Pellegrini,Italy,8,12.0,1.5,2.0,2.0
2022,Tim Ream,United States,14,21.0,1.5,12.0,1.75
2022,Cheikhou Kouyaté,Senegal,6,9.0,1.5,1.0,2.0
2024,Qazim Laçi,Albania,6,9.0,1.5,3.0,2.0
2022,Harry Wilson,Wales,6,9.0,1.5,3.0,3.0
2024,Jon Gorenc Stankovič,Slovenia,6,9.0,1.5,4.0,2.0
2024,Lasha Dvali,Georgia,8,12.0,1.5,5.0,1.6
2022,Alexis Mac Allister,Argentina,18,27.0,1.5,6.0,1.33
2022,Hidemasa Morita,Japan,20,30.0,1.5,13.0,1.62
2024,Georgiy Sudakov,Ukraine,10,15.0,1.5,5.0,2.0
2022,Mohammad Hossein Kanani Zadegan,Iran,6,9.0,1.5,5.0,1.8
2024,Kristjan Asllani,Albania,25,37.0,1.48,15.0,1.93
2024,Aurélien Djani Tchouaméni,France,42,62.0,1.48,26.0,1.88
2022,Aymeric Laporte,Spain,25,37.0,1.48,14.0,2.21
2022,Aaron Ramsey,Wales,15,22.0,1.47,4.0,2.5
2024,Ricardo Iván Rodríguez Araya,Switzerland,17,25.0,1.47,7.0,3.0
2022,Sergej Milinković-Savić,Serbia,15,22.0,1.47,6.0,1.67
2022,Antoine Griezmann,France,17,25.0,1.47,7.0,2.57
2024,Wojciech Szczęsny,Poland,15,22.0,1.47,12.0,1.83
2024,Josip Juranović,Croatia,17,25.0,1.47,9.0,2.44
2024,Christian Dannemann Eriksen,Denmark,15,22.0,1.47,6.0,2.0
2022,Bruno Miguel Borges Fernandes,Portugal,24,35.0,1.46,9.0,2.56
2024,Fabian Lukas Schär,Switzerland,24,35.0,1.46,15.0,2.13
2022,Marcelo Brozović,Croatia,13,19.0,1.46,4.0,2.25
2022,Krystian Bielik,Poland,11,16.0,1.45,7.0,2.0
2022,Luka Modrić,Croatia,22,32.0,1.45,12.0,2.33
2022,Krystian Bielik,Poland,11,16.0,1.45,5.0,2.2
2022,Bassam Hisham Al Rawi,Qatar,20,29.0,1.45,12.0,2.08
2024,Nicolas Seiwald,Austria,11,16.0,1.45,7.0,1.86
2022,Nouhou Tolo,Cameroon,11,16.0,1.45,6.0,2.33
2024,Arda Güler,Turkey,22,32.0,1.45,8.0,2.75
2022,Niklas Süle,Germany,16,23.0,1.44,8.0,2.25
2024,Illia Zabarnyi,Ukraine,16,23.0,1.44,13.0,1.62
2024,Rafael Alexandre Conceição Leão,Portugal,18,26.0,1.44,6.0,2.17
2022,Weston McKennie,United States,16,23.0,1.44,7.0,1.86
2024,Ondrej Duda,Slovakia,9,13.0,1.44,4.0,2.0
2024,Giorgi Mamardashvili,Georgia,9,13.0,1.44,6.0,2.17
2024,Erik Janža,Slovenia,16,23.0,1.44,8.0,2.38
2024,Andrija Živković,Serbia,25,36.0,1.44,14.0,2.07
2024,Harry Kane,England,7,10.0,1.43,4.0,1.5
2022,Damián Emiliano Martínez,Argentina,7,10.0,1.43,5.0,1.8
2024,Nicolò Barella,Italy,28,40.0,1.43,11.0,2.64
2022,Teun Koopmeiners,Netherlands,7,10.0,1.43,6.0,1.5
2024,Ádám Nagy,Hungary,14,20.0,1.43,11.0,1.55
2024,Daniel Vivian Moreno,Spain,7,10.0,1.43,4.0,1.75
2024,Alexander Hartmann Bah,Denmark,7,10.0,1.43,4.0,2.25
2022,Ernesto Alexis Vega Rojas,Mexico,7,10.0,1.43,2.0,4.0
2022,Hassan Khalid Al Heidos,Qatar,7,10.0,1.43,6.0,1.5
2024,Bogdan Racovițan,Romania,7,10.0,1.43,5.0,1.6
2022,Jawad El Yamiq,Morocco,7,10.0,1.43,4.0,2.25
2022,Sofiane Boufal,Morocco,7,10.0,1.43,2.0,3.5
2022,Hassan Mohammed Al-Tambakti,Saudi Arabia,7,10.0,1.43,4.0,1.75
2022,Kamil Glik,Poland,7,10.0,1.43,4.0,2.25
2022,Diego Roberto Godín Leal,Uruguay,14,20.0,1.43,9.0,2.0
2022,Jack Grealish,England,7,10.0,1.43,3.0,1.67
2022,Przemysław Frankowski,Poland,7,10.0,1.43,3.0,2.33
2024,Andrej Kramarić,Croatia,12,17.0,1.42,4.0,2.25
2024,Luka Modrić,Croatia,38,54.0,1.42,25.0,1.72
2024,Mykola Shaparenko,Ukraine,12,17.0,1.42,5.0,2.0
2022,Aaron Mooy,Australia,12,17.0,1.42,8.0,1.75
2022,Woo-Young Jung,South Korea,12,17.0,1.42,5.0,2.0
2022,Ramin Rezaeian,Iran,12,17.0,1.42,7.0,1.86
2022,Héctor Alfredo Moreno Herrera,Mexico,12,17.0,1.42,8.0,2.13
2022,Hassan Khalid Al Heidos,Qatar,12,17.0,1.42,7.0,2.0
2022,Thiago Emiliano da Silva,Brazil,17,24.0,1.41,12.0,1.75
2024,Toni Kroos,Germany,41,58.0,1.41,24.0,2.08
2022,Boualem Khoukhi,Qatar,27,38.0,1.41,19.0,1.74
2022,Aaron Ramsey,Wales,10,14.0,1.4,2.0,4.0
2022,Philip Foden,England,5,7.0,1.4,2.0,2.0
2024,Álvaro Borja Morata Martín,Spain,5,7.0,1.4,3.0,1.67
2022,Mikkel Damsgaard,Denmark,10,14.0,1.4,4.0,1.75
2022,Robert Lewandowski,Poland,5,7.0,1.4,1.0,1.0
2024,Kieran Trippier,England,30,42.0,1.4,14.0,2.43
2022,Krépin Diatta,Senegal,10,14.0,1.4,6.0,1.0
2022,Rodrigo Hernández Cascante,Spain,40,56.0,1.4,31.0,1.65
2022,Ehsan Hajsafi,Iran,5,7.0,1.4,4.0,1.75
2024,Jerdy Schouten,Netherlands,15,21.0,1.4,11.0,1.64
2024,Aleksandar Mitrović,Serbia,5,7.0,1.4,0.0,
2022,Francisco Javier Calvo Quesada,Costa Rica,10,14.0,1.4,5.0,2.4
2024,Wojciech Szczęsny,Poland,10,14.0,1.4,6.0,2.33
2024,Kaan Ayhan,Turkey,5,7.0,1.4,2.0,3.0
2022,Mitchell Thomas Duke,Australia,5,7.0,1.4,2.0,2.0
2022,Olivier Giroud,France,5,7.0,1.4,0.0,
2022,Takuma Asano,Japan,5,7.0,1.4,1.0,2.0
2022,Teun Koopmeiners,Netherlands,10,14.0,1.4,6.0,2.33
2024,Philipp Lienhart,Austria,15,21.0,1.4,6.0,3.17
2024,Timi Elšnik,Slovenia,15,21.0,1.4,13.0,1.46
