season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2023,3920397,Equatorial Guinea,Federico Bikoro Akieme Nchama,0.0,1.0,17.0,4.0,2.0,6.0,2.0,0.0,3.0,19.0,13.0,3.0,0.0,22.0,0.0,77.27,4.55,0.0,8.57,Balanced Defender
2024,3942785,Argentina,Rodrigo Javier De Paul,0.0,1.0,20.0,1.0,0.0,6.0,1.0,1.0,2.0,11.0,13.0,7.0,2.0,22.0,50.0,90.91,4.55,9.09,22.58,Balanced Defender
2022,3857283,Belgium,Thorgan Hazard,0.0,0.0,21.0,1.0,0.0,3.0,2.0,1.0,4.0,14.0,8.0,9.0,2.0,22.0,25.0,95.45,0.0,9.09,29.03,Balanced Defender
2024,3939987,Venezuela,José Andrés Martínez Torres,0.0,1.0,17.0,4.0,1.0,8.0,2.0,0.0,4.0,16.0,14.0,7.0,3.0,22.0,0.0,77.27,4.55,13.64,18.92,Balanced Defender
2022,3857277,Croatia,Luka Modrić,0.0,4.0,17.0,1.0,1.0,8.0,5.0,0.0,0.0,10.0,15.0,11.0,3.0,22.0,,77.27,18.18,13.64,30.56,Balanced Defender
2023,3920384,Guinea-Bissau,Jefferson Anilson Silva Encada,0.0,2.0,16.0,4.0,2.0,6.0,1.0,2.0,4.0,25.0,8.0,2.0,0.0,22.0,50.0,72.73,9.09,0.0,5.71,Balanced Defender
2023,3920390,Angola,Loide António Augusto,0.0,2.0,18.0,2.0,2.0,4.0,2.0,0.0,0.0,15.0,11.0,4.0,2.0,22.0,,81.82,9.09,9.09,13.33,Balanced Defender
2024,3930161,Albania,Mario Mitaj,0.0,3.0,17.0,2.0,0.0,5.0,1.0,0.0,1.0,18.0,11.0,0.0,0.0,22.0,0.0,77.27,13.64,0.0,0.0,Balanced Defender
2024,3930159,Hungary,Barnabás Varga,0.0,0.0,20.0,2.0,1.0,2.0,1.0,0.0,6.0,4.0,14.0,14.0,0.0,22.0,0.0,90.91,0.0,0.0,43.75,Balanced Defender
2022,3857273,Iran,Ahmad Nourollahi,0.0,2.0,18.0,2.0,2.0,9.0,0.0,1.0,4.0,15.0,16.0,6.0,5.0,22.0,25.0,81.82,9.09,22.73,16.22,Balanced Defender
2022,3857282,United States,Tyler Adams,0.0,2.0,17.0,3.0,2.0,10.0,3.0,0.0,4.0,14.0,18.0,9.0,5.0,22.0,0.0,77.27,9.09,22.73,21.95,Balanced Defender
2023,3920415,Mauritania,Idrissa Thiam,0.0,1.0,17.0,4.0,1.0,3.0,4.0,3.0,5.0,22.0,10.0,3.0,1.0,22.0,60.0,77.27,4.55,4.55,8.57,Balanced Defender
2024,3930163,Serbia,Dušan Vlahović,0.0,0.0,19.0,3.0,1.0,4.0,4.0,0.0,3.0,1.0,18.0,15.0,2.0,22.0,0.0,86.36,0.0,9.09,44.12,Balanced Defender
