team,archetype,archetype_score,second_archetype,second_archetype_score,blend_score,gmm_confidence,sample_weight,wc_presence_weight,quality_adjustment,final_score,n_matches,ppda,possession_pct,defensive_line_height,field_tilt_pct,npxg,epr,progressive_carry_pct,avg_xg_per_buildup_possession
Scotland,Low Intensity,35,Compact Transition,70,35.0,0.0,0.7333,0.75,-0.7,18.5,3,15.25,44.17,1.4297,17.12,0.339,261.466,42.4242,0.0653
Senegal,High Press / High Output,95,Possession Dominant,82,95.0,1.0,0.9556,0.8571,-1.1,76.7,8,10.2912,48.3575,1.4185,26.8625,1.088,41.2225,36.5626,0.1164
Serbia,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.8667,0.8286,-0.9,33.6,6,9.435,51.33,1.4503,20.9733,0.854,118.3667,37.6146,0.0882
Slovakia,Mid-Block Reactive,63,Possession Dominant,82,63.0,0.0,0.7778,0.75,0.0,36.8,4,10.55,47.8175,1.3498,21.3025,0.9565,56.5475,31.5426,0.103
South Africa,Moderate Possession,48,High Press / High Output,95,48.0,0.0,0.9111,0.75,1.8,34.6,7,11.4786,51.8714,1.3541,22.0971,0.7344,53.0986,39.7482,0.0801
South Korea,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.7778,0.8571,1.2,33.2,4,10.7975,48.4425,1.4788,31.145,0.9013,74.955,33.6477,0.0728
Spain,Possession Dominant,82,High Press / High Output,95,82.0,0.0,1.0,0.8571,1.8,72.1,11,7.17,64.5036,1.6531,26.1064,1.3224,55.3318,38.9116,0.095
Switzerland,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,1.0,0.8571,2.3,56.3,9,13.5822,47.7611,1.3746,24.3589,1.2712,58.5233,38.1373,0.1626
Tanzania,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7333,0.75,-2.2,17.0,3,15.6833,50.8467,1.235,12.8867,0.1537,261.466,37.3889,0.0263
Tunisia,Moderate Possession,48,High Press / High Output,95,48.0,0.0021,0.8667,0.8286,0.9,35.4,6,10.3467,47.8117,1.3597,23.0567,0.8048,67.9967,36.4104,0.0918
Turkey,Compact Transition,70,Possession Dominant,82,70.0,1.0,0.8222,0.75,1.1,44.3,5,13.278,49.52,1.3322,26.088,1.293,42.902,44.51,0.098
Ukraine,Compact Transition,70,Possession Dominant,82,70.0,1.0,0.7333,0.75,-1.0,37.5,3,13.3633,50.94,1.392,20.0567,0.9947,69.7767,36.8293,0.0747
United States,High Press / High Output,95,Possession Dominant,82,95.0,1.0,0.9111,0.8571,-2.6,71.6,7,8.5486,49.9086,1.5027,26.4686,1.104,60.6243,41.5114,0.1076
Uruguay,High Press / High Output,95,Possession Dominant,82,95.0,1.0,1.0,0.8286,0.0,78.7,9,8.1211,50.7744,1.4531,26.1244,1.2362,44.3011,36.9088,0.117
Venezuela,Possession Dominant,82,Moderate Possession,48,82.0,0.0,0.7778,0.75,3.1,50.9,4,6.79,53.3825,1.4865,28.925,1.144,29.2475,30.5395,0.0935
Wales,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.7333,0.8286,-1.8,27.4,3,9.9967,46.16,1.3593,18.88,0.4787,100.2133,33.1111,0.051
Zambia,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7333,0.75,0.7,19.9,3,12.01,44.4167,1.38,15.2467,0.4443,206.9267,31.7705,0.051
