player,finishing_quality,xg_volume,progressive_passes,progressive_carries,packing,xg_chain,team_involvement,xg_buildup,network_centrality,defensive_actions,high_turnovers,pressure_volume,pressure_success,recency_factor,league_mult,finishing_quality_percentile,xg_volume_percentile,progressive_passes_percentile,progressive_carries_percentile,packing_percentile,xg_chain_percentile,team_involvement_percentile,xg_buildup_percentile,network_centrality_percentile,defensive_actions_percentile,high_turnovers_percentile,pressure_volume_percentile,pressure_success_percentile,latest_club,position,Mobility_Intensity,Progression,Control,Final_Third_Output,overall_quality,latest_club_right,position_right
Alexandre Monteiro de Lima,0.14429471920638895,0.5135000000000001,2.0215,1.7745,0.0,0.254475,19.208475,0.0712,8.890522727272726,12.8375,2.2208333333333337,14.075099999999997,17.286099999999998,0.7,0.65,50.59191176470588,25.113970588235293,53.62499999999999,46.75,33.426199261992615,78.83333333333333,20.9,25.59695817490494,36.76102941176471,18.61046511627907,71.37209302325581,55.21912350597609,26.42629482071713,Jamshedpur,Center Attacking Midfield,40.84116617831002,43.27997693726937,32.35559337955714,70.63725490196077,33.4193811355317,Jamshedpur,Center Attacking Midfield
Germanpreet Singh,0.04128790494869288,0.767,1.7095,1.0270000000000001,0.0,0.2048090909090909,23.550681818181815,0.13027857142857144,7.124866666666668,13.08125,1.21875,14.956500000000002,17.073333333333334,0.7,0.65,38.94485294117647,34.57720588235294,45.17857142857143,25.142857142857142,33.426199261992615,71.86666666666667,30.8,59.09885931558935,25.113970588235293,20.72093023255814,30.12209302325581,58.76892430278885,24.84860557768924,Chennaiyin,Right Attacking Midfield,33.29481252316316,35.6997983658408,50.22696028573025,64.84553921568629,33.38647123672624,Chennaiyin,Right Attacking Midfield
Cédric Bakambu,-0.3150101553723289,2.23,,,0.0,0.7351050026297111,19.23855754430955,,3.4537007911381385,15.0,1.0,,,0.85,1.0,8.735294117647058,77.52573529411765,,,33.426199261992615,94.96666666666667,21.266666666666666,,5.095588235294118,34.151162790697676,22.83139534883721,,,Betis,Center Forward,14.089752906976745,14.70752767527675,13.142169117647057,84.5994362745098,33.268417078389405,Betis,Center Forward
Jorge Rolando Pereyra Díaz,0.19987059933865747,4.966,1.4170000000000003,2.4245,0.0,0.26396190476190473,26.810333333333336,0.047032142857142856,7.868714285714287,11.61875,1.38125,8.008325,16.323775,0.7,0.65,54.23161764705882,94.26838235294117,31.428571428571427,59.32142857142857,33.426199261992615,79.93333333333334,37.766666666666666,5.64638783269962,31.665441176470587,8.441860465116278,39.906976744186046,16.171314741035857,18.143426294820717,Kerala Blasters,Right Center Forward,17.067326044658575,29.668440959409594,25.45838717568776,88.83120098039215,33.194074228040634,Kerala Blasters,Right Center Forward
Ariday Cabrera Suárez,0.9773357753651112,1.7225,0.8320000000000001,2.561,0.0,0.130446875,24.19990625,0.06136,6.003705882352943,11.700000000000001,1.3,7.58509375,14.961781250000001,0.7,0.65,93.17647058823529,66.24264705882352,7.071428571428571,61.875,33.426199261992615,46.2,32.63333333333334,15.433460076045627,14.558823529411764,9.784883720930232,35.49418604651162,13.01593625498008,11.43824701195219,Odisha,Center Attacking Midfield,19.549350736588526,45.5172983658408,27.65060027585179,85.78544117647058,33.16382757095475,Odisha,Center Attacking Midfield
Álvaro Vázquez García,0.2575591995039931,4.8945,1.1050000000000002,1.7095,0.0,0.12533695652173912,32.569804347826086,0.06998333333333333,8.96208695652174,11.375,1.3000000000000003,5.734772727272727,15.470886363636362,0.7,0.65,62.23897058823529,93.54044117647058,19.249999999999996,44.0,33.426199261992615,43.266666666666666,50.96666666666667,23.714828897338403,37.125,7.098837209302326,37.98837209302326,5.521912350597609,13.41035856573705,Kerala Blasters,Left Center Forward,15.696660740757899,22.257190959409595,35.142987167300376,85.38291666666666,32.95748561004904,Kerala Blasters,Left Center Forward
Jerry Mawihmingthanga,0.5832224720058081,1.0075,0.9880000000000001,1.7420000000000002,0.0,0.08240555555555555,22.473750000000003,0.07005000000000002,8.347368421052632,14.200000000000001,1.9000000000000001,12.297657894736842,16.465184210526317,0.7,0.65,79.70955882352942,42.94852941176471,12.178571428571427,44.78571428571428,33.426199261992615,20.166666666666668,27.866666666666667,24.09125475285171,34.94117647058823,27.627906976744185,57.941860465116285,43.78087649402391,19.721115537848604,Odisha,Right Wing,51.73968428611137,32.31123879810226,24.86154998881682,70.07916666666667,32.79431074310161,Odisha,Right Wing
Raynier Fernandes,-0.16077370772481472,0.7865,2.3335,1.7485,0.0,0.19555000000000003,14.872,0.17437727272727274,5.42709375,,,11.868566666666668,15.854366666666666,0.7,0.65,16.014705882352942,35.30514705882353,59.32142857142857,45.17857142857143,33.426199261992615,70.03333333333335,7.333333333333333,75.6615969581749,13.102941176470589,,,42.20318725099602,15.382470119521912,Mumbai City,Right Wing,33.86115537848605,44.25409594095942,46.92967876314023,61.15865196078432,32.65753245495075,Mumbai City,Right Wing
Chancel Mbemba Mangulu,0.05528862598299159,2.4255,4.357500000000001,1.53825,0.0,0.12061875000000001,41.41725,0.10158750000000001,27.376125,,,6.407625,32.338687500000006,0.85,1.05,41.856617647058826,81.16544117647058,84.85714285714285,38.107142857142854,33.426199261992615,39.96666666666667,64.9,45.17110266159696,95.36029411764706,,,7.888446215139442,84.01195219123507,Marseille,Right Center Back,29.565403386454186,41.271476673695304,48.01244005815254,10.96720220588235,32.02783302865153,Marseille,Right Center Back
Gurjinder Kumar,-0.20334236033095907,0.75,1.87,1.2,0.0,0.07793749999999999,29.25625,0.06712499999999999,19.679375,15.0,2.0,8.004375,31.858124999999998,0.7,1.0,12.375,33.48529411764706,49.89285714285714,28.678571428571427,33.426199261992615,16.133333333333333,43.266666666666666,20.70342205323194,82.25735294117646,34.151162790697676,62.54651162790698,15.776892430278885,82.82868525896414,NorthEast United,Left Back,61.73365005095895,46.12476278334211,46.93187929620517,16.30148774509804,31.68817494763808,NorthEast United,Left Back
