team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Napoli,62.501842105263165,23.440526315789473,0.019260693486337577,124.65789473684211,0.40889473684210526,0.101,1.700807049073965,5.935,0.13230276443144626,1.5272105263157894,0.39866087456020677,3.253947368421053
Bologna,45.94736842105263,23.30736842105263,0.012511853334738173,73.89473684210526,0.445,0.08589189189189189,0.8512208077897269,4.117894736842105,0.0993853798875376,1.393921052631579,0.4200343913141116,3.3763157894736846
Levante UD,45.875263157894736,24.40157894736842,0.015601776960281161,62.55263157894737,0.47913157894736846,0.0815,0.9663234794524646,3.5939473684210523,0.1072779628479476,1.3996315789473683,0.4042871262663701,3.559473684210526
Celta Vigo,56.03763157894736,23.40921052631579,0.014762326542663125,96.28947368421052,0.43500000000000005,0.11592105263157895,1.3205053978967236,4.654736842105263,0.15081160455609796,1.456342105263158,0.43823432816213437,3.761052631578947
Darmstadt 98,33.77970588235294,30.080000000000002,0.02122506055384923,35.205882352941174,0.46905882352941175,0.11900000000000001,1.0759164412413478,2.558529411764706,0.11821152910089702,1.3593529411764704,0.41969019482593417,4.253235294117647
Hannover 96,45.518235294117645,23.290294117647058,0.01417647205984139,56.794117647058826,0.44961764705882357,0.10023529411764706,0.9306633576540181,3.851764705882353,0.09244908502596733,1.3609117647058824,0.4097689014915833,3.6258823529411766
Aston Villa,46.59842105263158,24.931842105263158,0.006080321040950962,71.8157894736842,0.4869473684210527,0.07542105263157894,0.7784478057200384,4.112631578947369,0.08278506383164132,1.363263157894737,0.38663318279660663,3.446578947368421
RC Deportivo La Coruña,47.33552631578947,27.275263157894738,0.01654727949661434,78.07894736842105,0.4532368421052631,0.10871052631578948,1.0899115700250197,3.896578947368421,0.10182753630955571,1.4205526315789474,0.4399781995773885,3.6086842105263157
Chelsea,55.707631578947364,29.436842105263157,0.019695548287783058,104.71052631578948,0.47289473684210526,0.11021052631578947,1.409999876975474,5.040263157894737,0.1165966064250867,1.4297105263157894,0.44979171949143326,3.990789473684211
Werder Bremen,44.84147058823529,25.273529411764706,0.023915872401786657,65.20588235294117,0.46397058823529413,0.12888235294117645,1.4696731575326447,3.415,0.10795364343546594,1.4217058823529412,0.45952683958198665,3.7358823529411764
Schalke 04,52.17558823529412,23.191176470588236,0.01870228167836476,80.67647058823529,0.4682352941176471,0.1053235294117647,1.346915126312524,4.465,0.10697542711512444,1.3948529411764705,0.4018848269800449,3.5261764705882355
Las Palmas,54.56552631578947,20.01342105263158,0.011350127539591037,78.97368421052632,0.46950000000000003,0.0925,0.970850030474953,4.781315789473684,0.10338448144520622,1.3775,0.3739172648675208,3.5273684210526315
Stoke City,49.400263157894734,22.64342105263158,0.01463632582001941,80.26315789473684,0.4407368421052632,0.10526315789473684,1.062337995800925,4.3315789473684205,0.089187222756824,1.3402368421052633,0.36357287871798977,3.492368421052632
Ingolstadt,45.43117647058824,30.53205882352941,0.013532069013551968,59.588235294117645,0.4182352941176471,0.08135294117647059,1.175327733529711,3.142352941176471,0.18760690834850743,1.5172058823529413,0.4690605433585037,4.132941176470588
Bayer Leverkusen,52.91029411764706,28.96558823529412,0.021251328208013,83.32352941176471,0.46167647058823524,0.1248235294117647,1.46466709073609,3.937941176470588,0.1756016940398719,1.533264705882353,0.4996818239490918,3.525
Guingamp,42.93289473684211,22.41894736842105,0.010076982845262625,61.1578947368421,0.489921052631579,0.10681578947368421,1.0525796993905188,3.400526315789474,0.1036071652534286,1.4005,0.3872492646203447,3.5360526315789476
Liverpool,56.87947368421053,26.522368421052633,0.019071901067022674,102.1842105263158,0.43021052631578943,0.09897368421052632,1.5361488731823076,4.895789473684211,0.13527945888216447,1.4550526315789474,0.48270159343312413,3.626578947368421
Marseille,56.55657894736842,21.545,0.01602780402213524,86.0,0.47618421052631577,0.11536842105263159,1.3208341206129837,4.776578947368421,0.13700111764069653,1.5047105263157896,0.47516288029006853,3.766052631578947
Caen,40.52578947368421,26.70342105263158,0.020503302110760995,75.78947368421052,0.45889473684210524,0.08436842105263158,1.0972638826841783,3.2260526315789475,0.09975847947075502,1.4336052631578946,0.43032169642902296,3.9326315789473685
VfB Stuttgart,47.722647058823526,26.619705882352942,0.024137612790095058,68.08823529411765,0.4698823529411764,0.11611764705882353,1.587271968725391,3.6708823529411765,0.12466999119976535,1.4734117647058822,0.44517507316032123,3.9238235294117647
Sporting Gijón,43.21631578947368,22.545,0.012359250899298126,66.97368421052632,0.47592105263157897,0.10613157894736842,1.0785702316543873,3.525263157894737,0.11565619673727782,1.4000526315789472,0.3826910556230094,3.751052631578947
Gazélec Ajaccio,47.105405405405406,23.02918918918919,0.011736754121345347,75.29729729729729,0.39351351351351355,0.077,0.9145287928687459,3.8605405405405406,0.13200142704245452,1.4342972972972974,0.4187008613274862,3.6016216216216215
Espanyol,45.986315789473686,23.26236842105263,0.01518602885345482,70.39473684210526,0.48307894736842105,0.11773684210526317,1.1726782592748732,3.628947368421053,0.12521005634452534,1.3858947368421053,0.40283784626624963,3.788947368421052
Athletic Club,49.59026315789474,24.368684210526315,0.019426211070895448,82.92105263157895,0.42889473684210533,0.1051578947368421,1.3228998328988,3.979736842105263,0.14265870781244133,1.517736842105263,0.4710075284318437,3.7310526315789474
FSV Mainz 05,46.077058823529406,20.977941176470587,0.01698564712817669,57.794117647058826,0.48447058823529415,0.1331764705882353,1.3132667980184232,3.651764705882353,0.12266397286961542,1.424970588235294,0.3806400689535641,3.8585294117647058
Carpi,38.932105263157894,25.643684210526317,0.01639959777828607,59.578947368421055,0.4754473684210526,0.08528947368421053,1.0801879396343506,3.146315789473684,0.10007900974453517,1.3655526315789472,0.40971089855426646,3.745789473684211
Granada,44.7171052631579,22.23342105263158,0.01757753775701367,63.73684210526316,0.4698947368421053,0.09615789473684211,1.0490442401680506,3.4347368421052633,0.12487676634899769,1.4203157894736842,0.4029044902145742,3.65078947368421
Crystal Palace,46.03131578947369,27.064736842105265,0.018599824770071903,64.36842105263158,0.4960526315789474,0.09397368421052632,1.115355158935448,3.675526315789474,0.11428227722474513,1.3558684210526317,0.5248394491240198,3.796842105263158
West Bromwich Albion,40.15105263157895,28.557105263157897,0.01707044252876145,61.60526315789474,0.4483947368421053,0.09752631578947368,1.0164942776563723,3.3378947368421055,0.09719167220829708,1.4021315789473683,0.42256153271131536,3.602368421052631
Bastia,43.667567567567566,19.06027027027027,0.009434659880511308,58.2972972972973,0.456054054054054,0.09005405405405405,0.7255232874996256,3.5897297297297297,0.11450499798842573,1.3995405405405406,0.3460634608707631,3.5094594594594595
Empoli,52.610789473684214,21.181578947368422,0.014288668709695614,68.55263157894737,0.46489473684210525,0.09184210526315789,0.9713044930371995,4.562368421052632,0.1120778646217372,1.4411315789473684,0.3909855350296271,3.2463157894736843
Bordeaux,50.615405405405404,21.95243243243243,0.01701509284722286,78.02702702702703,0.45881081081081077,0.10324324324324324,1.1145864251908228,4.31891891891892,0.13478561801027286,1.4555675675675677,0.4325073236126512,3.422162162162162
Real Betis,46.73447368421053,24.64,0.014189005014693088,63.28947368421053,0.495421052631579,0.12000000000000001,1.0489902453394422,3.745789473684211,0.10440707770084626,1.388605263157895,0.4346728922108526,3.5476315789473687
Real Madrid,57.37736842105264,26.73763157894737,0.03033593051475284,122.84210526315789,0.44576315789473686,0.12555263157894736,2.1261819157455313,5.588947368421053,0.10049719665714588,1.480078947368421,0.4606858054226475,3.655263157894737
Angers,42.76394736842105,20.08921052631579,0.012550864027902554,65.44736842105263,0.4643421052631579,0.0721578947368421,0.9392660753004939,3.7660526315789475,0.08757980133213487,1.3707894736842106,0.3621853153185786,3.851842105263158
Leicester City,42.568684210526314,29.37447368421053,0.03331930415263749,68.47368421052632,0.4853157894736842,0.12602631578947368,1.744267662680757,3.4676315789473686,0.122715236065362,1.3961315789473683,0.4858496144067439,3.7907894736842107
