team,pressing_intensity,territorial_dominance,ball_control,possession_efficiency,defensive_positioning,attacking_threat,progression_style,buildup_quality
Peru,0.14018691588785048,23.5,38.03,0.009828653802050911,1.5243333333333335,0.47333333333333333,1.4761904761904763,0.08333333333333333
Japan,0.058436815193571946,23.34,36.0325,0.03311806590495115,1.3885,1.846,1.5890410958904109,0.15725
Portugal,0.11410314924691922,26.412,63.601,0.025469920024451122,1.5389,2.2023,1.5193798449612403,0.0973
Bolivia,0.09143553794574824,13.523333333333333,43.73333333333333,0.002679887444727321,1.3419999999999999,0.32966666666666666,1.8888888888888888,0.06266666666666666
Italy,0.061671292013567684,21.86,53.485,0.008485722771437058,1.4655,0.826,2.5348837209302326,0.06475
Mauritania,0.10416666666666667,22.99,36.865,0.022275435763212118,1.3094999999999999,0.933,1.6666666666666667,0.0695
Morocco,0.08072209583914287,20.38181818181818,44.655454545454546,0.02262769218110382,1.4939090909090909,1.5039090909090909,1.3696969696969696,0.11345454545454546
Jamaica,0.08138903960933261,20.593333333333334,47.29,0.014411298457991065,1.2753333333333332,0.703,2.263157894736842,0.11099999999999999
Equatorial Guinea,0.11185682326621925,19.6525,45.6,0.015487068297971193,1.28325,1.0394999999999999,1.8125,0.151
Tunisia,0.09664948453608248,23.05666666666667,47.81166666666667,0.014706603264865925,1.3596666666666666,0.8048333333333334,1.6842105263157894,0.09183333333333334
Slovakia,0.0947867298578199,21.302500000000002,47.8175,0.017684247756311066,1.34975,0.9565,1.925,0.10300000000000001
Nigeria,0.11684192956100817,27.575714285714287,43.24571428571429,0.022701475595913734,1.3754285714285714,1.9532857142857143,1.4903846153846154,0.09928571428571428
Cameroon,0.12199372603694666,26.777142857142856,51.67142857142857,0.009759906304899472,1.4205714285714286,0.8374285714285714,1.4150943396226414,0.077
Côte d'Ivoire,0.15723270440251574,25.724285714285713,58.22714285714286,0.017921146953405017,1.5177142857142858,1.6460000000000001,1.540983606557377,0.08385714285714285
Qatar,0.04906771344455348,16.743333333333336,43.18,0.006527841242900973,1.2633333333333334,0.4693333333333333,1.564102564102564,0.07266666666666666
France,0.08029151998023594,27.766923076923074,50.925384615384615,0.02521432173474534,1.404923076923077,2.082076923076923,1.2852852852852852,0.11738461538461539
Scotland,0.06557377049180328,17.12,44.169999999999995,0.0036232321646396696,1.4296666666666666,0.33899999999999997,2.0714285714285716,0.06533333333333334
Ecuador,0.15037593984962408,21.425714285714285,47.05571428571428,0.020224199699526175,1.4224285714285716,1.6720000000000002,1.6025641025641026,0.06885714285714285
Uruguay,0.12313585989875495,26.124444444444446,50.77444444444445,0.022572797271199617,1.453111111111111,2.0196666666666667,1.5845070422535212,0.11699999999999999
