player,finishing_quality,xg_volume,progressive_passes,progressive_carries,xg_chain,team_involvement,xg_buildup,network_centrality,defensive_actions,high_turnovers,pressure_volume,pressure_success,recency_factor,league_mult,finishing_quality_percentile,xg_volume_percentile,progressive_passes_percentile,progressive_carries_percentile,xg_chain_percentile,team_involvement_percentile,xg_buildup_percentile,network_centrality_percentile,defensive_actions_percentile,high_turnovers_percentile,pressure_volume_percentile,pressure_success_percentile,latest_club,position,Mobility_Intensity,Progression,Control,Final_Third_Output,overall_quality,latest_club_right,position_right
Christian Pulisic,0.357553238727711,0.8356980374679788,3.581045784724457,5.661177688060774,0.14097172698481575,84.05301957585348,0.12070218152791606,20.32435794601344,20.881940405719398,3.521293603812932,15.567417182400598,27.185461012877678,1.0,1.3,69.15441176470588,37.85294117647059,77.39285714285714,92.71428571428571,50.233333333333334,98.26666666666667,53.45247148288973,83.34926470588235,58.325581395348834,93.62790697674419,61.92430278884462,71.39043824701196,AC Milan,Right Wing,86.93465208931715,72.33285714285714,72.02179227941176,64.21007506709908,74.09221326204528,AC Milan,Right Wing
Bukayo Saka,0.9255715979160295,1.3583343026273447,1.3821860467798621,5.137037790932379,0.15235851149747803,51.14810409939161,0.1346636859091698,15.378225758184877,23.46194334882167,2.7741143779040636,13.856464058799508,28.844321661445928,1.0,1.3,92.44852941176471,54.59558823529412,28.678571428571427,90.75,55.733333333333334,81.03333333333333,61.73384030418251,69.51838235294117,75.97674418604652,84.41860465116278,52.85258964143426,76.12350597609561,Arsenal,Right Wing,80.79588158991938,65.15142857142858,59.479568014705876,84.5523174345784,73.82507546272397,Arsenal,Right Wing
Philip Foden,-0.1657095711092256,1.2137169329341686,2.2826845928388457,3.6002910608579093,0.21283054823323444,56.7206928681698,0.29343901892125546,10.464935856628014,44.85,1.3,19.492555393630425,20.535399894028046,1.0,1.3,15.286764705882353,50.955882352941174,57.74999999999999,77.39285714285714,73.33333333333334,85.06666666666666,91.84790874524715,43.67647058823529,98.61627906976744,35.302325581395344,80.06772908366533,44.569721115537845,Manchester City,Left Wing,88.42309946261466,59.55714285714286,59.14360294117646,81.65032780697831,73.82446303132102,Manchester City,Left Wing
Rodrygo Silva de Goes,-0.36922328802442844,1.331226380667263,2.8950348830503456,6.963105014078049,0.1878601099795251,44.313356725135144,0.20738549763130695,12.464739161312767,22.800522494225326,2.6,23.468182800684843,27.363480534524275,1.0,1.3,7.279411764705882,53.86764705882352,69.53571428571428,95.85714285714285,68.2,68.56666666666668,81.68441064638783,53.86764705882352,70.22093023255815,80.96511627906978,89.13944223107569,71.78486055776892,Real Madrid,Left Wing,85.80588575928842,73.52714285714285,49.77136029411764,73.00644766271527,71.82044166994541,Real Madrid,Left Wing
Amine Adli,0.2252130407415724,2.0771731900117483,2.512706639003049,5.4929176151798655,0.3529294852719358,31.237897414821916,0.36781550262118934,6.404497824226905,24.0,0.7777777777777779,25.83638232212664,17.985625276652552,1.0,1.0,58.23529411764706,76.06985294117646,63.24999999999999,91.92857142857142,86.53333333333333,46.93333333333334,95.23574144486692,18.198529411764703,76.93604651162791,15.732558139534884,92.29482071713147,30.764940239043824,Bournemouth,Right Wing,80.78600192254238,70.10142857142857,31.967334558823524,90.37058564918362,70.76429052055958,Bournemouth,Right Wing
Niclas Füllkrug,0.6144504252850738,1.5423045054870435,1.709297630192542,3.653214402706803,0.47142464242711446,50.27845551970256,0.30574045110136727,7.159609341765084,49.4,1.3,19.620645968308363,7.527764376167238,1.0,1.3,81.89338235294117,60.78308823529412,44.78571428571428,78.57142857142857,90.93333333333334,78.83333333333333,93.35361216730037,25.477941176470587,99.0,35.302325581395344,81.25099601593625,0.3944223107569721,AC Milan,Center Attacking Midfield,55.572452515519316,62.4780357142857,67.28852328431373,89.86978472377542,70.44124821336342,AC Milan,Center Attacking Midfield
Fabián Ruiz Peña,0.6331276916375678,1.7937413531982156,7.157130994776387,2.86162999195109,0.18596832296196142,59.64342737205718,0.1806497080409648,26.183874463136416,28.626223257235115,2.3126913877834303,26.653351083808793,37.57949465551949,1.0,1.3,82.98529411764706,66.97058823529412,96.25,68.75,66.73333333333333,88.73333333333333,77.16730038022814,93.90441176470588,90.94186046511628,73.67441860465117,93.47808764940238,92.29482071713147,Paris Saint-Germain,Center Midfield,73.37108032984341,73.7,74.503,52.08381398177142,69.21762077115612,Paris Saint-Germain,Center Midfield
Raphael Dias Belloli,0.05972346740251035,1.1288517441525174,2.7695308861543064,3.873821947012217,0.2909135644879717,48.03893443454928,0.2407945135990725,12.07518937483986,22.181940405719402,2.221293603812932,18.559721075226566,26.554181149986192,1.0,1.3,42.220588235294116,49.13602941176471,66.39285714285714,80.92857142857143,82.5,75.16666666666667,85.07224334600761,52.411764705882355,67.9186046511628,71.75581395348837,75.72908366533865,69.0239043824701,Barcelona,Right Wing,74.34241406467154,62.99857142857143,53.81507352941176,78.97023491668531,68.75290458345714,Barcelona,Right Wing
Alejandro Grimaldo García,4.198645328528728,5.991499999999999,3.7777499999999993,3.7375,0.23292428571428572,62.666785714285716,0.17611428571428572,18.966785714285713,23.19166666666667,3.4499999999999997,11.802285714285714,30.856142857142853,1.0,1.15,99.0,97.18014705882352,79.35714285714285,79.74999999999999,75.9,92.4,76.03802281368822,80.07352941176471,72.90697674418604,93.05232558139535,41.41434262948207,80.4621513944223,Bayer Leverkusen,Left Wing Back,73.71566573820995,79.6910714285714,58.858169117647066,52.47487450724111,68.67815679065676,Bayer Leverkusen,Left Wing Back
Josip Stanišić,1.3619287510738565,1.0270000000000001,3.9364172237377772,3.089748144924615,0.4066085704133855,54.972338256359095,0.36679081085116366,19.183424248558552,24.41111111111111,1.4444444444444446,20.27439626621684,47.64743625777865,1.0,1.3,95.36029411764706,43.85845588235294,81.32142857142857,71.10714285714286,89.10000000000001,83.6,94.85931558935361,81.16544117647058,78.27906976744185,42.20930232558139,83.22310756972112,99.0,Bayern Munich,Right Back,78.20285682849995,79.78928571428571,54.10263051470587,50.04480844085496,68.50920278542286,Bayern Munich,Right Back
Luka Modrić,0.008076604653525327,1.6620512355615131,7.680231831504319,3.6512507269705083,0.151480847412683,79.72586483706532,0.10528443644119231,31.004688728823844,24.54708737178861,4.242924397831984,22.795143734727112,29.06917417626938,1.0,1.3,33.849264705882355,64.05882352941177,97.42857142857142,78.17857142857143,55.36666666666667,97.9,47.053231939163496,97.54411764705881,78.66279069767441,98.23255813953489,87.16733067729083,77.30677290836653,AC Milan,Right Center Midfield,75.49239970351154,75.63285714285713,78.27729411764706,38.912754064387165,68.46404292231614,AC Milan,Right Center Midfield
Alphonso Davies,-0.20888074878296276,2.5349999999999997,3.1436185991671777,4.297603039979114,0.17364384001381683,53.28710992988608,0.14769217135252058,21.379185592075796,23.048607072386066,2.7092538742925307,13.678766641197141,43.06834285716151,1.0,1.3,12.011029411764707,81.89338235294117,72.28571428571428,86.03571428571428,63.06666666666667,82.5,65.49809885931559,86.625,72.52325581395348,83.65116279069767,51.669322709163346,96.63346613545816,Bayern Munich,Left Back,76.90733432548873,83.97321428571428,55.904062499999995,40.70580576912324,68.21976467554018,Bayern Munich,Left Back
Nuno Mendes,-0.05706889489323206,1.0817270680705335,5.531263768355798,3.6603428381696044,0.29621098228288595,45.82699617559115,0.23984194560003863,16.787608135304268,25.471405098074523,2.596672221924127,17.406291599039598,35.093769073524875,1.0,1.3,25.113970588235293,46.588235294117645,90.35714285714286,78.96428571428571,83.23333333333333,71.86666666666667,84.69581749049429,74.97794117647058,81.73255813953489,79.81395348837209,72.96812749003985,88.35059760956175,Paris Saint-Germain,Left Back,73.1512644190679,88.64821428571429,48.432312499999995,42.49268319797026,67.43566161501825,Paris Saint-Germain,Left Back
Joshua Kimmich,-0.014217484447193122,0.41221293603812936,7.221862674648532,4.634514021655462,0.129697703324585,63.96410892163207,0.14847728263978285,28.954592957392716,23.589353198093534,4.1712936038129325,16.018805306779285,39.46703335499386,1.0,1.3,30.573529411764707,18.926470588235293,96.64285714285714,88.39285714285714,45.46666666666667,93.86666666666667,65.8745247148289,96.08823529411765,76.36046511627907,97.84883720930232,66.65737051792829,94.66135458167331,Bayern Munich,Center Defensive Midfield,70.24409107755025,71.55401785714284,81.39175,23.270102661596955,67.21440373296676,Bayern Munich,Center Defensive Midfield
Vitor Machado Ferreira,-0.5380777271423273,1.5345954047439512,5.7164473969149885,2.0117797541703757,0.2831342554004759,52.49095892536948,0.28566941277913976,21.503016168864576,30.741108681825583,3.8044975102396354,20.557614525401014,31.716168906836234,1.0,1.3,4.0036764705882355,60.41911764705882,91.14285714285714,52.642857142857146,81.4,82.13333333333334,91.47148288973384,87.35294117647058,96.31395348837209,95.93023255813952,83.61752988047809,82.0398406374502,Paris Saint-Germain,Center Midfield,75.40990734735476,68.2942857142857,69.256,53.18762071893871,67.19347800545,Paris Saint-Germain,Center Midfield
Federico Santiago Valverde Dipetta,0.46788423156756276,1.8682805241108096,6.585752180911525,2.65301889546619,0.12605872384521866,66.33092788075452,0.12413336954363619,36.46792105365271,23.043487397225345,2.4391456620422436,13.912120922193187,37.00754290612607,1.0,1.3,74.25,70.97426470588235,93.89285714285714,63.64285714285714,44.0,94.60000000000001,56.087452471482884,99.0,72.13953488372093,76.36046511627907,53.6414342629482,90.71713147410358,Real Madrid,Left Center Midfield,68.37310756972111,71.4842857142857,78.67200000000001,45.74269621239655,67.06762857877482,Real Madrid,Left Center Midfield
Theo Bernard François Hernández,0.30892206061949473,0.9843019625320213,4.292148255847484,3.6134691138456936,0.11584838299523385,57.61268853468074,0.09440426354800921,28.38914141381292,29.900000000000002,0.65,11.214044026677598,43.31278421690101,1.0,1.3,65.87867647058823,41.49264705882353,84.46428571428571,77.78571428571428,38.13333333333333,85.8,43.28897338403042,95.72426470588235,93.24418604651163,12.087209302325581,38.65338645418326,97.02788844621514,AC Milan,Left Back,73.09615135388677,83.46249999999999,61.25315624999999,33.15102768885596,66.76781817776214,AC Milan,Left Back
Jeremie Frimpong,0.30807403003024075,10.028,1.7249999999999999,6.112249999999999,0.32566562499999996,47.45223437499999,0.1322910714285714,10.152470588235293,21.849999999999998,2.9192307692307686,17.03454411764706,27.070999999999998,1.0,1.15,65.51470588235294,98.27205882352942,45.96428571428571,94.67857142857142,85.06666666666666,73.7,60.60456273764259,42.94852941176471,64.46511627906978,85.18604651162791,71.39043824701196,70.60159362549801,Bayer Leverkusen,Right Wing Back,69.2779513341981,87.37142857142855,44.906731617647054,50.599884904104236,66.64819654236881,Bayer Leverkusen,Right Wing Back
Ademola Lookman,0.9307859178837039,1.7160000000000002,1.4689999999999999,4.186000000000001,0.13520000000000001,62.21150000000001,0.09143333333333334,17.217571428571432,31.416666666666668,3.0333333333333337,27.79214285714286,27.55814285714286,0.85,1.3,92.8125,65.51470588235294,32.80357142857143,83.67857142857143,48.400000000000006,90.93333333333334,41.40684410646388,77.16176470588235,96.69767441860465,88.63953488372093,95.05577689243029,72.57370517928287,Atlético Madrid,Left Wing,94.16087394607615,60.83785714285714,66.65069852941176,83.57880374916127,66.1797997776323,Atlético Madrid,Left Wing
João Félix Sequeira,-0.05505031156177468,1.114412427447125,3.1872158439201637,6.507199856336007,0.5993846627938875,50.78481338401859,0.285446655655401,14.175305790804352,24.7,1.3,18.846196969354494,18.993647009266038,1.0,1.3,25.841911764705884,48.044117647058826,73.07142857142857,95.46428571428571,93.50000000000001,80.3,91.09505703422053,64.05882352941177,79.81395348837209,35.302325581395344,76.91235059760956,35.49800796812749,Chelsea,Left Midfield,54.70069894839248,78.28955357142856,66.18424999999999,63.627061112586674,66.10892283795269,Chelsea,Left Midfield
Exequiel Alejandro Palacios,0.9172530067213879,3.0934999999999997,4.47185689153082,0.9349758808713006,0.27161252800725205,55.66314582977225,0.16610934210058317,25.458518643196015,23.319444444444443,3.0027777777777778,22.996801202190635,31.66505961166424,1.0,1.15,92.08455882352942,86.26102941176471,86.03571428571428,21.21428571428571,80.3,83.96666666666667,72.27376425855513,93.17647058823529,74.44186046511628,88.25581395348837,87.95617529880478,81.64541832669322,Bayer Leverkusen,Center Midfield,69.36121189659964,61.04999999999999,73.43599999999999,58.03079269878104,65.83533926934012,Bayer Leverkusen,Center Midfield
Maximiliano Javier Araújo Vilches,0.6010542094099431,1.035,2.7944999999999998,5.3475,0.09981999999999999,26.208499999999997,0.06325,10.82725,21.849999999999998,3.066666666666667,21.296083333333332,17.654416666666666,1.0,1.15,80.80147058823529,44.404411764705884,67.96428571428571,91.53571428571428,31.900000000000002,36.66666666666667,16.56273764258555,45.13235294117647,64.46511627906978,89.0232558139535,85.19521912350598,28.003984063745015,Sporting CP,Left Wing,82.31784721578802,70.39999999999999,32.896874999999994,69.58617591142921,65.60469841611753,Sporting CP,Left Wing
Adrien Rabiot,0.3197859178837039,0.949,5.362312864206133,4.059854652034551,0.16312664429893703,66.7028105927686,0.16320236120609521,21.979488193969523,27.721878680541,1.9301407728508713,16.85979512531703,31.750915929537502,1.0,1.3,66.24264705882352,40.400735294117645,89.96428571428571,82.10714285714285,59.76666666666667,94.96666666666667,70.7680608365019,87.71691176470588,89.0232558139535,58.325581395348834,70.20717131474105,82.43426294820718,AC Milan,Left Center Midfield,67.852439544149,71.02857142857142,75.10336274509804,43.76190053609372,65.45335551564449,AC Milan,Left Center Midfield
James David Rodríguez Rubio,0.11932250093618249,1.11,5.61,1.55,0.15583333333333332,58.02,0.1282,19.565000000000005,19.0,2.0,11.223333333333334,30.740000000000002,1.0,1.0,48.772058823529406,47.68014705882353,90.75,39.089285714285715,57.2,86.53333333333333,58.34600760456274,81.89338235294117,51.61046511627907,62.54651162790698,39.44223107569721,80.06772908366533,Minnesota United,Center Attacking Midfield,47.82207990711572,70.55075892857143,81.54547365196078,56.74207133471259,65.29355603854674,Minnesota United,Center Attacking Midfield
Rodrigo Javier De Paul,-0.044214082116296065,0.741,5.129884084247841,3.1550348830503454,0.12608021681159565,43.79116001729435,0.15935256957027139,29.33888450902529,29.9610356868333,3.234741078291676,22.164290402441136,26.21302784266179,1.0,1.3,26.93382352941176,32.939338235294116,89.17857142857142,72.28571428571428,44.36666666666667,67.83333333333334,68.88593155893535,96.45220588235294,93.62790697674419,91.32558139534883,86.77290836653387,66.65737051792829,Atlético Madrid,Center Midfield,72.73465394237006,69.31571428571428,73.7275,39.7829796588431,65.07581356089032,Atlético Madrid,Center Midfield
Ángel Fabián Di María Hernández,-0.1740577218467604,1.8631001580901774,4.438999999999999,6.428730459704388,0.290800615996635,47.79367179650169,0.25350724447775075,14.000327706986674,23.197522592620896,2.5150903704835876,17.21201258954284,22.02548239484006,1.0,1.15,13.830882352941178,70.61029411764706,85.64285714285714,95.07142857142857,82.13333333333334,74.8,86.95437262357414,61.875,73.29069767441861,79.04651162790698,71.78486055776892,51.27490039840637,Benfica,Right Midfield,56.990498181691834,79.60857142857142,61.932062499999994,59.91204526392306,64.99576450734277,Benfica,Right Midfield
Granit Xhaka,0.7630985088358764,1.287981035242774,8.422084722912926,2.338071592479899,0.1513391379354857,62.53234977652663,0.17023765828998697,32.945551278752305,21.83210718811121,2.6162743001955864,11.520889654193141,25.81968420210856,1.0,1.15,88.08088235294117,52.775735294117645,98.60714285714285,57.357142857142854,55.0,91.66666666666667,73.40304182509506,98.27205882352942,63.697674418604656,82.11627906976744,40.23107569721115,65.86852589641434,Bayer Leverkusen,Left Defensive Midfield,57.281183984990264,69.31473214285714,82.68906249999999,32.74043684298814,64.84684180293847,Bayer Leverkusen,Left Defensive Midfield
Neymar da Silva Santos Junior,1.4489595522460228,5.5922093961949875,4.666345542612024,5.712384553966493,0.16047875281833132,58.2374962583693,0.13486677712137984,15.706900865280835,17.92615694060974,2.4739731623601697,12.353297519690186,16.121245292885863,0.85,0.85,95.72426470588235,95.72426470588235,87.21428571428571,93.10714285714286,58.300000000000004,87.26666666666667,62.11026615969582,70.24632352941177,46.43023255813954,77.51162790697674,44.17529880478087,16.9601593625498,Al Hilal,Center Attacking Midfield,44.2903099810062,78.38973214285713,80.4779344362745,90.39639496197718,64.6173465254181,Al Hilal,Center Attacking Midfield
Kevin De Bruyne,0.19317293717559267,0.8047601747036032,5.835517806452184,5.23118350382484,0.11440303004194101,111.81548225415906,0.12209485532119985,23.000951622720304,26.433333333333334,2.6,16.98213432296512,23.776865645349513,1.0,1.3,53.50367647058823,36.397058823529406,91.53571428571428,91.14285714285714,36.66666666666667,99.0,55.334600760456276,89.17279411764706,87.1046511627907,80.96511627906978,70.99601593625498,58.76892430278885,Manchester City,Center Midfield,66.64868711201704,73.18142857142855,78.02073529411764,34.04496597866808,64.39669136661799,Manchester City,Center Midfield
Nathan Tella,0.8750863400547213,4.324,2.921,6.095,0.6581449999999999,26.550624999999997,0.27069722222222226,4.786874999999999,21.849999999999998,2.3,23.531499999999994,35.089,1.0,1.15,90.99264705882352,92.44852941176471,70.32142857142857,94.28571428571428,93.86666666666667,37.4,88.83650190114068,8.735294117647058,64.46511627906978,72.90697674418604,89.53386454183267,87.95617529880478,Bayer Leverkusen,Right Wing Back,73.34511037246362,90.6910714285714,21.515191176470584,51.242120899500485,64.00080524740875,Bayer Leverkusen,Right Wing Back
Bruno Guimarães Rodriguez Moura,0.006946367133108527,0.517323526830504,6.840184714468226,4.959725259133678,0.14534762241144264,45.30989516556427,0.1334225631910821,23.07016854437768,26.043009367482505,3.094312831321313,20.19069073197462,37.436848119034416,1.0,1.15,33.48529411764706,25.477941176470587,95.07142857142857,89.57142857142856,52.43333333333334,70.76666666666667,61.357414448669196,89.90073529411765,85.95348837209302,90.17441860465115,82.82868525896414,91.50597609561753,Newcastle United,Center Defensive Midfield,67.75415691883629,70.68482142857142,73.97603125,22.36269553791098,63.87415946844369,Newcastle United,Center Defensive Midfield
Aurélien Djani Tchouaméni,-0.07444980814908544,0.8793045054870435,6.5584445971694,0.8907866802637837,0.14330643441513966,61.51775529931707,0.15528553969895326,33.822296356725154,23.239145662042244,2.3478991778027702,13.920101250029074,38.558116091235014,1.0,1.3,23.294117647058822,38.580882352941174,93.10714285714286,20.428571428571427,51.33333333333333,89.83333333333334,67.75665399239543,98.63602941176471,73.67441860465117,74.82558139534883,54.035856573705175,92.68924302788844,Real Madrid,Center Defensive Midfield,65.26826444223107,61.654017857142854,82.71828125,24.400812737642582,63.731845775304535,Real Madrid,Center Defensive Midfield
Victor Okoh Boniface,-1.4206395619616947,18.3655,2.6449999999999996,7.084,0.3822380952380952,61.76430952380952,0.24765249999999997,6.8260000000000005,20.412499999999998,1.7249999999999999,15.88725,17.9515,1.0,1.15,0.3639705882352941,99.0,64.82142857142857,96.25,88.36666666666667,90.2,86.20152091254752,21.474264705882355,56.406976744186046,53.337209302325576,65.0796812749004,30.37051792828685,Bayer Leverkusen,Center Forward,30.472677893078846,50.34464285714286,59.918354779411764,89.8449118625587,63.46770373753054,Bayer Leverkusen,Center Forward
Ivan Perišić,0.2362398446276711,0.76,1.9389778063151624,4.605809761155792,0.09580622067144776,44.52348027903363,0.11176838820123289,9.772842894127146,26.33333333333334,1.6666666666666665,16.666228330639584,21.392055981781912,1.0,1.0,61.14705882352941,33.849264705882355,52.25,88.0,29.7,69.30000000000001,49.31178707224334,41.12867647058823,86.33720930232558,51.99418604651163,69.0239043824701,47.72509960159363,PSV,Right Wing,79.56707646159546,66.11,48.80572610294118,55.853549471594725,63.355752256449605,PSV,Right Wing
Kai Havertz,-0.22505271911092478,3.7071053790050588,3.9510239813762347,5.860940770646409,0.2737278297432218,75.26639053030172,0.19413364094074304,9.619129359350286,23.400000000000002,0.0,17.238983705415695,27.11898324781316,1.0,1.3,11.647058823529411,89.53676470588235,81.71428571428571,93.5,80.66666666666667,97.53333333333335,78.29657794676805,39.67279411764706,75.20930232558139,2.877906976744186,72.1792828685259,70.99601593625498,Arsenal,Center Forward,34.62059986796997,50.45267857142858,66.64068933823529,82.18676540483112,63.29519841313511,Arsenal,Center Forward
Xavi Simons,0.3622383213218217,0.6325,2.729703482781548,2.560011141676911,0.16256715991287882,52.05013492131125,0.17754849478183435,12.363032615733365,18.974999999999998,1.4375,19.23144423390494,22.276656984685744,1.0,1.15,69.51838235294117,28.025735294117645,65.60714285714286,61.285714285714285,59.4,81.4,76.41444866920152,52.775735294117645,51.03488372093024,41.825581395348834,78.88446215139442,52.85258964143426,Tottenham Hotspur,Center Attacking Midfield,46.841559228203465,55.215089285714285,73.25104227941176,70.99200654216058,63.17690901414237,Tottenham Hotspur,Center Attacking Midfield
Piero Martín Hincapié Reyna,-0.4615081242978631,2.1734999999999993,3.845322242650168,1.2072146244584592,0.35466714711485464,35.136289156795755,0.27192910283155863,20.550082084634198,22.86308096662591,0.604914904317214,15.679848148587096,40.72240060136289,1.0,1.15,5.823529411764706,76.79779411764706,80.14285714285714,29.464285714285715,86.9,55.0,89.212927756654,84.44117647058823,70.60465116279069,10.744186046511627,62.713147410358566,95.84462151394422,Bayer Leverkusen,Left Back,72.32159594181412,72.54107142857143,52.01625,45.019765051862,63.14290533037296,Bayer Leverkusen,Left Back
Lionel Andrés Messi Cuccittini,-0.4662565889882964,5.7393834110820965,3.922364948462746,5.076468791166012,0.15065820668371177,58.0853158996285,0.13036722463340705,15.033637698141304,15.371771465030472,2.621771465030472,7.049106202163414,16.246772858739106,1.0,0.85,5.459558823529411,96.45220588235294,80.92857142857143,90.35714285714286,54.63333333333334,86.9,59.47528517110266,67.33455882352942,35.302325581395344,82.5,9.860557768924302,17.354581673306775,Inter Miami,Right Center Forward,34.313154938385985,48.918571428571425,62.973887867647065,83.71807285842094,62.50367161216554,Inter Miami,Right Center Forward
