team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed,assigned_archetype,distance_to_center,archetype_name,PC1,PC2,progression_score
Jamaica,47.29,20.593333333333334,0.014411298457991065,37.333333333333336,0.3813333333333333,0.11099999999999999,0.702830345214655,4.006666666666667,0.08138903960933261,1.2753333333333332,0.43994629070157765,3.483333333333333,1,32.08739427636299,Balanced Mainstream,-2.519609493604103,-1.8163475848867578,0
Peru,38.03,23.5,0.009828653802050911,33.333333333333336,0.541,0.08333333333333333,0.47344564491262037,3.19,0.14018691588785048,1.5243333333333335,0.346171802054155,3.3200000000000003,1,36.985005384105754,Balanced Mainstream,-4.082419938603483,-0.5419704231560574,0
Australia,38.3275,21.560000000000002,0.01000300090027008,37.5,0.3545,0.06725,0.39454287628177553,4.3475,0.07520210565895845,1.38875,0.3250455373406193,3.7899999999999996,1,32.92493338552146,Balanced Mainstream,-4.116878753755095,-2.785072420939051,1
Canada,49.19888888888889,24.364444444444445,0.01766472354707649,70.11111111111111,0.47566666666666674,0.12133333333333335,2.1611731035841837,4.684444444444444,0.12080536912751677,1.518,0.4394438949335092,3.3644444444444446,1,3.1093813087635773,Balanced Mainstream,1.8922089943907077,0.16421045225171518,3
Czech Republic,40.39666666666667,30.53,0.023151720944590212,54.666666666666664,0.48866666666666664,0.11499999999999999,1.5301805559235315,4.02,0.10471204188481677,1.4133333333333333,0.5369477911646586,3.6533333333333338,1,17.39623760936629,Balanced Mainstream,-0.1565924180289251,3.5265540535322,0
Wales,46.160000000000004,18.88,0.009978712080894094,47.0,0.4383333333333333,0.051,0.7396602399336795,4.3133333333333335,0.10003334444814939,1.3593333333333335,0.3772128060263653,3.6766666666666663,1,22.76526620390362,Balanced Mainstream,-3.6767907271698914,-2.408496486450569,0
Tunisia,44.03666666666667,20.963333333333335,0.01427823521012803,64.33333333333333,0.41,0.058666666666666666,0.8034841526920596,4.033333333333333,0.09250693802035152,1.3576666666666668,0.5190212373037857,3.606666666666667,1,6.160038828867057,Balanced Mainstream,-2.030548670554264,-0.8370439799632144,0
Chile,48.826666666666675,19.536666666666665,0.006501386962552011,56.666666666666664,0.4266666666666667,0.09600000000000002,0.5365871274843812,4.323333333333333,0.11578541103820919,1.5643333333333331,0.37434605231581475,3.5400000000000005,1,13.413062145924044,Balanced Mainstream,-1.4839462101822374,-2.8578069821328653,1
Costa Rica,32.095,11.641666666666666,0.0038245890479068024,29.0,0.44399999999999995,0.0776,0.34163910914212464,3.7133333333333334,0.044652824291136414,1.2818333333333334,0.30081442699243743,3.4133333333333336,1,44.45468145906869,Balanced Mainstream,-7.18370817268747,-4.819645402131385,0
Georgia,34.185,15.975000000000001,0.01315097317201473,32.5,0.5880000000000001,0.06625,1.0542652242584154,4.08,0.03171834113075886,1.14,0.2663099870298314,3.79,1,39.56600321799074,Balanced Mainstream,-8.25705142978359,-1.446149257471708,1
