season_name,match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
2021/2022,3817870,Álvaro Vázquez García,Kerala Blasters,2,0.463,2.0,1.0,0.232,5.0,22.0,1.894,15.55
2021/2022,3817855,Vincy Barretto,Kerala Blasters,1,0.285,1.0,0.0,0.285,1.0,14.0,1.832,36.39
2021/2022,3813295,Joel Joseph Chianese,Hyderabad,1,0.506,1.0,1.0,0.506,1.0,25.0,1.822,25.37
2022,3857284,Takumi Minamino,Japan,1,0.478,2.0,1.0,0.478,1.0,24.0,1.792,40.96
2022,3857284,Ritsu Doan,Japan,1,0.478,2.0,1.0,0.478,1.0,24.0,1.792,40.96
2021/2022,3813315,Boris Singh Thangjam,Jamshedpur,1,0.357,1.0,0.0,0.357,2.0,18.0,1.785,18.9
2021/2022,3817870,Prasanth Karuthadathkuni,Kerala Blasters,3,0.888,3.0,2.0,0.296,9.0,45.0,1.776,29.83
2022,3857290,Fabian Rieder,Switzerland,1,0.27,1.0,0.0,0.27,1.0,14.0,1.736,18.93
2021/2022,3827767,Khassa Camara,Hyderabad,1,0.784,1.0,1.0,0.784,1.0,41.0,1.721,20.06
2022,3857264,Thiago Ezequiel Almada,Argentina,1,0.224,1.0,0.0,0.224,8.0,12.0,1.68,7.58
2022,3869420,Lovro Majer,Croatia,3,0.895,3.0,2.0,0.298,9.0,48.0,1.678,23.76
2021/2022,3802984,Danilo Luís Hélio Pereira,Paris Saint-Germain,2,0.148,2.0,0.0,0.074,7.0,8.0,1.665,9.64
2022,3857285,Davy Klaassen,Netherlands,1,0.348,2.0,1.0,0.348,3.0,19.0,1.648,34.08
2021/2022,3813287,Udanta Kumam Singh,Bengaluru,1,0.201,1.0,0.0,0.201,1.0,11.0,1.645,8.75
2022,3869118,Kalvin Phillips,England,1,0.146,1.0,0.0,0.146,4.0,8.0,1.642,14.31
2021/2022,3813315,Jordan Murray,Jamshedpur,1,0.272,1.0,1.0,0.272,2.0,15.0,1.632,14.4
2021/2022,3813272,Aaren D''Silva,Hyderabad,1,0.217,1.0,0.0,0.217,2.0,12.0,1.628,15.57
2021/2022,3827767,Ayush Adhikari,Kerala Blasters,2,0.901,2.0,1.0,0.45,3.0,50.0,1.622,21.46
2021/2022,3817870,Brison Deuben Fernandes,Goa,2,0.144,2.0,0.0,0.072,8.0,8.0,1.62,6.03
2021/2022,3813300,Liridon Krasniqi,Odisha,1,0.546,2.0,1.0,0.546,6.0,32.0,1.536,31.42
2021/2022,3802699,Julian Draxler,Paris Saint-Germain,1,0.153,1.0,1.0,0.153,4.0,9.0,1.53,6.35
2021/2022,3813310,Jorge Rolando Pereyra Díaz,Kerala Blasters,1,0.168,1.0,0.0,0.168,1.0,10.0,1.512,40.34
2022,3857285,Teun Koopmeiners,Netherlands,2,0.634,3.0,2.0,0.317,3.0,38.0,1.502,62.09
2021/2022,3817877,Marcelo Leite Pereira,NorthEast United,2,0.963,3.0,1.0,0.481,3.0,58.0,1.494,52.65
2021/2022,3813299,Sivasakthi Narayanan,Bengaluru,1,0.081,1.0,0.0,0.081,2.0,5.0,1.458,14.46
2021/2022,3817882,Mohammed Rafique,East Bengal,1,0.097,1.0,0.0,0.097,3.0,6.0,1.455,6.13
2021/2022,3817877,Laldanmawia Ralte,NorthEast United,2,0.992,3.0,1.0,0.496,3.0,62.0,1.44,54.23
2022,3857271,Callum Wilson,England,2,0.704,2.0,1.0,0.352,3.0,44.0,1.44,35.43
2021/2022,3813289,Isaac Vanmalsawma Chhakchhuak,Odisha,2,0.35,2.0,1.0,0.175,3.0,22.0,1.432,54.96
2021/2022,3817899,Sandip Mandi,Jamshedpur,2,0.281,2.0,1.0,0.14,4.0,18.0,1.405,10.68
2021/2022,3802643,Anthony Caci,Strasbourg,2,0.372,3.0,1.0,0.186,6.0,24.0,1.395,26.34
2021/2022,3817862,Gurkirat Singh,Mumbai City,1,0.108,1.0,0.0,0.108,1.0,7.0,1.389,12.08
2022,3857271,Eric Dier,England,2,0.704,2.0,1.0,0.352,10.0,46.0,1.377,35.43
2021/2022,3813290,Javier Siverio Toro,Hyderabad,2,0.305,2.0,2.0,0.153,4.0,20.0,1.373,14.79
2022,3857293,André Ayew Pelé,Ghana,1,0.784,1.0,0.0,0.784,1.0,52.0,1.357,56.29
2021/2022,3802837,Leandro Daniel Paredes,Paris Saint-Germain,2,0.572,2.0,2.0,0.286,3.0,38.0,1.355,22.81
2021/2022,3813297,Rochharzela Rochharzela,NorthEast United,1,0.386,3.0,0.0,0.386,4.0,26.0,1.336,29.25
2021/2022,3817878,Sahil Tavora,Hyderabad,1,0.324,2.0,0.0,0.324,1.0,22.0,1.325,11.94
2021/2022,3813272,Nongdamba Singh Naorem,Goa,1,0.144,2.0,0.0,0.144,2.0,10.0,1.296,13.23
2021/2022,3817859,Jordan Murray,Jamshedpur,2,0.536,2.0,1.0,0.268,3.0,38.0,1.269,34.38
2022,3857271,Jack Grealish,England,2,0.704,2.0,1.0,0.352,7.0,50.0,1.267,35.43
2022,3857271,Philip Foden,England,2,0.704,2.0,1.0,0.352,7.0,50.0,1.267,35.43
2021/2022,3817870,Vincy Barretto,Kerala Blasters,2,0.835,2.0,1.0,0.417,3.0,60.0,1.253,28.05
2021/2022,3817892,Michael Soosairaj,ATK Mohun Bagan,3,0.371,3.0,0.0,0.124,7.0,27.0,1.237,23.55
2022,3857271,Marcus Rashford,England,3,1.112,3.0,2.0,0.371,12.0,81.0,1.236,55.96
2022,3869219,Takuma Asano,Japan,1,0.784,1.0,1.0,0.784,1.0,58.0,1.217,19.27
2022,3869219,Takumi Minamino,Japan,2,0.838,4.0,0.0,0.419,2.0,62.0,1.216,20.6
2022,3857290,Haris Seferović,Switzerland,1,0.27,1.0,0.0,0.27,2.0,20.0,1.215,18.93
2022,3857260,Raúl Alonso Jiménez Rodríguez,Mexico,1,0.269,2.0,0.0,0.269,2.0,20.0,1.211,11.8
2022,3869151,Gonzalo Ariel Montiel,Argentina,2,0.424,2.0,0.0,0.212,6.0,32.0,1.193,31.96
2022,3869552,Abdessamad Ezzalzouli,Morocco,3,0.595,6.0,0.0,0.198,7.0,45.0,1.19,58.95
2022,3857264,Germán Alejandro Pezzella,Argentina,1,0.224,1.0,0.0,0.224,13.0,17.0,1.186,7.58
2021/2022,3813302,Rochharzela Rochharzela,NorthEast United,1,0.145,1.0,0.0,0.145,1.0,11.0,1.186,9.4
2021/2022,3817865,Akshunna Tyagi,Odisha,1,0.171,2.0,0.0,0.171,2.0,13.0,1.184,9.16
2022,3869152,Jan Bednarek,Poland,1,0.104,1.0,0.0,0.104,2.0,8.0,1.17,7.52
2021/2022,3813285,Naorem Roshan Singh,Bengaluru,1,0.53,2.0,0.0,0.53,8.0,41.0,1.163,49.74
2021/2022,3813300,Daniel Lalhlimpuia,Odisha,2,0.591,3.0,1.0,0.296,2.0,46.0,1.156,34.01
2021/2022,3817900,Syed Suhail Pasha,Chennaiyin,3,0.231,3.0,0.0,0.077,6.0,18.0,1.155,27.07
2021/2022,3817882,Łukasz Gikiewicz,Chennaiyin,1,0.179,1.0,0.0,0.179,4.0,14.0,1.151,26.13
2021/2022,3802818,Thilo Kehrer,Paris Saint-Germain,1,0.089,1.0,0.0,0.089,1.0,7.0,1.144,4.76
2021/2022,3813295,Javier Siverio Toro,Hyderabad,2,0.61,2.0,1.0,0.305,2.0,48.0,1.144,30.59
2021/2022,3813279,Rahim Ali,Chennaiyin,3,0.876,3.0,0.0,0.292,6.0,69.0,1.143,46.54
2021/2022,3827338,Prabir Das,ATK Mohun Bagan,2,0.38,2.0,0.0,0.19,3.0,30.0,1.14,22.13
2021/2022,3813285,Jayesh Dilip Rane,Bengaluru,1,0.53,2.0,0.0,0.53,4.0,42.0,1.136,49.74
2022,3857264,Lautaro Javier Martínez,Argentina,2,0.404,2.0,0.0,0.202,9.0,32.0,1.136,13.67
2021/2022,3813300,Prasanth Karuthadathkuni,Kerala Blasters,2,0.428,3.0,1.0,0.214,3.0,34.0,1.133,19.47
2021/2022,3817897,Javier Siverio Toro,Hyderabad,1,0.211,1.0,1.0,0.211,3.0,17.0,1.117,15.7
2021/2022,3813317,Isaac Vanmalsawma Chhakchhuak,Odisha,2,0.413,2.0,2.0,0.206,5.0,34.0,1.093,27.08
2021/2022,3802802,Julian Draxler,Paris Saint-Germain,2,0.363,2.0,0.0,0.182,2.0,30.0,1.089,16.54
2022,3869685,Lautaro Javier Martínez,Argentina,4,0.968,6.0,1.0,0.242,10.0,80.0,1.089,16.78
2021/2022,3813278,Ayush Adhikari,Kerala Blasters,1,0.168,1.0,0.0,0.168,1.0,14.0,1.08,14.15
2021/2022,3802818,Fabien Lemoine,Lorient,1,0.048,1.0,0.0,0.048,8.0,4.0,1.08,7.71
2021/2022,3813318,Raynier Fernandes,Mumbai City,2,0.576,2.0,0.0,0.288,6.0,48.0,1.08,23.86
2022,3857266,Kasper Dolberg,Denmark,1,0.238,1.0,0.0,0.238,1.0,20.0,1.071,29.54
2022,3857256,Denis Lemi Zakaria Lako Lado,Switzerland,1,0.317,1.0,0.0,0.317,4.0,27.0,1.057,10.86
2022,3857278,Abolfazl Jalali,Iran,1,0.305,1.0,0.0,0.305,4.0,26.0,1.056,33.12
2021/2022,3802805,Calvin Stengs,OGC Nice,1,0.152,1.0,1.0,0.152,2.0,13.0,1.052,23.98
2021/2022,3802643,Jean Eudès Aholou,Strasbourg,2,0.372,3.0,1.0,0.186,4.0,32.0,1.046,26.34
2022,3869152,Kamil Grosicki,Poland,1,0.104,1.0,0.0,0.104,6.0,9.0,1.04,7.52
2021/2022,3817859,Laldanmawia Ralte,NorthEast United,1,0.518,2.0,1.0,0.518,1.0,45.0,1.036,29.44
2021/2022,3813287,Prabir Das,ATK Mohun Bagan,2,0.27,3.0,0.0,0.135,2.0,24.0,1.013,13.65
2022,3869118,Eric Dier,England,1,0.146,1.0,0.0,0.146,5.0,13.0,1.011,14.31
2022,3857296,Thorgan Hazard,Belgium,4,1.436,5.0,0.0,0.359,8.0,128.0,1.01,64.9
2022,3869552,Marcus Thuram,France,3,1.008,4.0,1.0,0.336,6.0,90.0,1.008,60.64
2021/2022,3813306,David Joel Williams,ATK Mohun Bagan,4,0.49,4.0,0.0,0.122,14.0,44.0,1.002,15.04
2022,3857263,Lukas Klostermann,Germany,3,0.827,4.0,1.0,0.276,5.0,75.0,0.992,73.68
2021/2022,3802839,Julian Draxler,Paris Saint-Germain,2,0.638,2.0,0.0,0.319,6.0,58.0,0.99,17.86
2021/2022,3813274,Rowllin Borges,Mumbai City,1,0.077,2.0,1.0,0.077,3.0,7.0,0.99,7.49
2021/2022,3813288,Ishan Pandita,Jamshedpur,1,0.109,1.0,0.0,0.109,4.0,10.0,0.981,11.02
2021/2022,3813267,Nongdamba Singh Naorem,Goa,3,0.588,3.0,1.0,0.196,5.0,54.0,0.98,20.62
2021/2022,3802948,Ander Herrera Agüera,Paris Saint-Germain,2,0.388,2.0,0.0,0.194,4.0,36.0,0.97,8.7
2022,3869684,Mario Pašalić,Croatia,1,0.236,1.0,0.0,0.236,2.0,22.0,0.965,32.06
2021/2022,3817887,Juan Antonio González Fernández,Hyderabad,1,0.899,4.0,1.0,0.899,2.0,84.0,0.963,67.59
2022,3857256,Edimilson Fernandes,Switzerland,1,0.317,1.0,0.0,0.317,6.0,30.0,0.951,10.86
2021/2022,3802685,Nuno Mendes,Paris Saint-Germain,2,0.232,3.0,1.0,0.116,3.0,22.0,0.949,14.66
2022,3857281,Bruno Petković,Croatia,2,0.733,2.0,1.0,0.366,6.0,70.0,0.942,28.43
2021/2022,3802752,Achraf Hakimi Mouh,Paris Saint-Germain,3,0.565,6.0,1.0,0.188,6.0,54.0,0.942,29.93
2022,3857280,Raphael Dias Belloli,Brazil,2,0.334,2.0,0.0,0.167,4.0,32.0,0.939,14.28
2022,3857266,Ibrahima Konaté,France,2,0.417,2.0,1.0,0.209,11.0,40.0,0.938,22.5
2022,3857255,Kaoru Mitoma,Japan,2,1.004,2.0,1.0,0.502,3.0,98.0,0.922,86.72
2021/2022,3813307,Sunil Chhetri,Bengaluru,1,0.215,2.0,0.0,0.215,1.0,21.0,0.921,40.71
2021/2022,3817882,Lalrinliana Hnamte,East Bengal,2,0.326,2.0,1.0,0.163,3.0,32.0,0.917,20.6
2022,3869151,Jamie MacLaren,Australia,1,0.234,1.0,0.0,0.234,1.0,23.0,0.916,54.91
2021/2022,3813297,Sehnaj Singh,NorthEast United,1,0.386,3.0,0.0,0.386,2.0,38.0,0.914,29.25
2021/2022,3802793,Justin Kluivert,OGC Nice,1,0.731,1.0,0.0,0.731,8.0,72.0,0.914,81.02
2022,3857279,Jules Koundé,France,2,0.121,2.0,0.0,0.06,6.0,12.0,0.908,4.18
2021/2022,3802930,Ismaël Gharbi,Paris Saint-Germain,1,0.03,1.0,0.0,0.03,6.0,3.0,0.9,1.35
2021/2022,3813306,Lenny Rodrigues,ATK Mohun Bagan,3,0.328,3.0,0.0,0.109,8.0,33.0,0.895,10.07
2021/2022,3817871,Sahil Tavora,Hyderabad,3,0.477,3.0,2.0,0.159,16.0,48.0,0.894,17.85
2021/2022,3813272,Javier Siverio Toro,Hyderabad,1,0.217,1.0,0.0,0.217,1.0,22.0,0.888,15.57
2021/2022,3817899,Ishan Pandita,Jamshedpur,2,0.275,2.0,1.0,0.137,2.0,28.0,0.884,10.45
2021/2022,3817887,Raynier Fernandes,Mumbai City,1,0.068,1.0,0.0,0.068,5.0,7.0,0.874,7.5
2022,3869321,Ángel Fabián Di María Hernández,Argentina,6,0.465,6.0,0.0,0.077,10.0,48.0,0.872,7.94
2021/2022,3802805,Hichem Boudaoui,OGC Nice,1,0.076,1.0,0.0,0.076,3.0,8.0,0.855,11.99
2021/2022,3802795,Nuno Mendes,Paris Saint-Germain,1,0.095,1.0,0.0,0.095,1.0,10.0,0.855,10.02
2022,3857263,Leroy Sané,Germany,2,0.454,3.0,1.0,0.227,6.0,48.0,0.851,40.45
2021/2022,3817878,Nim Dorjee Tamang,Hyderabad,1,0.113,1.0,0.0,0.113,1.0,12.0,0.848,4.17
2021/2022,3803000,Alidu Seidu,Clermont Foot,1,0.809,1.0,1.0,0.809,1.0,86.0,0.847,67.13
2022,3857263,Álvaro Borja Morata Martín,Spain,1,0.319,1.0,1.0,0.319,2.0,34.0,0.844,49.88
2021/2022,3817898,Brison Deuben Fernandes,Goa,1,0.103,1.0,0.0,0.103,3.0,11.0,0.843,5.4
2022,3857255,Shūichi Gonda,Japan,1,0.873,1.0,1.0,0.873,1.0,94.0,0.836,75.4
2021/2022,3813316,Deshorn Brown,NorthEast United,2,0.333,3.0,1.0,0.166,4.0,36.0,0.833,26.02
2021/2022,3813289,Ariday Cabrera Suárez,Odisha,3,0.44,3.0,1.0,0.147,8.0,48.0,0.825,69.1
2021/2022,3817896,Arshdeep Singh Saini,Odisha,1,0.83,1.0,1.0,0.83,1.0,91.0,0.821,63.98
2021/2022,3802676,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.091,1.0,0.0,0.091,2.0,10.0,0.819,5.1
2022,3857283,Zakaria Aboukhlal,Morocco,1,0.181,1.0,1.0,0.181,2.0,20.0,0.815,18.26
2022,3857285,Memphis Depay,Netherlands,2,0.634,3.0,2.0,0.317,5.0,70.0,0.815,62.09
2021/2022,3802902,Marco Verratti,Paris Saint-Germain,1,0.434,1.0,0.0,0.434,2.0,48.0,0.814,43.1
2021/2022,3817869,Udanta Kumam Singh,Bengaluru,2,0.559,2.0,1.0,0.28,4.0,62.0,0.811,56.33
2022,3857259,Filip Đuričić,Serbia,1,0.027,1.0,0.0,0.027,2.0,3.0,0.81,1.56
2021/2022,3817848,Nongdamba Singh Naorem,Goa,2,0.143,2.0,0.0,0.071,3.0,16.0,0.804,15.58
2021/2022,3827338,Manvir Singh,ATK Mohun Bagan,1,0.364,1.0,0.0,0.364,2.0,41.0,0.799,21.2
2021/2022,3813284,Jordan Murray,Jamshedpur,2,0.319,2.0,0.0,0.16,3.0,36.0,0.798,24.07
2022,3869253,Gleison Bremer Silva Nascimento,Brazil,2,0.372,2.0,0.0,0.186,4.0,42.0,0.797,13.04
2022,3857266,Kingsley Coman,France,3,0.524,3.0,1.0,0.175,13.0,60.0,0.786,28.27
2021/2022,3817895,Devendra Dhaku Murgaokar,Goa,2,0.139,2.0,0.0,0.07,6.0,16.0,0.782,7.43
2021/2022,3813279,Łukasz Gikiewicz,Chennaiyin,6,0.991,6.0,0.0,0.165,11.0,114.0,0.782,52.65
2022,3857292,Mario Götze,Germany,6,1.659,9.0,3.0,0.277,11.0,192.0,0.778,40.89
2021/2022,3813273,Mandar Rao Desai,Mumbai City,1,0.275,1.0,0.0,0.275,2.0,32.0,0.773,24.42
2021/2022,3813273,Ygor de Oliveira Ferreira,Mumbai City,1,0.275,1.0,0.0,0.275,1.0,32.0,0.773,24.42
2021/2022,3817868,Syed Suhail Pasha,Chennaiyin,1,0.06,2.0,0.0,0.06,6.0,7.0,0.771,4.32
2021/2022,3817855,Kiyan Nassiri Giri,ATK Mohun Bagan,2,0.24,2.0,0.0,0.12,3.0,28.0,0.771,16.71
2021/2022,3802984,Dennis Appiah,Nantes,4,1.577,7.0,1.0,0.394,14.0,184.0,0.771,81.97
2021/2022,3813284,Narender Gahlot,Jamshedpur,1,0.248,1.0,0.0,0.248,2.0,29.0,0.77,18.71
2021/2022,3817892,Nandhakumar Sekar,Odisha,1,0.111,2.0,0.0,0.111,2.0,13.0,0.768,7.22
2022,3857265,Matty Cash,Poland,1,0.784,2.0,0.0,0.784,1.0,92.0,0.767,75.66
2021/2022,3817868,Khumanthem Ninthoinganba Meetei,Chennaiyin,2,0.136,3.0,0.0,0.068,9.0,16.0,0.765,9.8
2022,3869684,Bruno Petković,Croatia,1,0.236,1.0,0.0,0.236,2.0,28.0,0.759,32.06
2021/2022,3817875,Alexander Romario Jesuraj,Goa,3,0.48,3.0,0.0,0.16,13.0,57.0,0.758,34.89
2022,3869117,DeAndre Yedlin,United States,3,0.48,3.0,1.0,0.16,9.0,57.0,0.758,31.08
2021/2022,3817848,Alexander Romario Jesuraj,Goa,3,0.455,4.0,0.0,0.152,5.0,54.0,0.758,49.57
2022,3869220,Abdelhamid Sabiri,Morocco,3,0.907,3.0,1.0,0.302,3.0,108.0,0.756,24.48
2021/2022,3827338,Lenny Rodrigues,ATK Mohun Bagan,2,0.872,2.0,1.0,0.436,8.0,104.0,0.755,50.79
2021/2022,3802948,Thilo Kehrer,Paris Saint-Germain,1,0.067,1.0,0.0,0.067,2.0,8.0,0.754,1.5
2021/2022,3813306,Joe Zoherliana,NorthEast United,2,0.734,2.0,0.0,0.367,10.0,88.0,0.751,53.95
2021/2022,3802907,Domagoj Bradarić,Lille,2,0.333,2.0,0.0,0.167,8.0,40.0,0.749,32.56
2021/2022,3817865,Daniel Lalhlimpuia,Odisha,2,0.922,2.0,2.0,0.461,2.0,112.0,0.741,49.38
2022,3857261,Callum Wilson,England,3,0.839,5.0,0.0,0.28,5.0,102.0,0.74,34.65
2021/2022,3817875,Makan Winkle Chote,Goa,2,0.344,2.0,0.0,0.172,6.0,42.0,0.737,25.01
2021/2022,3802907,Ángel Fabián Di María Hernández,Paris Saint-Germain,2,0.719,2.0,1.0,0.36,6.0,88.0,0.735,24.68
2021/2022,3802793,Dante Bonfim da Costa Santos,OGC Nice,1,0.731,1.0,0.0,0.731,2.0,90.0,0.731,81.02
2022,3869685,Gonzalo Ariel Montiel,Argentina,6,1.655,8.0,2.0,0.276,10.0,204.0,0.73,28.69
2022,3857270,Diego Roberto Godín Leal,Uruguay,1,0.494,1.0,0.0,0.494,6.0,61.0,0.729,40.6
2022,3869321,Lautaro Javier Martínez,Argentina,3,1.09,3.0,1.0,0.363,7.0,135.0,0.727,18.61
2022,3857291,Nicholas Williams Arthuer,Spain,3,0.604,3.0,2.0,0.201,12.0,75.0,0.725,21.87
2022,3857263,Niclas Füllkrug,Germany,3,0.603,3.0,1.0,0.201,4.0,75.0,0.724,53.72
2022,3857283,Abdelhamid Sabiri,Morocco,3,0.625,3.0,1.0,0.208,5.0,78.0,0.721,63.06
