season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2021/2022,3817884,Hyderabad,31,3.769,82.0,0.122,2.65
2021/2022,3817885,East Bengal,18,1.6039999999999999,39.0,0.089,2.17
2021/2022,3817885,Mumbai City,32,1.842,99.0,0.058,3.09
2021/2022,3817886,Kerala Blasters,26,1.538,57.0,0.059,2.19
2021/2022,3817886,NorthEast United,26,1.172,75.0,0.045,2.88
2021/2022,3817887,Hyderabad,21,3.194,47.0,0.152,2.24
2021/2022,3817887,Mumbai City,39,2.665,102.0,0.068,2.62
2021/2022,3817888,ATK Mohun Bagan,102,11.565,318.0,0.113,3.12
2021/2022,3817888,East Bengal,32,1.855,73.0,0.058,2.28
2021/2022,3817889,ATK Mohun Bagan,27,1.044,78.0,0.039,2.89
2021/2022,3817889,Chennaiyin,40,2.061,183.0,0.052,4.58
2021/2022,3817890,Goa,66,7.382,168.0,0.112,2.55
2021/2022,3817890,NorthEast United,18,0.804,50.0,0.045,2.78
2021/2022,3817891,Bengaluru,24,4.101,75.0,0.171,3.12
2021/2022,3817891,East Bengal,22,1.615,37.0,0.073,1.68
2021/2022,3817892,ATK Mohun Bagan,54,3.402,147.0,0.063,2.72
2021/2022,3817892,Odisha,20,1.774,44.0,0.089,2.2
2021/2022,3817893,East Bengal,53,1.597,148.0,0.03,2.79
2021/2022,3817893,NorthEast United,22,3.253,51.0,0.148,2.32
2021/2022,3817894,Goa,78,5.095,163.0,0.065,2.09
2021/2022,3817894,Odisha,12,1.567,20.0,0.131,1.67
2021/2022,3817895,Chennaiyin,18,0.62,33.0,0.034,1.83
2021/2022,3817895,Goa,78,8.133000000000001,225.0,0.104,2.88
2021/2022,3817896,East Bengal,39,2.154,82.0,0.055,2.1
2021/2022,3817896,Odisha,25,6.128,79.0,0.245,3.16
2021/2022,3817897,Hyderabad,24,4.17,88.0,0.174,3.67
2021/2022,3817897,Kerala Blasters,29,2.658,60.0,0.092,2.07
2021/2022,3817898,Goa,66,10.43,187.0,0.158,2.83
2021/2022,3817898,Mumbai City,16,0.673,24.0,0.042,1.5
2021/2022,3817899,Jamshedpur,32,4.471,67.0,0.14,2.09
2021/2022,3817899,Odisha,13,0.903,18.0,0.069,1.38
2021/2022,3817900,Chennaiyin,39,4.177,124.0,0.107,3.18
2021/2022,3817900,Jamshedpur,53,5.519,153.0,0.104,2.89
2021/2022,3817901,Jamshedpur,15,3.624,41.0,0.242,2.73
2021/2022,3817901,Mumbai City,64,8.568,226.0,0.134,3.53
2021/2022,3817902,East Bengal,19,1.555,49.0,0.082,2.58
2021/2022,3817902,Kerala Blasters,36,1.298,61.0,0.036,1.69
2021/2022,3827335,Jamshedpur,16,1.703,35.0,0.106,2.19
2021/2022,3827335,Kerala Blasters,28,5.015000000000001,67.0,0.179,2.39
2021/2022,3827336,ATK Mohun Bagan,70,8.634,206.0,0.123,2.94
2021/2022,3827336,Hyderabad,32,1.379,76.0,0.043,2.38
2021/2022,3827337,Jamshedpur,4,0.27199999999999996,5.0,0.068,1.25
2021/2022,3827337,Kerala Blasters,5,0.868,7.0,0.174,1.4
2021/2022,3827338,ATK Mohun Bagan,29,8.016,84.0,0.276,2.9
2021/2022,3827338,Hyderabad,25,1.807,60.0,0.072,2.4
2021/2022,3827767,Hyderabad,22,1.046,41.0,0.048,1.86
2021/2022,3827767,Kerala Blasters,36,3.483,77.0,0.097,2.14
2022,3857254,Denmark,26,7.096,89.0,0.273,3.42
2022,3857254,Tunisia,23,1.276,81.0,0.055,3.52
2022,3857255,Japan,12,2.94,37.0,0.245,3.08
