season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2021/2022,3802904,Paris Saint-Germain,Georginio Wijnaldum,27,8.0,9.0,13,33.33,87,27.93
2021/2022,3813316,Goa,Glan Martins,27,13.0,7.0,5,25.93,92,26.41
2021/2022,3813293,East Bengal,Lalrinliana Hnamte,27,6.0,8.0,5,29.63,91,26.7
2021/2022,3813302,Jamshedpur,Boris Singh Thangjam,27,12.0,7.0,11,25.93,92,26.41
2022,3857261,Wales,Aaron Ramsey,27,5.0,3.0,2,11.11,93,26.13
2022,3869685,Argentina,Julián Álvarez,27,5.0,1.0,6,3.7,99,24.55
2021/2022,3817882,East Bengal,Naorem Mahesh Singh,27,2.0,6.0,12,22.22,90,27.0
2022,3869519,Argentina,Julián Álvarez,27,6.0,5.0,11,18.52,73,33.29
2021/2022,3813300,Kerala Blasters,Vincy Barretto,27,4.0,4.0,5,14.81,62,39.19
2022,3857283,Morocco,Youssef En-Nesyri,27,2.0,3.0,14,11.11,71,34.23
2022,3857284,Japan,Daizen Maeda,27,3.0,4.0,12,14.81,56,43.39
2021/2022,3802676,Lens,Florian Sotoca,27,1.0,5.0,4,18.52,81,30.0
2021/2022,3817862,Odisha,Moirangthem Thoiba Singh,27,8.0,5.0,4,18.52,93,26.13
2021/2022,3813296,Kerala Blasters,Adrián Nicolás Luna Retamar,27,8.0,8.0,9,29.63,87,27.93
2021/2022,3813286,Chennaiyin,Vladimir Koman Jr.,27,2.0,9.0,0,33.33,90,27.0
2021/2022,3802795,Rennes,Lovro Majer,27,6.0,8.0,6,29.63,83,29.28
2021/2022,3827767,Hyderabad,Asish Rai,27,4.0,10.0,3,37.04,117,20.77
2022,3869220,Morocco,Sofyan Amrabat,27,4.0,5.0,3,18.52,115,21.13
2021/2022,3817891,East Bengal,Lalrinliana Hnamte,27,3.0,5.0,9,18.52,58,41.9
2022,3857255,Japan,Takefusa Kubo,27,3.0,2.0,4,7.41,45,54.0
2021/2022,3802837,Paris Saint-Germain,Neymar da Silva Santos Junior,27,10.0,1.0,16,3.7,86,28.26
2021/2022,3817860,Hyderabad,Joel Joseph Chianese,27,8.0,4.0,16,14.81,95,25.58
2021/2022,3817896,East Bengal,Naorem Mahesh Singh,27,3.0,10.0,8,37.04,75,32.4
2021/2022,3802837,Saint-Étienne,Mahdi Camara,27,4.0,6.0,9,22.22,85,28.59
2021/2022,3817887,Hyderabad,Joel Joseph Chianese,27,6.0,2.0,15,7.41,87,27.93
2021/2022,3813297,Bengaluru,Suresh Singh Wangjam,27,10.0,7.0,9,25.93,95,25.58
2021/2022,3813274,Mumbai City,Ahmed Jahouh,27,8.0,8.0,3,29.63,94,25.85
2021/2022,3817851,Kerala Blasters,Lalthathanga Khawlhring,27,7.0,6.0,9,22.22,84,28.93
2022,3869254,Portugal,Bruno Miguel Borges Fernandes,27,2.0,6.0,8,22.22,86,28.26
2021/2022,3802665,Montpellier,Sacha Delaye,26,5.0,3.0,7,11.54,72,32.5
2021/2022,3802676,Paris Saint-Germain,Marco Verratti,26,5.0,4.0,9,15.38,91,25.71
2022,3857274,Ecuador,Moisés Isaac Caicedo Corozo,26,5.0,7.0,6,26.92,95,24.63
2021/2022,3817855,Kerala Blasters,Lalthathanga Khawlhring,26,5.0,7.0,2,26.92,92,25.43
2022,3857269,Switzerland,Fabian Rieder,26,2.0,5.0,1,19.23,58,40.34
2021/2022,3817872,Bengaluru,Udanta Kumam Singh,26,4.0,7.0,7,26.92,95,24.63
2021/2022,3817885,East Bengal,Naorem Mahesh Singh,26,5.0,8.0,5,30.77,62,37.74
2021/2022,3827767,Kerala Blasters,Rahul Kannoly Praveen,26,9.0,10.0,6,38.46,81,28.89
2021/2022,3802948,Metz,Boubacar Traore,26,2.0,4.0,4,15.38,55,42.55
2021/2022,3827336,Hyderabad,Nim Dorjee Tamang,26,5.0,10.0,0,38.46,77,30.39
2022,3869321,Argentina,Enzo Fernandez,26,3.0,5.0,1,19.23,126,18.57
2021/2022,3817889,Chennaiyin,Edwin Sydney Vanspaul,26,3.0,4.0,5,15.38,81,28.89
2021/2022,3817900,Jamshedpur,Mohammad Mobashir Rahman,26,6.0,8.0,1,30.77,83,28.19
2021/2022,3817872,Odisha,Jerry Mawihmingthanga,26,6.0,9.0,6,34.62,92,25.43
2021/2022,3802752,Lyon,Bruno Guimarães Rodriguez Moura,26,2.0,6.0,4,23.08,95,24.63
2021/2022,3813275,Jamshedpur,Ritwik Kumar Das,26,5.0,7.0,9,26.92,78,30.0
2021/2022,3827337,Kerala Blasters,Adrián Nicolás Luna Retamar,26,4.0,8.0,3,30.77,94,24.89
2021/2022,3817887,Hyderabad,Javier Siverio Toro,26,5.0,4.0,11,15.38,96,24.38
2022,3857301,Qatar,Assim Omer Al Haj Madibo,26,2.0,8.0,0,30.77,91,25.71
2021/2022,3802839,Nantes,Jean-Charles Castelletto,26,1.0,9.0,1,34.62,83,28.19
2021/2022,3802984,Nantes,Pedro Chirivella Burgos,26,3.0,5.0,2,19.23,89,26.29
2021/2022,3813303,ATK Mohun Bagan,Carl Gerard McHugh,26,2.0,5.0,4,19.23,95,24.63
2022,3857274,Ecuador,Gonzalo Jordy Plata Jiménez,25,2.0,2.0,10,8.0,89,25.28
2021/2022,3817859,Jamshedpur,Greg Stewart,25,2.0,6.0,5,24.0,94,23.94
2021/2022,3817863,Hyderabad,Nikhil Poojary,25,4.0,7.0,7,28.0,88,25.57
2021/2022,3817862,Mumbai City,Ahmed Jahouh,25,5.0,8.0,2,32.0,85,26.47
2021/2022,3817875,Jamshedpur,Seminlen Doungel,25,2.0,7.0,5,28.0,84,26.79
2021/2022,3813266,Chennaiyin,Edwin Sydney Vanspaul,25,6.0,5.0,3,20.0,69,32.61
2021/2022,3813318,NorthEast United,Imran Khan,25,2.0,5.0,6,20.0,86,26.16
2021/2022,3802837,Saint-Étienne,Denis Bouanga,25,7.0,5.0,8,20.0,93,24.19
2022,3869219,Croatia,Mateo Kovačić,25,6.0,4.0,12,16.0,98,22.96
2021/2022,3817854,Bengaluru,Cleiton Augusto Oliveira Silva,25,5.0,5.0,21,20.0,94,23.94
2021/2022,3802690,Paris Saint-Germain,Idrissa Gana Gueye,25,4.0,8.0,0,32.0,90,25.0
2021/2022,3817873,NorthEast United,Suhair Vadakkepeedika,25,1.0,9.0,17,36.0,93,24.19
2021/2022,3802818,Lorient,Dango Aboubacar Faissal Ouattara,25,6.0,3.0,5,12.0,77,29.22
2021/2022,3813271,Kerala Blasters,Sahal Abdul Samad,25,4.0,7.0,8,28.0,73,30.82
2021/2022,3802802,Stade de Reims,Yunis Abdelhamid,25,6.0,4.0,0,16.0,90,25.0
2021/2022,3817895,Chennaiyin,Jerry Lalrinzuala,25,6.0,10.0,1,40.0,92,24.46
2021/2022,3813268,Jamshedpur,Komal Thatal,25,6.0,5.0,10,20.0,96,23.44
2022,3869552,France,Ousmane Dembélé,25,5.0,7.0,9,28.0,78,28.85
2021/2022,3802904,Bordeaux,Enock Kwateng,25,4.0,9.0,3,36.0,93,24.19
2021/2022,3817900,Chennaiyin,Rahim Ali,25,5.0,6.0,4,24.0,88,25.57
2022,3869253,South Korea,Hee-Chan Hwang,25,4.0,7.0,6,28.0,93,24.19
2022,3857300,Saudi Arabia,Saleh Khalid Al Shehri,25,4.0,3.0,6,12.0,77,29.22
2021/2022,3817901,Jamshedpur,Pronay Halder,25,3.0,6.0,4,24.0,67,33.58
2021/2022,3817857,Jamshedpur,Seminlen Doungel,25,4.0,7.0,7,28.0,91,24.73
2021/2022,3813306,ATK Mohun Bagan,Deepak Tangri,25,9.0,7.0,3,28.0,82,27.44
2021/2022,3813267,East Bengal,Antonio Perošević,25,6.0,4.0,13,16.0,94,23.94
2021/2022,3813303,Goa,Alberto Noguera Ripoll,25,7.0,6.0,6,24.0,93,24.19
2022,3869354,England,Jude Bellingham,25,12.0,12.0,10,48.0,98,22.96
2022,3869354,France,Antoine Griezmann,25,6.0,4.0,8,16.0,98,22.96
2021/2022,3817848,Goa,Alberto Noguera Ripoll,25,8.0,9.0,8,36.0,94,23.94
2021/2022,3817895,Goa,Makan Winkle Chote,25,6.0,6.0,8,24.0,92,24.46
2022,3869519,Argentina,Rodrigo Javier De Paul,25,6.0,3.0,3,12.0,73,30.82
2021/2022,3817879,Chennaiyin,Khumanthem Ninthoinganba Meetei,25,5.0,8.0,3,32.0,90,25.0
2021/2022,3827335,Jamshedpur,Ritwik Kumar Das,24,10.0,6.0,13,25.0,93,23.23
2021/2022,3817864,ATK Mohun Bagan,Hugo Adnan Boumous,24,10.0,7.0,13,29.17,92,23.48
2021/2022,3813297,Bengaluru,Jayesh Dilip Rane,24,6.0,7.0,4,29.17,94,22.98
2021/2022,3813281,ATK Mohun Bagan,Deepak Tangri,24,4.0,7.0,0,29.17,85,25.41
2021/2022,3817892,Odisha,Moirangthem Thoiba Singh,24,5.0,2.0,0,8.33,92,23.48
2022,3857301,Senegal,Krépin Diatta,24,3.0,5.0,11,20.83,63,34.29
2021/2022,3813276,NorthEast United,Lalkhawpuimawia Lalkhawpuimawia,24,6.0,5.0,7,20.83,89,24.27
2021/2022,3817869,Bengaluru,Suresh Singh Wangjam,24,9.0,8.0,3,33.33,94,22.98
2021/2022,3817864,ATK Mohun Bagan,Deepak Tangri,24,7.0,2.0,8,8.33,72,30.0
2021/2022,3813276,East Bengal,Lalrinliana Hnamte,24,4.0,2.0,3,8.33,70,30.86
2021/2022,3813317,East Bengal,Naorem Mahesh Singh,24,1.0,3.0,2,12.5,95,22.74
2021/2022,3817862,Mumbai City,Lallianzuala Chhangte,24,7.0,6.0,6,25.0,86,25.12
2021/2022,3802685,Paris Saint-Germain,Marco Verratti,24,4.0,6.0,6,25.0,92,23.48
2021/2022,3817888,East Bengal,Antonio Perošević,24,5.0,4.0,10,16.67,91,23.74
2021/2022,3817890,NorthEast United,Suhair Vadakkepeedika,24,3.0,9.0,2,37.5,93,23.23
2021/2022,3802809,Rennes,Hamari Traoré,24,5.0,8.0,4,33.33,95,22.74
2021/2022,3827335,Jamshedpur,Jitendra Singh,24,5.0,9.0,5,37.5,71,30.42
