season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2021/2022,Rahul Bheke,Mumbai City,8,12,1.69,2.0,0.31
2022,Niclas Füllkrug,Germany,3,8,1.69,2.0,0.31
2021/2022,Jayesh Dilip Rane,Bengaluru,6,14,0.69,1.0,0.31
2021/2022,Mirlan Murzaev,Chennaiyin,13,32,1.73,2.0,0.27
2022,Adrien Rabiot,France,5,9,0.73,1.0,0.27
2022,Serge Gnabry,Germany,3,12,0.73,1.0,0.27
2021/2022,Naorem Mahesh Singh,East Bengal,13,24,1.73,2.0,0.27
2022,Ivan Perišić,Croatia,6,16,0.76,1.0,0.24
2021/2022,Marco Sahanek,NorthEast United,6,15,0.78,1.0,0.22
2021/2022,Alexandre Monteiro de Lima,Jamshedpur,10,15,0.79,1.0,0.21
2022,Vinícius José Paixão de Oliveira Júnior,Brazil,4,9,0.81,1.0,0.19
2021/2022,Makan Winkle Chote,Goa,8,12,0.83,1.0,0.17
2022,Jude Bellingham,England,3,5,0.84,1.0,0.16
2021/2022,Ishan Pandita,Jamshedpur,12,22,2.89,3.0,0.11
2021/2022,Halicharan Narzary,Hyderabad,3,5,0.89,1.0,0.11
2022,Achraf Hakimi Mouh,Morocco,4,5,0.92,1.0,0.08
2021/2022,Nerijus Valskis,Chennaiyin,8,15,1.94,2.0,0.06
2021/2022,Iman Basafa,Bengaluru,4,6,0.94,1.0,0.06
2021/2022,Anirudh Thapa,Chennaiyin,9,13,0.95,1.0,0.05
2021/2022,Subhasish Bose,ATK Mohun Bagan,10,16,0.95,1.0,0.05
2021/2022,Rohit Danu,Hyderabad,9,15,1.97,2.0,0.03
2021/2022,Aibanbha Kupar Dohling,Goa,8,12,0.98,1.0,0.02
2021/2022,Rochharzela Rochharzela,NorthEast United,7,9,0.99,1.0,0.01
2022,Enzo Fernandez,Argentina,6,9,1.05,1.0,-0.05
2022,Randal Kolo Muani,France,3,5,2.05,2.0,-0.05
2021/2022,Ricky Lallawmawma,Jamshedpur,4,5,0.07,0.0,-0.07
2021/2022,Eli Sabia Filho,Jamshedpur,6,11,1.08,1.0,-0.08
