season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2023,Lubeni Haukongo,Namibia,20,0.0,0.0,6.0,0.0
2023,Frank Magri,Cameroon,9,0.0,0.0,2.0,0.0
2023,Nene Dorgeles,Mali,16,0.0,0.0,2.0,0.0
2023,Mohamed Salisu,Ghana,46,0.0,0.0,18.0,0.0
2022/2023,Gianluigi Donnarumma,Paris Saint-Germain,28,0.0,0.0,15.0,0.0
2023,Mauro Daniel Rodrigues Teixeira,Guinea-Bissau,17,0.0,0.0,4.0,0.0
2023,Adama Traoré,Mali,21,0.0,0.0,4.0,0.0
2022/2023,Stijn Spierings,Toulouse,39,0.0,0.0,13.0,0.0
2022/2023,Carlos Soler Barragán,Paris Saint-Germain,28,0.0,0.0,5.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,49,0.0,0.0,5.0,0.0
2023,Wilfried Stephane Singo,Côte d'Ivoire,24,0.0,0.0,8.0,0.0
2023,Ismahila Ouédraogo,Burkina Faso,14,0.0,0.0,4.0,0.0
2023,Yassine Bounou,Morocco,25,0.0,0.0,11.0,0.0
2022/2023,Dimitri Liénard,Strasbourg,20,0.0,0.0,2.0,0.0
2022/2023,Gabriel Gudmundsson,Lille,11,0.0,0.0,2.0,0.0
2022/2023,Alexis Alejandro Sánchez Sánchez,Marseille,14,0.0,0.0,5.0,0.0
2023,Tomás Agustín Avilés Mancilla,Inter Miami,50,0.0,0.0,17.0,0.0
2023,Aubrey Maphosa Modiba,South Africa,50,0.0,0.0,16.0,0.0
2023,Abdoulaye Seck,Senegal,47,0.0,0.0,16.0,0.0
2023,Franculino Gluda Djú,Guinea-Bissau,7,0.0,0.0,1.0,0.0
2023,Serhou Guirassy,Guinea,11,0.0,0.0,1.0,0.0
2022/2023,Steve Michel Mounié,Stade Brestois,17,0.0,0.0,0.0,
2022/2023,Franck Honorat,Stade Brestois,31,0.0,0.0,4.0,0.0
2023,Gomolemo Grant Kekana,South Africa,49,0.0,0.0,12.0,0.0
2023,Wilfried Stephane Singo,Côte d'Ivoire,44,0.0,0.0,18.0,0.0
2022/2023,Timothee Pembele,Paris Saint-Germain,24,0.0,0.0,1.0,0.0
2023,Amadou Diawara,Guinea,33,0.0,0.0,9.0,0.0
2023,Nicolas Pépé,Côte d'Ivoire,15,0.0,0.0,0.0,
2022/2023,Nuno Mendes,Paris Saint-Germain,57,0.0,0.0,14.0,0.0
2023,Alieu Fadera,Gambia,9,0.0,0.0,3.0,0.0
2022/2023,Yasser Larouci,Troyes,7,0.0,0.0,0.0,
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,62,0.0,0.0,6.0,0.0
2022/2023,Dejan Lovren,Lyon,29,0.0,0.0,6.0,0.0
2023,Saúl Basilio Coco-Bassey Oubiña,Equatorial Guinea,25,0.0,0.0,7.0,0.0
2023,Joaquim Marcos Cunga Balanga,Angola,25,0.0,0.0,8.0,0.0
2022/2023,Pablo Sarabia García,Paris Saint-Germain,7,0.0,0.0,2.0,0.0
2023,Tresford Lawrence Mulenga,Zambia,32,0.0,0.0,21.0,0.0
2023,Diego José Palacios Espinoza,LAFC,21,0.0,0.0,4.0,0.0
2023,Gomolemo Grant Kekana,South Africa,19,0.0,0.0,3.0,0.0
2023,Ghislain Konan,Côte d'Ivoire,25,0.0,0.0,4.0,0.0
2022/2023,Gianluigi Donnarumma,Paris Saint-Germain,22,0.0,0.0,6.0,0.0
2023,Adilson Cipriano da Cruz,Angola,26,0.0,0.0,15.0,0.0
2023,Mihlali Samson Mayambela,South Africa,12,0.0,0.0,1.0,0.0
2023,Yahia Fofana,Côte d'Ivoire,13,0.0,0.0,8.0,0.0
2023,Seifeddine Jaziri,Tunisia,10,0.0,0.0,1.0,0.0
2023,Patson Daka,Zambia,10,0.0,0.0,0.0,
2023,Kenny Rocha Santos,Cape Verde Islands,16,0.0,0.0,5.0,0.0
2023,Alfons Amade,Mozambique,29,0.0,0.0,10.0,0.0
2023,Adam Ounas,Algeria,13,0.0,0.0,5.0,0.0
2023,Omar Kamal Abdel Wahed,Egypt,7,0.0,0.0,2.0,0.0
2022/2023,Nuno Miguel da Costa Jóia,Auxerre,5,0.0,0.0,0.0,
2022/2023,Marcos Aoás Corrêa,Paris Saint-Germain,47,0.0,0.0,13.0,0.0
2023,Issoufou Dayo,Burkina Faso,17,0.0,0.0,6.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,12,0.0,0.0,0.0,
2022/2023,Renato Júnior Luz Sanches,Paris Saint-Germain,15,0.0,0.0,4.0,0.0
2022/2023,Wahbi Khazri,Montpellier,21,0.0,0.0,3.0,0.0
2022/2023,Nordi Mukiele Mulere,Paris Saint-Germain,19,0.0,0.0,6.0,0.0
2023,José Antonio Miranda Boacho,Equatorial Guinea,15,0.0,0.0,5.0,0.0
2023,Cristóvão Paciência Mabululo,Angola,8,0.0,0.0,0.0,
2023,Lameck Banda,Zambia,19,0.0,0.0,3.0,0.0
2023,Wilfried Stephane Singo,Côte d'Ivoire,17,0.0,0.0,8.0,0.0
2023,Yassin Cheikh El Welly,Mauritania,7,0.0,0.0,3.0,0.0
2023,Tiago Manuel Dias Correia,Cape Verde Islands,10,0.0,0.0,1.0,0.0
2023,Anthony Louis Mandréa,Algeria,21,0.0,0.0,13.0,0.0
2023,Tresford Lawrence Mulenga,Zambia,23,0.0,0.0,13.0,0.0
2023,Djigui Diarra,Mali,14,0.0,0.0,7.0,0.0
2023,Jayden Adams,South Africa,7,0.0,0.0,4.0,0.0
2023,Mohamed Camara,Mali,51,0.0,0.0,13.0,0.0
2023,Ibrahim Blati Touré,Burkina Faso,28,0.0,0.0,7.0,0.0
2022/2023,Marcos Aoás Corrêa,Paris Saint-Germain,42,0.0,0.0,11.0,0.0
2022/2023,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,61,0.0,0.0,18.0,0.0
2022/2023,Presnel Kimpembe,Paris Saint-Germain,51,0.0,0.0,9.0,0.0
2023,Falaye Sacko,Mali,55,0.0,0.0,8.0,0.0
2023,Julian Jeanvier,Guinea,34,0.0,0.0,13.0,0.0
2022/2023,Joris Chotard,Montpellier,47,0.0,0.0,11.0,0.0
2023,Edmilson Gabriel Dove,Mozambique,53,0.0,0.0,17.0,0.0
2023,Naby Deco Keïta,Guinea,34,0.0,0.0,10.0,0.0
2023,Michael Bradley,Toronto FC,43,0.0,0.0,17.0,0.0
2023,Mzamiru Yassin,Tanzania,46,0.0,0.0,6.0,0.0
2022/2023,Mattéo Guendouzi Olié,Marseille,41,0.0,0.0,9.0,0.0
2023,Raoul Petretta,Toronto FC,46,0.0,0.0,14.0,0.0
2022/2023,Benjamin André,Lille,51,0.0,0.0,17.0,0.0
2022/2023,El Chadaille Bitshiabu,Paris Saint-Germain,71,0.0,0.0,25.0,0.0
2022/2023,Pierre Lees Melou,Stade Brestois,30,0.0,0.0,10.0,0.0
2023,Jean Mota Oliveira de Sousa,Inter Miami,33,0.0,0.0,11.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,98,0.0,0.0,23.0,0.0
2023,Thapelo Maseko,South Africa,8,0.0,0.0,1.0,0.0
2023,Reinildo Isnard Mandava,Mozambique,45,0.0,0.0,15.0,0.0
2023,Calvin Bassey Ughelumba,Nigeria,34,0.0,0.0,17.0,0.0
2022/2023,Vincent Sierro,Toulouse,9,0.0,0.0,4.0,0.0
2022/2023,Yan Valery,Angers,47,0.0,0.0,15.0,0.0
2023,Abdessamad Ezzalzouli,Morocco,11,0.0,0.0,2.0,0.0
2023,Lamine Camara,Senegal,19,0.0,0.0,3.0,0.0
2023,Emam Ashour Metwally Abdelghany,Egypt,36,0.0,0.0,10.0,0.0
2023,Kelvin Kapumbu,Zambia,42,0.0,0.0,9.0,0.0
2023,Mohamed Hany Gamal Eldemerdash,Egypt,51,0.0,0.0,15.0,0.0
2023,Sofyan Amrabat,Morocco,49,0.0,0.0,13.0,0.0
2023,João Paulo Moreira Fernandes,Cape Verde Islands,53,0.0,0.0,16.0,0.0
2023,Brian Anunga,Nashville SC,28,0.0,0.0,7.0,0.0
2022/2023,Christopher Wooh,Rennes,25,0.0,0.0,4.0,0.0
2022/2023,Achraf Hakimi Mouh,Paris Saint-Germain,68,0.0,0.0,9.0,0.0
2022/2023,Azzedine Ounahi,Marseille,10,0.0,0.0,3.0,0.0
2023,Seko Fofana,Côte d'Ivoire,26,0.0,0.0,3.0,0.0
2022/2023,Johann Lepenant,Lyon,22,0.0,0.0,1.0,0.0
2023,Franck Yannick Kessié,Côte d'Ivoire,29,0.0,0.0,8.0,0.0
2022/2023,Presnel Kimpembe,Paris Saint-Germain,76,0.0,0.0,24.0,0.0
2022/2023,Sergio Ramos García,Paris Saint-Germain,25,0.0,0.0,8.0,0.0
2022/2023,Nuno Mendes,Paris Saint-Germain,34,0.0,0.0,8.0,0.0
2023,Noah Allen,Inter Miami,29,0.0,0.0,3.0,0.0
2023,Frank Onyeka,Nigeria,19,0.0,0.0,5.0,0.0
2022/2023,Erik Palmer-Brown,Troyes,24,0.0,0.0,10.0,0.0
2022/2023,Timothee Pembele,Paris Saint-Germain,13,0.0,0.0,1.0,0.0
2023,Achraf Hakimi Mouh,Morocco,65,0.0,0.0,19.0,0.0
2023,Omar Colley,Gambia,22,0.0,0.0,8.0,0.0
2023,Houssem Aouar,Algeria,8,0.0,0.0,3.0,0.0
2022/2023,Neymar da Silva Santos Junior,Paris Saint-Germain,52,0.0,0.0,12.0,0.0
2023,Khuliso Johnson Mudau,South Africa,25,0.0,0.0,9.0,0.0
2023,Jesús Lázaro Owono Ngua Akeng,Equatorial Guinea,28,0.0,0.0,21.0,0.0
2022/2023,Valère Germain,Montpellier,10,0.0,0.0,1.0,0.0
2023,Matt Miazga,Cincinnati,18,0.0,0.0,5.0,0.0
2023,Kouakou Herve Koffi,Burkina Faso,13,0.0,0.0,7.0,0.0
2023,Tomás Agustín Avilés Mancilla,Inter Miami,36,0.0,0.0,9.0,0.0
2022/2023,Nordi Mukiele Mulere,Paris Saint-Germain,30,0.0,0.0,1.0,0.0
2023,Gomolemo Grant Kekana,South Africa,75,0.0,0.0,16.0,0.0
2022/2023,Jonathan Gradit,Lens,28,0.0,0.0,10.0,0.0
2023,Kevin Lenini Gonçalves Pereira de Pina,Cape Verde Islands,40,0.0,0.0,13.0,0.0
2023,Sikou Niakate,Mali,54,0.0,0.0,20.0,0.0
2023,Théo Bongonda Mbul''Ofeko Batombo,Congo DR,17,0.0,0.0,3.0,0.0
2022/2023,Khéphren Thuram-Ulien,OGC Nice,50,0.0,0.0,14.0,0.0
2023,Jacinto Muondo Dala,Angola,6,0.0,0.0,0.0,
2022/2023,Warren Zaire Emery,Paris Saint-Germain,23,0.0,0.0,7.0,0.0
2022/2023,Yoann Salmier,Troyes,38,0.0,0.0,14.0,0.0
2023,Federico Bikoro Akieme Nchama,Equatorial Guinea,24,0.0,0.0,6.0,0.0
2023,Carlos Akapo Martínez,Equatorial Guinea,21,0.0,0.0,6.0,0.0
2023,Deroy Duarte,Cape Verde Islands,36,0.0,0.0,8.0,0.0
2022/2023,El Chadaille Bitshiabu,Paris Saint-Germain,7,0.0,0.0,2.0,0.0
2023,Obite Evan Ndicka,Côte d'Ivoire,65,0.0,0.0,25.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,30,0.0,0.0,5.0,0.0
2022/2023,Adrien Thomasson,Lens,19,0.0,0.0,3.0,0.0
2023,Haji Mnoga,Tanzania,15,0.0,0.0,6.0,0.0
2023,Jacob Shaffelburg,Nashville SC,9,0.0,0.0,2.0,0.0
2023,Víctor Vázquez Solsona,Toronto FC,8,0.0,0.0,0.0,
2022/2023,Vincent Le Goff,Lorient,66,0.0,0.0,27.0,0.0
2022/2023,Bafodé Diakité,Lille,59,0.0,0.0,13.0,0.0
2022/2023,Abdu Conté,Troyes,39,0.0,0.0,10.0,0.0
2022/2023,Gianluigi Donnarumma,Paris Saint-Germain,30,0.0,0.0,17.0,0.0
2023,Oluwasemilogo Adesewo Ibidapo Ajayi,Nigeria,25,0.0,0.0,9.0,0.0
2022/2023,Gianluigi Donnarumma,Paris Saint-Germain,25,0.0,0.0,8.0,0.0
2022/2023,Nuno Mendes,Paris Saint-Germain,55,0.0,0.0,8.0,0.0
2023,Ibán Salvador Edu,Equatorial Guinea,21,0.0,0.0,6.0,0.0
2022/2023,Warren Zaire Emery,Paris Saint-Germain,39,0.0,0.0,4.0,0.0
2023,Jules Olivier Ntcham,Cameroon,11,0.0,0.0,3.0,0.0
2023,Eddie Marcos Melo Afonso,Angola,24,0.0,0.0,9.0,0.0
2023,Olivier Michel Kemen,Cameroon,35,0.0,0.0,11.0,0.0
2023,Zakhele Lerato Lepasa,South Africa,9,0.0,0.0,0.0,
2023,Abdessamad Ezzalzouli,Morocco,9,0.0,0.0,2.0,0.0
2023,Théo Bongonda Mbul''Ofeko Batombo,Congo DR,37,0.0,0.0,16.0,0.0
2023,Souleymane Anne,Mauritania,7,0.0,0.0,2.0,0.0
2023,Ambrosini Antonio Cabaça Salvador,Angola,14,0.0,0.0,2.0,0.0
2023,Edson André Sitoe,Mozambique,55,0.0,0.0,21.0,0.0
2022/2023,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,53,0.0,0.0,14.0,0.0
2022/2023,Neymar da Silva Santos Junior,Paris Saint-Germain,42,0.0,0.0,9.0,0.0
2023,Steven Moreira,Cape Verde Islands,43,0.0,0.0,11.0,0.0
2023,Denis Bouanga,LAFC,18,0.0,0.0,4.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,20,0.0,0.0,3.0,0.0
2022/2023,Warren Zaire Emery,Paris Saint-Germain,24,0.0,0.0,2.0,0.0
2023,Eddie Marcos Melo Afonso,Angola,31,0.0,0.0,5.0,0.0
2023,Jovane Eduardo Borges Cabral,Cape Verde Islands,21,0.0,0.0,3.0,0.0
2023,Gaël Kakuta,Congo DR,22,0.0,0.0,7.0,0.0
2023,Victor James Osimhen,Nigeria,11,0.0,0.0,1.0,0.0
2022/2023,Kevin Spadanuda,AC Ajaccio,12,0.0,0.0,2.0,0.0
2022/2023,Falaye Sacko,Montpellier,19,0.0,0.0,3.0,0.0
2022/2023,Benoît Badiashile Mukinayi,AS Monaco,28,0.0,0.0,10.0,0.0
2023,Oumar Gonzalez,Cameroon,23,0.0,0.0,9.0,0.0
2023,Jovane Eduardo Borges Cabral,Cape Verde Islands,23,0.0,0.0,2.0,0.0
2022/2023,Mehdi Zeffane,Clermont Foot,15,0.0,0.0,2.0,0.0
2022/2023,Yunis Abdelhamid,Stade de Reims,41,0.0,0.0,20.0,0.0
2023,Cédric Badolo,Burkina Faso,10,0.0,0.0,2.0,0.0
2023,Oluwasemilogo Adesewo Ibidapo Ajayi,Nigeria,31,0.0,0.0,8.0,0.0
2023,Sayfallah Ltaief,Tunisia,8,0.0,0.0,4.0,0.0
2023,Lubeni Haukongo,Namibia,29,0.0,0.0,12.0,0.0
2022/2023,Ismaël Chester Diallo,AC Ajaccio,7,0.0,0.0,3.0,0.0
2022/2023,Paul Bernardoni,Angers,18,0.0,0.0,9.0,0.0
2022/2023,Enzo Gianni Tchato Mbiayi,Montpellier,33,0.0,0.0,6.0,0.0
2023,Jacinto Muondo Dala,Angola,5,0.0,0.0,1.0,0.0
2023,Nyiko Mobbie,South Africa,11,0.0,0.0,6.0,0.0
2023,Peter Shalulile,Namibia,14,0.0,0.0,3.0,0.0
2023,Bechir Ben Said,Tunisia,21,0.0,0.0,8.0,0.0
2023,Mohamed Youcef Belaïli,Algeria,42,0.0,0.0,11.0,0.0
2023,Zaidu Sanusi,Nigeria,22,0.0,0.0,9.0,0.0
2023,Fashion Sakala,Zambia,16,0.0,0.0,1.0,0.0
2023,Manuel Keliano,Angola,8,0.0,0.0,3.0,0.0
2022/2023,Pablo Sarabia García,Paris Saint-Germain,21,0.0,0.0,7.0,0.0
2023,Mothobi Mvala,South Africa,25,0.0,0.0,14.0,0.0
2023,José Ndong Machín Dicombo,Equatorial Guinea,15,0.0,0.0,3.0,0.0
2022/2023,Sergio Ramos García,Paris Saint-Germain,19,0.0,0.0,6.0,0.0
2023,Salis Abdul Samed,Ghana,8,0.0,0.0,3.0,0.0
2023,Joseph Paintsil,Ghana,7,0.0,0.0,3.0,0.0
2023,Alhassan Yusuf,Nigeria,25,0.0,0.0,7.0,0.0
2023,Mohamed Elias Achouri,Tunisia,21,0.0,0.0,3.0,0.0
2023,Aliou Dieng,Mali,39,0.0,0.0,4.0,0.0
2023,Saidy Janko,Gambia,41,0.0,0.0,14.0,0.0
2022/2023,Nuno Mendes,Paris Saint-Germain,46,0.0,0.0,17.0,0.0
2023,Jordan Ayew,Ghana,22,0.0,0.0,5.0,0.0
2023,Sofiane Feghouli,Algeria,7,0.0,0.0,2.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,16,0.0,0.0,7.0,0.0
2022/2023,Désiré Doué,Rennes,10,0.0,0.0,2.0,0.0
2022/2023,Abdallah Dipo Sima,Angers,9,0.0,0.0,1.0,0.0
2023,Jonathan Buatu Mananga,Angola,18,0.0,0.0,9.0,0.0
2023,Adilson Cipriano da Cruz,Angola,8,0.0,0.0,5.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,18,0.0,0.0,4.0,0.0
2023,Baboucarr Gaye,Gambia,7,0.0,0.0,3.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,5,0.0,0.0,1.0,0.0
2023,Simon Adingra,Côte d'Ivoire,10,0.0,0.0,2.0,0.0
2022/2023,Alan Virginius,Lille,6,0.0,0.0,0.0,
2023,Iliman Ndiaye,Senegal,7,0.0,0.0,1.0,0.0
2022/2023,Yvon Landry Mvogo,Lorient,14,0.0,0.0,5.0,0.0
2023,Adilson Cipriano da Cruz,Angola,12,0.0,0.0,9.0,0.0
2023,Laros Duarte,Cape Verde Islands,5,0.0,0.0,3.0,0.0
2023,Babacar Niasse,Mauritania,5,0.0,0.0,5.0,0.0
2022/2023,Adrien Hunou,Angers,42,0.0,0.0,7.0,0.0
2022/2023,Ismaël Chester Diallo,AC Ajaccio,25,0.0,0.0,9.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,26,0.0,0.0,3.0,0.0
2023,Pathé Ismaël Ciss,Senegal,24,0.0,0.0,10.0,0.0
2023,Ghislain Konan,Côte d'Ivoire,68,0.0,0.0,29.0,0.0
2023,Obite Evan Ndicka,Côte d'Ivoire,82,0.0,0.0,26.0,0.0
2022/2023,Alban Lafont,Nantes,25,0.0,0.0,17.0,0.0
2023,Amine Harit,Morocco,12,0.0,0.0,6.0,0.0
2022/2023,Marco Verratti,Paris Saint-Germain,120,0.0,0.0,37.0,0.0
2022/2023,Danilo Luís Hélio Pereira,Paris Saint-Germain,77,0.0,0.0,15.0,0.0
2023,Mothobi Mvala,South Africa,19,0.0,0.0,5.0,0.0
2023,Seydouba Cisse,Guinea,20,0.0,0.0,5.0,0.0
2022/2023,Marcos Aoás Corrêa,Paris Saint-Germain,71,0.0,0.0,9.0,0.0
2023,Ali Abdi,Tunisia,37,0.0,0.0,13.0,0.0
2022/2023,Kylian Mbappé Lottin,Paris Saint-Germain,50,0.0,0.0,10.0,0.0
2023,Carlos Miguel Coronel,New York Red Bulls,17,0.0,0.0,14.0,0.0
2023,Yvan Neyou Noupa,Cameroon,38,0.0,0.0,5.0,0.0
2023,Nabil Bentaleb,Algeria,44,0.0,0.0,10.0,0.0
2023,Calvin Bassey Ughelumba,Nigeria,41,0.0,0.0,13.0,0.0
2023,Julian Jeanvier,Guinea,64,0.0,0.0,21.0,0.0
2023,Drake Callender,Inter Miami,27,0.0,0.0,18.0,0.0
2023,Antoine Conte,Guinea,10,0.0,0.0,5.0,0.0
2022/2023,Neymar da Silva Santos Junior,Paris Saint-Germain,65,0.0,0.0,23.0,0.0
2022/2023,Caio Henrique Oliveira Silva,AS Monaco,37,0.0,0.0,6.0,0.0
2023,Khadim Diaw,Mauritania,16,0.0,0.0,5.0,0.0
2022/2023,Vitor Machado Ferreira,Paris Saint-Germain,74,0.0,0.0,15.0,0.0
