season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2023,3877170,Yuya Kubo,Cincinnati,2,0.442,0.147,8.0,90.0,0.442
2023,3923880,Yoane Wissa,Congo DR,1,0.307,0.307,1.0,63.0,0.439
2022/2023,3837695,Hugo Ekitike,Paris Saint-Germain,2,0.185,0.093,7.0,38.0,0.439
2023,3877115,Jordi Alba Ramos,Inter Miami,1,0.16,0.16,3.0,33.0,0.437
2023,3920410,Shaquille Momad Nangy,Mozambique,1,0.087,0.043,2.0,18.0,0.433
2023,3920397,Saúl Basilio Coco-Bassey Oubiña,Equatorial Guinea,2,0.923,0.462,5.0,192.0,0.433
2022/2023,3837844,Enzo Gianni Tchato Mbiayi,Montpellier,2,0.086,0.043,3.0,18.0,0.432
2022/2023,3837771,Marcos Aoás Corrêa,Paris Saint-Germain,3,0.428,0.143,19.0,90.0,0.428
2023,3922243,Amine Harit,Morocco,3,0.585,0.195,8.0,123.0,0.428
2022/2023,3837752,Fabián Ruiz Peña,Paris Saint-Germain,6,2.341,0.39,31.0,492.0,0.428
2022/2023,3838017,Jim Allevinah,Clermont Foot,1,0.223,0.223,5.0,47.0,0.426
2022/2023,3837695,Nuno Mendes,Paris Saint-Germain,5,1.695,0.212,24.0,360.0,0.424
2023,3920387,Salis Abdul Samed,Ghana,3,0.169,0.056,7.0,36.0,0.423
2022/2023,3837902,Steve Michel Mounié,Stade Brestois,1,0.308,0.308,1.0,66.0,0.42
2022/2023,3837938,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.042,0.042,5.0,9.0,0.42
2023,3920405,Abdessamad Ezzalzouli,Morocco,2,0.477,0.159,7.0,102.0,0.42
2023,3920395,Meschak Elia,Congo DR,4,0.465,0.116,5.0,100.0,0.418
2023,3920415,Mohamed Youcef Belaïli,Algeria,1,0.361,0.181,6.0,78.0,0.417
