season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2023,3922241,Cape Verde Islands,Deroy Duarte,0.0,1.0,12.0,2.0,0.0,6.0,2.0,0.0,0.0,7.0,11.0,5.0,4.0,15.0,,80.0,6.67,26.67,21.74,Balanced Defender
2022/2023,3837680,AS Monaco,Axel Disasi,0.0,4.0,9.0,2.0,1.0,1.0,4.0,0.0,3.0,8.0,10.0,6.0,0.0,15.0,0.0,60.0,26.67,0.0,25.0,Balanced Defender
2022/2023,3837706,Stade Brestois,Christophe Hérelle,0.0,2.0,10.0,3.0,4.0,2.0,2.0,0.0,1.0,16.0,6.0,2.0,0.0,15.0,0.0,66.67,13.33,0.0,8.33,Protector
2022/2023,3837662,Paris Saint-Germain,Sergio Ramos García,0.0,4.0,11.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0,12.0,0.0,0.0,15.0,,73.33,26.67,0.0,0.0,Balanced Defender
2023,3920411,Egypt,Ahmed Mohamed Abo El Fotouh Mohamed,0.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,8.0,4.0,1.0,15.0,,80.0,0.0,6.67,22.22,Balanced Defender
2023,3922242,Côte d'Ivoire,Oumar Diakité,0.0,2.0,11.0,2.0,1.0,3.0,2.0,0.0,4.0,5.0,11.0,9.0,4.0,15.0,0.0,73.33,13.33,26.67,36.0,Balanced Defender
2023,3920384,Côte d'Ivoire,Ghislain Konan,0.0,2.0,12.0,1.0,1.0,5.0,1.0,0.0,6.0,8.0,19.0,1.0,1.0,15.0,0.0,80.0,13.33,6.67,3.57,Balanced Defender
2023,3920392,Mauritania,Souleymane Anne,0.0,0.0,15.0,0.0,0.0,2.0,2.0,1.0,5.0,3.0,8.0,13.0,0.0,15.0,20.0,100.0,0.0,0.0,54.17,Balanced Defender
2023,3920385,Mozambique,Stanley Ratifo,0.0,0.0,15.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,13.0,3.0,0.0,15.0,0.0,100.0,0.0,0.0,15.0,Balanced Defender
2022/2023,3837683,Toulouse,Zakaria Aboukhlal,0.0,0.0,14.0,1.0,1.0,0.0,1.0,0.0,5.0,6.0,10.0,6.0,0.0,15.0,0.0,93.33,0.0,0.0,27.27,Balanced Defender
2022/2023,3837680,Paris Saint-Germain,Neymar da Silva Santos Junior,0.0,0.0,12.0,3.0,0.0,9.0,2.0,0.0,0.0,5.0,13.0,8.0,5.0,15.0,,80.0,0.0,33.33,30.77,Aggressive Presser
2023,3877115,Toronto FC,Federico Bernardeschi,0.0,1.0,13.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,12.0,3.0,0.0,15.0,0.0,86.67,6.67,0.0,15.0,Balanced Defender
2023,3920403,Angola,Núrio Domingos Matias Fortuna,0.0,1.0,13.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,11.0,2.0,1.0,15.0,,86.67,6.67,6.67,9.52,Balanced Defender
2023,3920418,Tanzania,Faisal Salum Abdalla,0.0,0.0,15.0,0.0,0.0,7.0,0.0,1.0,4.0,11.0,11.0,4.0,2.0,15.0,25.0,100.0,0.0,13.33,15.38,Balanced Defender
2023,3920409,Nigeria,Calvin Bassey Ughelumba,0.0,0.0,12.0,3.0,3.0,2.0,2.0,2.0,5.0,11.0,12.0,4.0,0.0,15.0,40.0,80.0,0.0,0.0,14.81,Balanced Defender
2023,3920419,Morocco,Ismael Saibari,0.0,0.0,12.0,3.0,1.0,4.0,1.0,0.0,2.0,5.0,8.0,10.0,1.0,15.0,0.0,80.0,0.0,6.67,43.48,Balanced Defender
2023,3922838,Congo DR,Cédric Bakambu,0.0,0.0,15.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,15.0,9.0,1.0,15.0,0.0,100.0,0.0,6.67,36.0,Balanced Defender
2022/2023,3837717,Lyon,Thiago Henrique Mendes Ribeiro,0.0,2.0,7.0,6.0,5.0,4.0,1.0,2.0,5.0,21.0,8.0,1.0,1.0,15.0,40.0,46.67,13.33,6.67,3.33,Protector
2022/2023,3837938,OGC Nice,Dante Bonfim da Costa Santos,0.0,0.0,14.0,1.0,1.0,7.0,0.0,0.0,1.0,8.0,12.0,4.0,2.0,15.0,0.0,93.33,0.0,13.33,16.67,Balanced Defender
2023,3922837,Nigeria,Alhassan Yusuf,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,2.0,7.0,11.0,4.0,0.0,15.0,0.0,100.0,0.0,0.0,18.18,Balanced Defender
2023,3920400,Cameroon,Nouhou Tolo,0.0,1.0,11.0,3.0,5.0,5.0,2.0,0.0,4.0,21.0,7.0,3.0,1.0,15.0,0.0,73.33,6.67,6.67,9.68,Protector
2022/2023,3837896,Nantes,Jaouen Hadjam,0.0,1.0,13.0,1.0,0.0,6.0,1.0,0.0,1.0,17.0,2.0,4.0,2.0,15.0,0.0,86.67,6.67,13.33,17.39,Balanced Defender
2022/2023,3838017,Paris Saint-Germain,Hugo Ekitike,0.0,0.0,15.0,0.0,0.0,3.0,2.0,0.0,3.0,5.0,10.0,8.0,2.0,15.0,0.0,100.0,0.0,13.33,34.78,Balanced Defender
2023,3877170,Inter Miami,Serhiy Kryvtsov,0.0,0.0,14.0,1.0,2.0,0.0,3.0,0.0,4.0,9.0,13.0,2.0,0.0,15.0,0.0,93.33,0.0,0.0,8.33,Balanced Defender
2023,3920398,Nigeria,Ademola Lookman,0.0,1.0,13.0,1.0,0.0,2.0,3.0,0.0,2.0,5.0,13.0,4.0,1.0,15.0,0.0,86.67,6.67,6.67,18.18,Balanced Defender
2022/2023,3837859,Toulouse,Moussa Diarra,0.0,1.0,12.0,2.0,1.0,2.0,0.0,0.0,0.0,11.0,5.0,2.0,1.0,15.0,,80.0,6.67,6.67,11.11,Balanced Defender
2023,3920397,Equatorial Guinea,Pablo Ganet Cómitre,0.0,0.0,13.0,2.0,2.0,3.0,1.0,0.0,1.0,6.0,12.0,4.0,2.0,15.0,0.0,86.67,0.0,13.33,18.18,Balanced Defender
