season_name,match_id,team,opponent_passes,defensive_actions,ppda
2023,3901833,Morocco Women's,346,37,9.35
2023,3902239,Japan Women's,361,18,20.06
2023,3902239,Sweden Women's,296,33,8.97
2023,3902240,Netherlands Women's,467,61,7.66
2023,3902240,Spain Women's,291,55,5.29
2023,3902967,Colombia Women's,370,24,15.42
2023,3902967,England Women's,225,34,6.62
2023,3902968,Australia Women's,319,40,7.97
2023,3902968,France Women's,268,52,5.15
2023,3904628,Spain Women's,233,23,10.13
2023,3904628,Sweden Women's,305,47,6.49
2023,3904629,Australia Women's,282,24,11.75
2023,3904629,England Women's,231,40,5.78
2023,3906389,Australia Women's,286,33,8.67
2023,3906389,Sweden Women's,239,47,5.09
2023,3906390,England Women's,287,41,7.0
2023,3906390,Spain Women's,222,38,5.84
2023,3920384,Côte d'Ivoire,206,27,7.63
2023,3920384,Guinea-Bissau,382,21,18.19
2023,3920385,Egypt,196,27,7.26
2023,3920385,Mozambique,412,14,29.43
2023,3920386,Equatorial Guinea,244,32,7.63
2023,3920386,Nigeria,212,30,7.07
2023,3920387,Cape Verde Islands,221,36,6.14
2023,3920387,Ghana,240,36,6.67
2023,3920388,Gambia,444,14,31.71
2023,3920388,Senegal,186,29,6.41
2023,3920389,Cameroon,127,26,4.88
2023,3920389,Guinea,357,19,18.79
2023,3920390,Algeria,152,25,6.08
2023,3920390,Angola,440,29,15.17
2023,3920391,Mali,320,45,7.11
2023,3920391,South Africa,245,24,10.21
2023,3920392,Burkina Faso,138,35,3.94
2023,3920392,Mauritania,314,33,9.52
2023,3920393,Namibia,321,47,6.83
2023,3920393,Tunisia,198,23,8.61
2023,3920394,Morocco,134,33,4.06
2023,3920394,Tanzania,354,18,19.67
2023,3920395,Congo DR,158,21,7.52
2023,3920395,Zambia,372,26,14.31
2023,3920396,Egypt,206,24,8.58
2023,3920396,Ghana,334,25,13.36
2023,3920397,Equatorial Guinea,266,24,11.08
2023,3920397,Guinea-Bissau,242,26,9.31
2023,3920398,Côte d'Ivoire,137,29,4.72
2023,3920398,Nigeria,319,38,8.39
2023,3920399,Cape Verde Islands,296,34,8.71
2023,3920399,Mozambique,252,27,9.33
2023,3920400,Cameroon,207,23,9.0
2023,3920400,Senegal,268,19,14.11
2023,3920401,Gambia,314,24,13.08
2023,3920401,Guinea,215,33,6.52
2023,3920402,Algeria,137,25,5.48
2023,3920402,Burkina Faso,269,26,10.35
2023,3920403,Angola,256,32,8.0
2023,3920403,Mauritania,219,40,5.47
2023,3920404,Mali,185,38,4.87
2023,3920404,Tunisia,328,28,11.71
2023,3920405,Congo DR,234,31,7.55
2023,3920405,Morocco,217,27,8.04
2023,3920406,Tanzania,284,21,13.52
2023,3920406,Zambia,250,32,7.81
2023,3920407,Namibia,228,27,8.44
2023,3920407,South Africa,232,36,6.44
2023,3920408,Côte d'Ivoire,122,42,2.9
2023,3920408,Equatorial Guinea,310,34,9.12
2023,3920409,Guinea-Bissau,292,24,12.17
