team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
New York Red Bulls,John Tolkin,91.0,1.0,5.0,7.0,0.99,4.95,6.92,12.86,Ball Carrier
Angola,Loide António Augusto,77.0,3.0,2.0,6.0,3.51,2.34,7.01,12.86,Progressive Passer
Congo DR,Gaël Kakuta,254.0,10.0,12.0,14.0,3.54,4.25,4.96,12.75,Complete Progressor
Namibia,Deon Hotto Kavendji,368.0,13.0,17.0,22.0,3.18,4.16,5.38,12.719999999999999,Complete Progressor
Lille,André Filipe Tavares Gomes,92.0,10.0,1.0,2.0,9.78,0.98,1.96,12.719999999999999,Progressive Passer
OGC Nice,Sofiane Diop,92.0,3.0,6.0,4.0,2.93,5.87,3.91,12.71,Ball Carrier
Côte d'Ivoire,Max-Alain Gradel,298.0,4.0,14.0,24.0,1.21,4.23,7.25,12.690000000000001,Ball Carrier
Troyes,Thierno Balde,71.0,4.0,2.0,4.0,5.07,2.54,5.07,12.68,Progressive Passer
Auxerre,Mathias Autret,64.0,4.0,2.0,3.0,5.62,2.81,4.22,12.649999999999999,Progressive Passer
Lorient,Darlin Zidane Yongwa Ngameni,93.0,2.0,3.0,8.0,1.94,2.9,7.74,12.58,Progression Outlet
Burkina Faso,Bertrand Isidore Traoré,202.0,8.0,6.0,14.0,3.56,2.67,6.24,12.47,Progressive Passer
Angola,Zito André Sebastião Luvumbo,167.0,3.0,10.0,10.0,1.62,5.39,5.39,12.399999999999999,Ball Carrier
Cape Verde Islands,Garry Mendes Rodrigues,204.0,3.0,11.0,14.0,1.32,4.85,6.18,12.35,Ball Carrier
Rennes,Benjamin Bourigeaud,95.0,9.0,1.0,3.0,8.53,0.95,2.84,12.319999999999999,Progressive Passer
Morocco,Hakim Ziyech,199.0,10.0,4.0,13.0,4.52,1.81,5.88,12.21,Progressive Passer
AC Ajaccio,Mickaël Barreto,96.0,2.0,5.0,6.0,1.88,4.69,5.62,12.190000000000001,Ball Carrier
Egypt,Mohamed Hany Gamal Eldemerdash,290.0,14.0,9.0,16.0,4.34,2.79,4.97,12.1,Progressive Passer
Stade Brestois,Franck Honorat,188.0,3.0,8.0,14.0,1.44,3.83,6.7,11.969999999999999,Ball Carrier
Senegal,Sadio Mané,414.0,11.0,20.0,24.0,2.39,4.35,5.22,11.96,Ball Carrier
Angers,Ibrahima Niane,68.0,1.0,3.0,5.0,1.32,3.97,6.62,11.91,Ball Carrier
Stade de Reims,Azor Matusiwa,91.0,12.0,0.0,0.0,11.87,0.0,0.0,11.87,Progressive Passer
Côte d'Ivoire,Simon Adingra,277.0,2.0,19.0,15.0,0.65,6.17,4.87,11.690000000000001,Ball Carrier
