season_name,match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
2024,3941017,Eberechi Eze,England,1,0.497,2.0,1.0,0.497,1.0,36.0,1.243,32.43
2024,3939991,Endrick Felipe Moreira de Sousa,Brazil,1,0.041,1.0,0.0,0.041,2.0,3.0,1.23,13.41
2023/2024,3895210,Adam Hložek,Bayer Leverkusen,4,0.597,5.0,0.0,0.149,6.0,44.0,1.221,24.54
2024,3939977,Ángel Fabián Di María Hernández,Argentina,2,0.539,2.0,0.0,0.27,3.0,40.0,1.213,21.88
2024,3930159,Breel-Donald Embolo,Switzerland,2,0.591,2.0,1.0,0.295,7.0,44.0,1.209,28.2
2024,3942852,Andrés Mateus Uribe Villa,Colombia,2,0.741,2.0,0.0,0.37,2.0,56.0,1.191,63.23
2024,3943076,Lucas René Olaza Catrofe,Uruguay,2,0.661,2.0,1.0,0.331,5.0,50.0,1.19,14.42
2024,3938637,Jakub Piotrowski,Poland,1,0.131,2.0,0.0,0.131,7.0,10.0,1.179,15.38
2024,3938639,Yusuf Yazıcı,Turkey,1,0.159,1.0,0.0,0.159,1.0,13.0,1.101,6.71
2024,3930177,Kevin Csoboth,Hungary,3,0.508,3.0,1.0,0.169,7.0,42.0,1.089,50.75
2023/2024,3895275,Maximilian Philipp,Freiburg,1,0.131,2.0,1.0,0.131,2.0,11.0,1.072,16.41
2024,3941020,Benjamin Verbič,Slovenia,2,0.828,2.0,0.0,0.414,5.0,72.0,1.035,27.35
2024,3941020,Rúben Diogo Da Silva Neves,Portugal,1,0.023,2.0,0.0,0.023,1.0,2.0,1.035,0.57
2024,3941021,Micky van de Ven,Netherlands,2,0.427,2.0,1.0,0.213,3.0,38.0,1.011,18.51
2023/2024,3895067,Josip Stanišić,Bayer Leverkusen,3,0.706,3.0,1.0,0.235,10.0,63.0,1.009,25.39
2024,3938644,Zuriko Davitashvili,Georgia,1,0.089,1.0,0.0,0.089,2.0,8.0,1.001,6.61
2023/2024,3895220,Jonas Hofmann,Bayer Leverkusen,1,0.176,1.0,0.0,0.176,9.0,16.0,0.99,9.27
2024,3930169,Lawrence Shankland,Scotland,1,0.033,1.0,0.0,0.033,1.0,3.0,0.99,5.03
2024,3942382,Mehmet Zeki Çelik,Turkey,3,0.362,4.0,0.0,0.121,4.0,33.0,0.987,32.84
2024,3939973,Eduardo Antonio Guerrero Lozcano,Panama,1,0.076,1.0,1.0,0.076,1.0,7.0,0.977,14.05
2024,3939990,Malik Tillman,United States,2,0.106,3.0,0.0,0.053,10.0,10.0,0.954,24.16
2024,3939981,Abdiel Armando Ayarza Cocanegra,Panama,2,0.229,3.0,1.0,0.114,5.0,22.0,0.937,35.29
2023/2024,3895074,Mathys Tel,Bayern Munich,1,0.281,1.0,1.0,0.281,6.0,27.0,0.937,13.46
2024,3941017,Ivan Toney,England,2,0.621,3.0,1.0,0.31,5.0,60.0,0.932,40.52
2024,3942228,Alan Steve Minda García,Ecuador,2,0.969,2.0,0.0,0.485,3.0,94.0,0.928,21.73
2024,3939985,Tanitoluwa Oluwaseyi,Canada,1,0.196,1.0,0.0,0.196,4.0,19.0,0.928,28.02
2024,3940983,Emre Can,Germany,1,0.256,1.0,1.0,0.256,8.0,25.0,0.922,11.71
2024,3939991,Rafael Santos Borré Amaury,Colombia,2,0.363,2.0,0.0,0.182,5.0,36.0,0.908,24.15
2024,3939991,Deiver Andrés Machado Mena,Colombia,1,0.463,1.0,1.0,0.463,1.0,46.0,0.906,30.8
2024,3942226,José Luis Sanmartín Mato,Spain,1,0.201,1.0,1.0,0.201,2.0,20.0,0.905,13.1
2024,3939970,José Paolo Guerrero Gonzáles,Peru,1,0.229,2.0,0.0,0.229,1.0,23.0,0.896,36.46
2023/2024,3895202,Benjamin Henrichs,RB Leipzig,1,0.187,1.0,0.0,0.187,1.0,19.0,0.886,17.52
2024,3938644,Nélson Cabral Semedo,Portugal,4,1.132,5.0,0.0,0.283,9.0,116.0,0.878,48.99
2024,3938639,Luka Lochoshvili,Georgia,2,0.39,3.0,0.0,0.195,5.0,40.0,0.878,25.64
2024,3930176,Niclas Füllkrug,Germany,1,0.163,1.0,1.0,0.163,1.0,17.0,0.863,11.35
2023/2024,3895060,Arthur Augusto de Matos Soares,Bayer Leverkusen,2,0.418,2.0,0.0,0.209,4.0,44.0,0.855,16.33
2024,3943076,Jonathan David,Canada,2,0.987,3.0,2.0,0.494,2.0,104.0,0.854,16.6
2024,3941017,Ezri Konsa Ngoyo,England,1,0.123,1.0,0.0,0.123,1.0,13.0,0.852,8.03
2023/2024,3895333,Jean-Mattéo Bahoya Négoce,Eintracht Frankfurt,3,0.369,3.0,0.0,0.123,11.0,39.0,0.852,28.42
2024,3939980,Alan Steve Minda García,Ecuador,2,0.488,2.0,1.0,0.244,6.0,52.0,0.845,21.38
2023/2024,3895266,Jonas Hofmann,Bayer Leverkusen,4,0.412,5.0,1.0,0.103,24.0,44.0,0.843,23.15
2024,3940983,Waldemar Anton,Germany,2,0.13,2.0,0.0,0.065,2.0,14.0,0.836,5.94
2024,3930163,Jarrod Bowen,England,1,0.167,1.0,0.0,0.167,2.0,18.0,0.835,29.88
2024,3938641,Michael Gregoritsch,Austria,2,0.204,2.0,0.0,0.102,4.0,22.0,0.835,11.2
2024,3942228,John Yeboah Zamora,Ecuador,2,0.813,2.0,2.0,0.406,3.0,88.0,0.831,18.23
2023/2024,3895320,Florian Wirtz,Bayer Leverkusen,1,0.212,1.0,1.0,0.212,1.0,23.0,0.83,16.28
2024,3939992,Alejandro Romero Gamarra,Paraguay,4,0.772,5.0,0.0,0.193,9.0,84.0,0.827,56.96
2024,3939969,Giovani Lo Celso,Argentina,2,0.455,2.0,1.0,0.228,12.0,50.0,0.819,13.53
2024,3939989,Bruno Miranda Villagomez,Bolivia,2,0.504,2.0,1.0,0.252,8.0,56.0,0.81,63.97
2024,3930164,Ikoma Loïs Openda,Belgium,1,0.108,1.0,0.0,0.108,2.0,12.0,0.81,6.81
2024,3930177,Attila Szalai,Hungary,1,0.185,1.0,0.0,0.185,1.0,21.0,0.793,18.48
2024,3930181,Anthony Gordon,England,2,0.07,2.0,0.0,0.035,5.0,8.0,0.788,9.51
2024,3942349,Youssouf Fofana,France,4,1.083,4.0,1.0,0.271,13.0,124.0,0.786,21.82
2024,3942228,Jordy Josué Caicedo Medina,Ecuador,3,0.984,3.0,1.0,0.328,3.0,114.0,0.777,22.07
2023/2024,3895266,Borja Iglesias Quintas,Bayer Leverkusen,1,0.094,1.0,0.0,0.094,3.0,11.0,0.769,5.28
2024,3939973,Freddy Elías Góndola Smith,Panama,1,0.076,1.0,1.0,0.076,5.0,9.0,0.76,14.05
2023/2024,3895067,Nathan Tella,Bayer Leverkusen,3,0.532,4.0,0.0,0.177,9.0,63.0,0.76,19.13
2024,3941018,Mikel Merino Zazón,Spain,4,0.335,5.0,1.0,0.084,18.0,40.0,0.754,13.1
2024,3930169,Ryan Christie,Scotland,1,0.033,1.0,0.0,0.033,3.0,4.0,0.743,5.03
2023/2024,3895275,Yannik Keitel,Freiburg,1,0.131,2.0,1.0,0.131,4.0,16.0,0.737,16.41
2023/2024,3895182,Edmond Fayçal Tapsoba,Bayer Leverkusen,4,0.851,5.0,1.0,0.213,12.0,104.0,0.736,26.0
2024,3939989,Adalid Terrazas Abasto,Bolivia,2,0.504,2.0,1.0,0.252,15.0,62.0,0.732,63.97
2024,3939989,Leonel Justiniano Arauz,Bolivia,2,0.504,2.0,1.0,0.252,11.0,62.0,0.732,63.97
2023/2024,3895158,Karim-David Adeyemi,Borussia Dortmund,1,0.236,1.0,0.0,0.236,2.0,29.0,0.732,29.5
2023/2024,3895158,Antonios Papadopoulos,Borussia Dortmund,1,0.236,1.0,0.0,0.236,2.0,29.0,0.732,29.5
2024,3930166,Petr Ševčík,Czech Republic,1,0.113,2.0,0.0,0.113,2.0,14.0,0.726,52.94
2024,3930177,Lewis Morgan,Scotland,1,0.056,1.0,0.0,0.056,2.0,7.0,0.72,30.51
2023/2024,3895134,Mërgim Berisha,Hoffenheim,1,0.048,1.0,0.0,0.048,1.0,6.0,0.72,3.42
2023/2024,3895134,Bambasé Conté,Hoffenheim,1,0.048,1.0,0.0,0.048,2.0,6.0,0.72,3.42
2023/2024,3895052,Emil Peter Forsberg,RB Leipzig,2,0.256,3.0,0.0,0.128,4.0,32.0,0.72,15.67
2024,3930159,Bendegúz Bolla,Hungary,2,0.734,2.0,1.0,0.367,6.0,92.0,0.718,66.56
2024,3943077,Lautaro Javier Martínez,Argentina,1,0.199,1.0,1.0,0.199,4.0,25.0,0.716,18.38
2023/2024,3895340,Jonas Hofmann,Bayer Leverkusen,11,2.604,12.0,2.0,0.237,21.0,330.0,0.71,61.85
2024,3938640,Oleksandr Zubkov,Ukraine,2,0.425,2.0,1.0,0.212,9.0,54.0,0.708,24.95
2023/2024,3895182,Nadiem Amiri,Bayer Leverkusen,1,0.055,1.0,0.0,0.055,2.0,7.0,0.707,1.68
2024,3943076,Derek Cornelius,Canada,1,0.204,2.0,1.0,0.204,2.0,26.0,0.706,3.43
2024,3930167,Arbër Hoxha,Albania,4,0.344,4.0,1.0,0.086,13.0,44.0,0.704,26.21
2024,3941017,László Bénes,Slovakia,2,0.579,2.0,0.0,0.29,4.0,74.0,0.704,37.41
2024,3930184,Orkun Kökçü,Turkey,1,0.086,1.0,1.0,0.086,2.0,11.0,0.704,9.03
2023/2024,3895107,Amine Adli,Bayer Leverkusen,3,0.484,3.0,0.0,0.161,13.0,63.0,0.691,16.8
2024,3942382,Muhammed Kerem Aktürkoğlu,Turkey,3,0.368,4.0,0.0,0.123,7.0,48.0,0.69,33.38
2024,3939988,Ernesto Alexis Vega Rojas,Mexico,1,0.069,1.0,0.0,0.069,1.0,9.0,0.69,7.87
2024,3940983,Florian Wirtz,Germany,3,0.32,3.0,0.0,0.107,6.0,42.0,0.686,14.63
2023/2024,3895182,Adam Hložek,Bayer Leverkusen,4,0.609,5.0,0.0,0.152,7.0,80.0,0.685,18.61
2023/2024,3895074,Jamal Musiala,Bayern Munich,1,0.281,1.0,1.0,0.281,1.0,37.0,0.684,13.46
2023/2024,3895348,Pep Biel Mas Jaume,Augsburg,2,0.287,2.0,0.0,0.143,2.0,38.0,0.68,36.78
2024,3930166,Antonín Barák,Czech Republic,1,0.113,2.0,0.0,0.113,2.0,15.0,0.678,52.94
2023/2024,3895060,Lukas Ullrich,Borussia Mönchengladbach,1,0.03,1.0,0.0,0.03,4.0,4.0,0.675,3.75
2024,3943076,Cristian Gonzalo Olivera Ibarra,Uruguay,1,0.238,1.0,0.0,0.238,1.0,32.0,0.669,5.19
2024,3939986,Enzo Fernandez,Argentina,3,0.594,3.0,1.0,0.198,4.0,81.0,0.66,30.55
2024,3939976,Gabriel Teodoro Martinelli Silva,Brazil,2,0.161,2.0,0.0,0.081,17.0,22.0,0.659,11.25
2024,3939978,Jonathan Osorio,Canada,1,0.366,1.0,0.0,0.366,1.0,50.0,0.659,40.26
2024,3938637,Wout Weghorst,Netherlands,1,0.095,1.0,1.0,0.095,1.0,13.0,0.658,7.88
2024,3930174,Rúben Diogo Da Silva Neves,Portugal,3,1.074,3.0,1.0,0.358,6.0,147.0,0.658,56.49
2024,3943043,Mikel Oyarzabal Ugarte,Spain,2,0.321,2.0,1.0,0.161,3.0,44.0,0.657,18.42
2024,3942785,Tanitoluwa Oluwaseyi,Canada,2,0.262,2.0,0.0,0.131,2.0,36.0,0.655,38.69
2023/2024,3895095,Amine Adli,Bayer Leverkusen,3,0.653,4.0,1.0,0.218,7.0,90.0,0.653,83.49
2023/2024,3895333,Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,3,0.303,3.0,0.0,0.101,14.0,42.0,0.649,23.34
2024,3930172,Ayoze Pérez Gutiérrez,Spain,3,0.324,3.0,0.0,0.108,9.0,45.0,0.648,21.12
2024,3939990,Haji Wright,United States,1,0.092,1.0,0.0,0.092,2.0,13.0,0.637,20.97
2024,3938639,Zuriko Davitashvili,Georgia,3,0.466,4.0,0.0,0.155,4.0,66.0,0.635,30.63
2024,3942228,Ángel Israel Mena Delgado,Ecuador,3,0.865,3.0,1.0,0.288,3.0,123.0,0.633,19.4
2024,3930165,Youssouf Fofana,France,1,0.035,1.0,0.0,0.035,1.0,5.0,0.63,1.99
2023/2024,3895074,Exequiel Alejandro Palacios,Bayer Leverkusen,5,1.77,6.0,1.0,0.354,19.0,255.0,0.625,81.0
2024,3930178,Mattia Zaccagni,Italy,1,0.111,1.0,1.0,0.111,1.0,16.0,0.624,11.26
2023/2024,3895320,Jonathan Tah,Bayer Leverkusen,1,0.311,2.0,0.0,0.311,1.0,45.0,0.622,23.88
2024,3942852,Kevin Duvan Castaño Gil,Colombia,3,0.746,3.0,0.0,0.249,7.0,108.0,0.622,63.65
2024,3930160,Ante Budimir,Croatia,2,0.759,5.0,0.0,0.38,3.0,110.0,0.621,40.62
2023/2024,3895139,Nathan Tella,Bayer Leverkusen,1,0.062,1.0,1.0,0.062,3.0,9.0,0.62,3.34
2024,3939990,Rodrigo Bentancur Colmán,Uruguay,1,0.11,2.0,0.0,0.11,6.0,16.0,0.619,9.39
2023/2024,3895060,Robert Andrich,Bayer Leverkusen,3,0.448,3.0,0.0,0.149,11.0,66.0,0.611,17.5
2023/2024,3895153,Justin Gideon Njinmah,Werder Bremen,1,0.128,1.0,0.0,0.128,2.0,19.0,0.606,68.84
2023/2024,3895333,Ignacio Ferri Julià,Eintracht Frankfurt,3,0.303,3.0,0.0,0.101,5.0,45.0,0.606,23.34
2024,3939970,Diego Alfonso Valdés Contreras,Chile,2,0.606,3.0,0.0,0.303,9.0,90.0,0.606,63.02
2023/2024,3895182,Victor Okoh Boniface,Bayer Leverkusen,3,0.501,3.0,1.0,0.167,10.0,75.0,0.601,15.31
2024,3939975,Matías Nicolás Rojas Romero,Paraguay,1,0.02,1.0,0.0,0.02,2.0,3.0,0.6,2.45
2023/2024,3895292,Victor Okoh Boniface,Bayer Leverkusen,3,0.577,3.0,0.0,0.192,6.0,87.0,0.597,23.73
2024,3930167,Ante Budimir,Croatia,3,0.533,3.0,1.0,0.178,8.0,81.0,0.592,30.0
2023/2024,3895292,Jeremie Frimpong,Bayer Leverkusen,2,0.184,2.0,0.0,0.092,7.0,28.0,0.591,7.57
2024,3941021,Joey Veerman,Netherlands,1,0.117,1.0,0.0,0.117,2.0,18.0,0.585,5.07
2023/2024,3895052,Junior Castello Lukeba,RB Leipzig,4,0.832,6.0,0.0,0.208,10.0,128.0,0.585,50.93
2024,3930168,Emre Can,Germany,3,0.367,4.0,0.0,0.122,12.0,57.0,0.579,25.27
2024,3939974,Ricardo Daniel Pepi,United States,7,1.164,8.0,0.0,0.166,15.0,182.0,0.576,62.52
2023/2024,3895139,Amine Adli,Bayer Leverkusen,2,0.115,2.0,1.0,0.058,4.0,18.0,0.575,6.2
2023/2024,3895095,Granit Xhaka,Bayer Leverkusen,1,0.489,1.0,0.0,0.489,7.0,77.0,0.572,62.52
2024,3930166,Gonçalo Bernardo Inácio,Portugal,4,0.735,4.0,1.0,0.184,13.0,116.0,0.57,40.95
2024,3930162,Jon Gorenc Stankovič,Slovenia,2,0.19,3.0,0.0,0.095,8.0,30.0,0.57,22.16
2023/2024,3895052,Kevin Kampl,RB Leipzig,3,0.587,4.0,0.0,0.196,7.0,93.0,0.568,35.93
2023/2024,3895052,Yussuf Yurary Poulsen,RB Leipzig,4,0.832,6.0,0.0,0.208,6.0,132.0,0.567,50.93
2024,3939975,Miguel Ángel Almirón Rejala,Paraguay,1,0.364,1.0,0.0,0.364,1.0,58.0,0.565,44.51
2023/2024,3895107,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,0.025,1.0,0.0,0.025,2.0,4.0,0.563,0.87
2023/2024,3895340,Borja Iglesias Quintas,Bayer Leverkusen,3,0.372,3.0,0.0,0.124,6.0,60.0,0.558,8.84
