season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2024,3939969,Argentina,Lisandro Martínez,90.0,86.0,176.0,11,11,22,29.93
2023/2024,3895348,Bayer Leverkusen,Edmond Fayçal Tapsoba,92.0,84.0,176.0,13,12,25,25.11
2023/2024,3895292,Bayer Leverkusen,Piero Martín Hincapié Reyna,89.0,86.0,175.0,9,9,18,28.0
2023/2024,3895095,Bayer Leverkusen,Exequiel Alejandro Palacios,91.0,84.0,175.0,11,11,22,31.76
2024,3938643,France,Theo Bernard François Hernández,91.0,84.0,175.0,10,12,22,34.25
2025,3998847,Spain Women's,Alexia Putellas Segura,80.0,94.0,174.0,13,14,27,24.75
2024,3930174,Portugal,Rúben Santos Gato Alves Dias,90.0,83.0,173.0,15,11,26,32.04
2024,3930164,Belgium,Zeno Debast,88.0,84.0,172.0,11,10,21,33.86
2023/2024,3895095,Bayer Leverkusen,Granit Xhaka,86.0,86.0,172.0,10,9,19,31.22
2024,3941018,Spain,Fabián Ruiz Peña,80.0,92.0,172.0,12,12,24,21.99
2024,3930168,Germany,Jonathan Tah,89.0,83.0,172.0,11,13,24,25.0
2024,3930168,Germany,Antonio Rüdiger,90.0,82.0,172.0,13,9,22,25.0
2025,3998840,Germany Women's,Janina Minge,90.0,81.0,171.0,12,11,23,32.2
2024,3941018,Spain,Marc Cucurella Saseta,92.0,79.0,171.0,9,10,19,21.87
2023/2024,3895258,Bayer Leverkusen,Josip Stanišić,89.0,82.0,171.0,14,12,26,21.59
2023/2024,3895275,Bayer Leverkusen,Jonathan Tah,89.0,82.0,171.0,10,10,20,24.64
2024,3930166,Portugal,Rúben Santos Gato Alves Dias,87.0,83.0,170.0,9,10,19,26.44
2023/2024,3895052,RB Leipzig,Mohamed Simakan,89.0,81.0,170.0,14,11,25,33.2
2023/2024,3895258,Bayer Leverkusen,Piero Martín Hincapié Reyna,91.0,79.0,170.0,9,10,19,21.46
2023/2024,3895348,Bayer Leverkusen,Robert Andrich,86.0,84.0,170.0,14,14,28,24.25
2024,3930158,Germany,Jonathan Tah,89.0,81.0,170.0,10,12,22,25.56
2023/2024,3895292,Bayer Leverkusen,Jonathan Tah,86.0,83.0,169.0,10,11,21,27.04
2023/2024,3895113,Bayer Leverkusen,Granit Xhaka,89.0,80.0,169.0,12,11,23,29.81
2023/2024,3895210,Bayer Leverkusen,Alejandro Grimaldo García,81.0,87.0,168.0,11,11,22,18.48
2024,3930181,England,John Stones,85.0,83.0,168.0,12,12,24,23.66
2023/2024,3895052,RB Leipzig,Willi Orban,83.0,84.0,167.0,14,13,27,32.62
2024,3939976,Brazil,Guilherme Antonio Arana Lopes,83.0,84.0,167.0,11,10,21,25.3
2025,3998845,WNT Finland,Eva Nyström,89.0,78.0,167.0,11,10,21,34.79
2023/2024,3895266,Bayer Leverkusen,Jonathan Tah,88.0,79.0,167.0,10,9,19,19.24
2024,3930158,Germany,Antonio Rüdiger,86.0,81.0,167.0,14,12,26,25.11
2025,3998850,France Women's,Thiniba Samoura,84.0,82.0,166.0,12,13,25,29.33
2023/2024,3895158,Bayer Leverkusen,Florian Wirtz,82.0,84.0,166.0,10,11,21,27.3
2024,3942819,England,Marc Guehi,85.0,80.0,165.0,11,11,22,29.46
2024,3939982,Uruguay,Mathías Olivera Miramontes,89.0,75.0,164.0,12,11,23,36.69
2024,3942349,France,Aurélien Djani Tchouaméni,83.0,81.0,164.0,13,12,25,29.18
2023/2024,3895258,Bayer Leverkusen,Alejandro Grimaldo García,83.0,81.0,164.0,11,12,23,20.71
2023/2024,3895107,Bayer Leverkusen,Jonathan Tah,84.0,80.0,164.0,11,8,19,23.07
2023/2024,3895286,Bayer Leverkusen,Florian Wirtz,74.0,90.0,164.0,13,10,23,24.05
2024,3940983,Germany,Toni Kroos,86.0,77.0,163.0,12,13,25,32.34
2023/2024,3895292,Bayer Leverkusen,Granit Xhaka,83.0,80.0,163.0,13,12,25,26.08
2023/2024,3895202,Bayer Leverkusen,Granit Xhaka,82.0,81.0,163.0,11,10,21,27.26
2025,3998847,Spain Women's,Irene Paredes Hernandez,86.0,77.0,163.0,12,10,22,23.19
2023/2024,3895194,Bayer Leverkusen,Jonas Hofmann,78.0,85.0,163.0,10,10,20,21.53
2024,3939976,Brazil,Bruno Guimarães Rodriguez Moura,87.0,76.0,163.0,11,12,23,24.7
2025,4018357,France Women's,Maëlle Lakrar,86.0,77.0,163.0,10,9,19,26.21
2023/2024,3895194,Bayer Leverkusen,Josip Stanišić,87.0,75.0,162.0,11,8,19,21.4
2024,3942819,England,John Stones,84.0,78.0,162.0,12,9,21,28.93
2023/2024,3895286,Bayer Leverkusen,Jonathan Tah,90.0,72.0,162.0,11,10,21,23.75
2024,3930166,Portugal,Bruno Miguel Borges Fernandes,77.0,84.0,161.0,12,12,24,25.04
2023/2024,3895180,Bayer Leverkusen,Edmond Fayçal Tapsoba,84.0,77.0,161.0,12,10,22,23.57
2024,3942227,England,Kyle Walker,89.0,72.0,161.0,13,10,23,24.92
2024,3930170,Serbia,Milos Veljkovic,84.0,77.0,161.0,12,9,21,31.82
2025,4020077,Spain Women's,Ona Batlle Pascual,98.0,63.0,161.0,12,10,22,23.54
2023/2024,3895220,Bayer Leverkusen,Robert Andrich,85.0,75.0,160.0,11,10,21,22.35
2025,3998850,France Women's,Alice Sombath,83.0,77.0,160.0,12,9,21,28.27
2024,3938644,Portugal,Danilo Luís Hélio Pereira,85.0,75.0,160.0,14,13,27,24.21
2023/2024,3895340,Bayer Leverkusen,Granit Xhaka,79.0,81.0,160.0,11,12,23,27.59
2023/2024,3895139,Bayer Leverkusen,Jonathan Tah,79.0,81.0,160.0,11,9,20,20.43
2024,3941020,Portugal,Bruno Miguel Borges Fernandes,69.0,90.0,159.0,12,12,24,22.14
2023/2024,3895302,Bayer Leverkusen,Granit Xhaka,78.0,81.0,159.0,12,12,24,27.23
2023/2024,3895202,Bayer Leverkusen,Exequiel Alejandro Palacios,78.0,81.0,159.0,9,11,20,26.59
2024,3939976,Brazil,Marcos Aoás Corrêa,88.0,71.0,159.0,10,10,20,24.09
2024,3930173,France,William Saliba,84.0,75.0,159.0,8,9,17,25.24
2025,4018357,France Women's,Selma Bacha,88.0,71.0,159.0,13,13,26,25.56
2025,4020846,Spain Women's,Aitana Bonmati Conca,73.0,85.0,158.0,10,12,22,22.6
2023/2024,3895210,Bayer Leverkusen,Florian Wirtz,76.0,82.0,158.0,10,10,20,17.38
2023/2024,3895266,Bayer Leverkusen,Alejandro Grimaldo García,80.0,78.0,158.0,13,9,22,18.2
2024,3930162,Denmark,Joachim Andersen,77.0,81.0,158.0,12,9,21,25.86
2023/2024,3895302,Bayer Leverkusen,Robert Andrich,81.0,76.0,157.0,11,13,24,26.88
2023/2024,3895194,Bayer Leverkusen,Robert Andrich,85.0,72.0,157.0,10,9,19,20.74
2023/2024,3895258,Bayer Leverkusen,Robert Andrich,78.0,79.0,157.0,12,13,25,19.82
2024,3930172,Spain,Fabián Ruiz Peña,80.0,77.0,157.0,10,11,21,27.84
2024,3941017,England,Declan Rice,81.0,76.0,157.0,13,12,25,21.3
2023/2024,3895107,Bayer Leverkusen,Alejandro Grimaldo García,80.0,77.0,157.0,12,12,24,22.08
2025,3998852,WNT Finland,Eva Nyström,82.0,75.0,157.0,9,10,19,39.15
2024,3943043,Spain,Robin Aime Robert Le Normand,80.0,77.0,157.0,10,8,18,30.31
2023/2024,3895286,Bayer Leverkusen,Robert Andrich,78.0,79.0,157.0,12,12,24,23.02
2025,3998849,Germany Women's,Janina Minge,83.0,73.0,156.0,9,7,16,30.29
2024,3930158,Germany,Joshua Kimmich,80.0,76.0,156.0,13,13,26,23.46
2024,3930159,Switzerland,Granit Xhaka,79.0,76.0,155.0,14,13,27,38.08
2023/2024,3895086,Bayer Leverkusen,Odilon Kossonou,82.0,73.0,155.0,11,9,20,19.6
2024,3940878,Italy,Nicolò Fagioli,77.0,78.0,155.0,10,12,22,32.29
2024,3930179,Spain,Daniel Vivian Moreno,82.0,73.0,155.0,13,9,22,28.23
2024,3942382,Netherlands,Stefan de Vrij,79.0,76.0,155.0,10,10,20,31.12
2024,3930166,Portugal,Nuno Mendes,77.0,77.0,154.0,11,12,23,23.95
2023/2024,3895210,Bayer Leverkusen,Nadiem Amiri,78.0,76.0,154.0,9,9,18,16.94
2023/2024,3895348,Bayer Leverkusen,Jonathan Tah,80.0,74.0,154.0,12,10,22,21.97
2025,3998855,Spain Women's,Alexia Putellas Segura,72.0,81.0,153.0,12,12,24,20.16
2025,4018356,Spain Women's,Laia Aleixandri López,80.0,73.0,153.0,12,12,24,24.72
2023/2024,3895182,Bayer Leverkusen,Robert Andrich,79.0,74.0,153.0,12,12,24,22.3
2024,3941018,Spain,Daniel Carvajal Ramos,80.0,73.0,153.0,10,9,19,19.57
2023/2024,3895158,Bayer Leverkusen,Edmond Fayçal Tapsoba,82.0,71.0,153.0,8,9,17,25.16
2024,3938640,Slovakia,Stanislav Lobotka,79.0,74.0,153.0,12,13,25,29.2
2024,3939977,Argentina,Lisandro Martínez,78.0,75.0,153.0,10,9,19,29.37
2024,3943043,Spain,Aymeric Laporte,80.0,73.0,153.0,10,8,18,29.54
