season_name,match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
2024,3939987,Jamaica,32,15.29,4.41,3.44
2024,3939988,Mexico,30,15.29,4.31,4.44
2024,3939988,Ecuador,25,17.86,3.97,4.16
2024,3939989,Panama,21,21.03,4.21,4.97
2024,3939989,Bolivia,23,16.15,5.02,3.26
2024,3939990,Uruguay,31,16.75,4.37,4.9
2024,3939990,United States,15,19.23,4.46,4.59
2024,3939991,Brazil,21,10.59,4.81,2.35
2024,3939991,Colombia,29,10.56,5.15,2.26
2024,3939992,Paraguay,35,15.63,4.53,3.92
2024,3939992,Costa Rica,31,15.23,3.96,3.8
2024,3940878,Switzerland,21,15.13,5.01,3.01
2024,3940878,Italy,23,10.07,5.22,2.2
2024,3940983,Denmark,20,16.98,5.02,3.62
2024,3940983,Germany,22,14.95,4.47,3.47
2024,3941017,Slovakia,32,14.38,4.77,3.0
2024,3941017,England,37,12.04,4.82,2.9
2024,3941018,Georgia,20,14.57,4.6,3.26
2024,3941018,Spain,27,13.52,4.68,3.04
2024,3941019,Belgium,16,13.14,4.88,3.61
2024,3941019,France,23,14.71,4.85,3.15
2024,3941020,Slovenia,35,17.45,4.3,3.91
2024,3941020,Portugal,33,15.67,4.91,3.39
2024,3941021,Netherlands,24,12.39,4.4,2.97
2024,3941021,Romania,19,14.55,5.0,2.91
2024,3941022,Austria,37,14.81,4.98,3.06
2024,3941022,Turkey,25,12.13,4.29,2.97
2024,3942226,Germany,37,16.88,4.95,3.52
2024,3942226,Spain,32,11.62,4.44,3.38
2024,3942227,England,20,13.11,4.11,3.5
2024,3942227,Switzerland,20,14.05,4.89,3.1
2024,3942228,Ecuador,19,16.16,4.82,3.62
2024,3942228,Argentina,21,14.28,4.32,3.25
2024,3942229,Venezuela,37,16.7,4.01,5.13
2024,3942229,Canada,31,15.42,4.11,3.76
2024,3942349,France,31,14.96,4.75,3.09
2024,3942349,Portugal,24,15.13,5.42,3.07
2024,3942382,Turkey,30,18.26,4.93,3.67
