season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2024,3930184,Turkey,20.0,22.0,11.0,53.0,41.51,37.74
2024,3938637,Netherlands,23.0,16.0,21.0,60.0,26.67,38.33
2024,3938637,Poland,13.0,13.0,12.0,38.0,34.21,34.21
2024,3938638,Romania,12.0,9.0,9.0,30.0,30.0,40.0
2024,3938638,Ukraine,34.0,21.0,26.0,81.0,25.93,41.98
2024,3938639,Georgia,18.0,14.0,12.0,44.0,31.82,40.91
2024,3938639,Turkey,59.0,39.0,58.0,156.0,25.0,37.82
2024,3938640,Slovakia,22.0,11.0,18.0,51.0,21.57,43.14
2024,3938640,Ukraine,21.0,11.0,12.0,44.0,25.0,47.73
2024,3938641,Austria,33.0,26.0,26.0,85.0,30.59,38.82
2024,3938641,Poland,4.0,6.0,0.0,10.0,60.0,40.0
2024,3938642,Czech Republic,40.0,30.0,33.0,103.0,29.13,38.83
2024,3938642,Georgia,13.0,7.0,8.0,28.0,25.0,46.43
2024,3938643,France,36.0,31.0,36.0,103.0,30.1,34.95
2024,3938643,Poland,11.0,9.0,6.0,26.0,34.62,42.31
2024,3938644,Georgia,4.0,13.0,2.0,19.0,68.42,21.05
2024,3938644,Portugal,64.0,24.0,23.0,111.0,21.62,57.66
2024,3938645,Belgium,43.0,41.0,43.0,127.0,32.28,33.86
2024,3938645,Ukraine,18.0,11.0,12.0,41.0,26.83,43.9
2024,3939969,Argentina,28.0,23.0,22.0,73.0,31.51,38.36
2024,3939969,Canada,16.0,17.0,15.0,48.0,35.42,33.33
2024,3939970,Chile,35.0,18.0,23.0,76.0,23.68,46.05
2024,3939970,Peru,13.0,10.0,8.0,31.0,32.26,41.94
2024,3939971,Jamaica,21.0,10.0,14.0,45.0,22.22,46.67
2024,3939971,Mexico,43.0,24.0,40.0,107.0,22.43,40.19
2024,3939972,Ecuador,18.0,8.0,16.0,42.0,19.05,42.86
2024,3939972,Venezuela,28.0,8.0,18.0,54.0,14.81,51.85
2024,3939973,Panama,17.0,5.0,14.0,36.0,13.89,47.22
2024,3939973,Uruguay,36.0,13.0,32.0,81.0,16.05,44.44
2024,3939974,Bolivia,13.0,6.0,5.0,24.0,25.0,54.17
2024,3939974,United States,36.0,26.0,30.0,92.0,28.26,39.13
2024,3939975,Colombia,33.0,18.0,33.0,84.0,21.43,39.29
2024,3939975,Paraguay,14.0,17.0,12.0,43.0,39.53,32.56
2024,3939976,Brazil,70.0,56.0,70.0,196.0,28.57,35.71
2024,3939976,Costa Rica,2.0,1.0,0.0,3.0,33.33,66.67
2024,3939977,Argentina,25.0,21.0,20.0,66.0,31.82,37.88
2024,3939977,Chile,16.0,9.0,10.0,35.0,25.71,45.71
2024,3939978,Canada,27.0,25.0,23.0,75.0,33.33,36.0
2024,3939978,Peru,12.0,8.0,6.0,26.0,30.77,46.15
2024,3939979,Mexico,45.0,32.0,45.0,122.0,26.23,36.89
2024,3939979,Venezuela,17.0,7.0,12.0,36.0,19.44,47.22
2024,3939980,Ecuador,18.0,19.0,16.0,53.0,35.85,33.96
2024,3939980,Jamaica,12.0,5.0,9.0,26.0,19.23,46.15
2024,3939981,Panama,37.0,21.0,32.0,90.0,23.33,41.11
2024,3939981,United States,5.0,4.0,4.0,13.0,30.77,38.46
2024,3939982,Bolivia,6.0,2.0,4.0,12.0,16.67,50.0
2024,3939982,Uruguay,32.0,23.0,22.0,77.0,29.87,41.56
2024,3939983,Brazil,24.0,19.0,18.0,61.0,31.15,39.34
2024,3939983,Paraguay,20.0,11.0,14.0,45.0,24.44,44.44
2024,3939984,Colombia,29.0,23.0,26.0,78.0,29.49,37.18
2024,3939984,Costa Rica,8.0,2.0,2.0,12.0,16.67,66.67
2024,3939985,Canada,22.0,11.0,15.0,48.0,22.92,45.83
2024,3939985,Chile,11.0,5.0,5.0,21.0,23.81,52.38
2024,3939986,Argentina,21.0,10.0,16.0,47.0,21.28,44.68
2024,3939986,Peru,6.0,3.0,3.0,12.0,25.0,50.0
2024,3939987,Jamaica,10.0,4.0,1.0,15.0,26.67,66.67
2024,3939987,Venezuela,27.0,18.0,23.0,68.0,26.47,39.71
2024,3939988,Ecuador,7.0,7.0,3.0,17.0,41.18,41.18
2024,3939988,Mexico,23.0,11.0,10.0,44.0,25.0,52.27
2024,3939989,Bolivia,15.0,10.0,8.0,33.0,30.3,45.45
2024,3939989,Panama,26.0,16.0,26.0,68.0,23.53,38.24
2024,3939990,United States,19.0,7.0,15.0,41.0,17.07,46.34
2024,3939990,Uruguay,24.0,21.0,19.0,64.0,32.81,37.5
2024,3939991,Brazil,11.0,4.0,3.0,18.0,22.22,61.11
2024,3939991,Colombia,21.0,16.0,14.0,51.0,31.37,41.18
2024,3939992,Costa Rica,5.0,0.0,0.0,5.0,0.0,100.0
2024,3939992,Paraguay,44.0,33.0,38.0,115.0,28.7,38.26
2024,3940878,Italy,20.0,8.0,9.0,37.0,21.62,54.05
2024,3940878,Switzerland,40.0,21.0,28.0,89.0,23.6,44.94
2024,3940983,Denmark,33.0,15.0,23.0,71.0,21.13,46.48
2024,3940983,Germany,27.0,24.0,20.0,71.0,33.8,38.03
2024,3941017,England,30.0,17.0,15.0,62.0,27.42,48.39
2024,3941017,Slovakia,30.0,17.0,24.0,71.0,23.94,42.25
2024,3941018,Georgia,5.0,6.0,3.0,14.0,42.86,35.71
2024,3941018,Spain,89.0,65.0,81.0,235.0,27.66,37.87
2024,3941019,Belgium,12.0,6.0,8.0,26.0,23.08,46.15
2024,3941019,France,40.0,41.0,36.0,117.0,35.04,34.19
2024,3941020,Portugal,48.0,36.0,47.0,131.0,27.48,36.64
2024,3941020,Slovenia,9.0,8.0,4.0,21.0,38.1,42.86
2024,3941021,Netherlands,36.0,26.0,36.0,98.0,26.53,36.73
2024,3941021,Romania,6.0,6.0,4.0,16.0,37.5,37.5
2024,3941022,Austria,61.0,44.0,51.0,156.0,28.21,39.1
2024,3941022,Turkey,12.0,16.0,11.0,39.0,41.03,30.77
2024,3942226,Germany,47.0,32.0,45.0,124.0,25.81,37.9
2024,3942226,Spain,35.0,27.0,32.0,94.0,28.72,37.23
2024,3942227,England,27.0,16.0,11.0,54.0,29.63,50.0
2024,3942227,Switzerland,41.0,22.0,33.0,96.0,22.92,42.71
2024,3942228,Argentina,9.0,5.0,2.0,16.0,31.25,56.25
2024,3942228,Ecuador,26.0,5.0,17.0,48.0,10.42,54.17
2024,3942229,Canada,21.0,12.0,13.0,46.0,26.09,45.65
2024,3942229,Venezuela,18.0,8.0,10.0,36.0,22.22,50.0
2024,3942349,France,42.0,34.0,31.0,107.0,31.78,39.25
2024,3942349,Portugal,26.0,24.0,26.0,76.0,31.58,34.21
2024,3942382,Netherlands,51.0,26.0,51.0,128.0,20.31,39.84
2024,3942382,Turkey,13.0,8.0,4.0,25.0,32.0,52.0
2024,3942415,Brazil,14.0,4.0,6.0,24.0,16.67,58.33
2024,3942415,Uruguay,20.0,15.0,18.0,53.0,28.3,37.74
2024,3942416,Colombia,19.0,11.0,11.0,41.0,26.83,46.34
