match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
3939989,Panama,13,1.341,1.341,3.0,3.0,0.103
3939989,Bolivia,7,0.788,0.788,1.0,1.0,0.113
3939990,Uruguay,12,1.272,1.272,1.0,1.0,0.106
3939990,United States,8,0.471,0.471,0.0,0.0,0.059
3939991,Colombia,13,1.503,1.503,1.0,1.0,0.116
3939991,Brazil,7,0.306,0.306,1.0,1.0,0.044
3939992,Paraguay,17,1.44,1.44,1.0,1.0,0.085
3939992,Costa Rica,2,0.272,0.272,2.0,2.0,0.136
3940878,Switzerland,16,0.782,0.782,2.0,2.0,0.049
3940878,Italy,11,0.726,0.726,0.0,0.0,0.066
3940983,Germany,15,2.227,1.443,2.0,1.0,0.103
3940983,Denmark,10,1.073,1.073,0.0,0.0,0.107
3941017,England,16,1.587,1.587,2.0,2.0,0.099
3941017,Slovakia,13,1.548,1.548,1.0,1.0,0.119
3941018,Spain,35,2.765,2.765,4.0,4.0,0.079
3941018,Georgia,4,0.113,0.113,0.0,0.0,0.028
3941019,France,19,1.262,1.262,0.0,0.0,0.066
3941019,Belgium,5,0.363,0.363,0.0,0.0,0.073
3941020,Portugal,23,4.072,0.938,3.0,0.0,0.049
3941020,Slovenia,13,3.066,0.716,0.0,0.0,0.072
3941021,Netherlands,24,2.626,2.626,3.0,3.0,0.109
3941021,Romania,5,0.268,0.268,0.0,0.0,0.054
3941022,Austria,21,2.488,2.488,1.0,1.0,0.118
3941022,Turkey,6,0.883,0.883,2.0,2.0,0.147
3942226,Germany,23,1.629,1.629,1.0,1.0,0.071
3942226,Spain,19,1.534,1.534,2.0,2.0,0.081
3942227,Switzerland,16,4.335,1.201,4.0,1.0,0.1
3942227,England,18,4.455,0.537,6.0,1.0,0.041
3942228,Argentina,13,4.777,0.859,5.0,1.0,0.107
3942228,Ecuador,13,4.523,0.605,3.0,1.0,0.076
3942229,Canada,22,6.054,1.353,5.0,1.0,0.085
3942229,Venezuela,21,5.623,0.922,4.0,1.0,0.061
3942349,Portugal,19,4.543,1.409,3.0,0.0,0.094
3942349,France,25,4.985,1.067,5.0,0.0,0.053
3942382,Turkey,15,1.182,1.182,1.0,1.0,0.079
3942382,Netherlands,11,0.719,0.719,1.0,1.0,0.065
3942415,Brazil,11,3.81,0.676,2.0,0.0,0.097
3942415,Uruguay,17,4.547,0.63,4.0,0.0,0.052
3942416,Colombia,7,2.18,0.613,5.0,3.0,0.123
3942416,Panama,14,0.61,0.61,0.0,0.0,0.044
3942752,France,9,0.851,0.851,1.0,1.0,0.095
3942752,Spain,6,0.431,0.431,2.0,2.0,0.072
3942785,Argentina,11,1.756,1.756,2.0,2.0,0.16
3942785,Canada,9,0.677,0.677,0.0,0.0,0.075
3942819,England,9,1.253,0.47,2.0,1.0,0.059
3942819,Netherlands,7,0.412,0.412,1.0,1.0,0.059
3942852,Colombia,11,1.172,1.172,1.0,1.0,0.107
3942852,Uruguay,11,0.755,0.755,0.0,0.0,0.069
3943043,Spain,16,1.792,1.792,2.0,2.0,0.112
3943043,England,9,0.726,0.726,1.0,1.0,0.081
3943076,Canada,19,6.205,2.288,5.0,2.0,0.163
3943076,Uruguay,16,4.65,1.516,6.0,2.0,0.126
3943077,Argentina,11,1.083,1.083,1.0,1.0,0.098
3943077,Colombia,19,0.988,0.988,0.0,0.0,0.052
