match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3930160,Luka Sučić,Croatia,2,0.054,3.0,0.0,0.027,14.0,54.0,0.09,2.89
3939981,Tyler Adams,United States,1,0.047,1.0,1.0,0.047,2.0,47.0,0.09,5.14
3939972,Yangel Clemente Herrera Ravelo,Venezuela,5,0.455,6.0,1.0,0.091,24.0,455.0,0.09,36.79
3857284,Joshua Kimmich,Germany,14,1.365,19.0,0.0,0.097,75.0,1358.0,0.09,54.6
3857298,Alexander Djiku,Ghana,2,0.176,2.0,1.0,0.088,3.0,178.0,0.089,22.56
3857299,Chang-Hoon Kwon,South Korea,4,0.209,4.0,0.0,0.052,12.0,212.0,0.089,18.15
3942227,Granit Xhaka,Switzerland,10,1.162,11.0,1.0,0.116,75.0,1180.0,0.089,27.05
3939990,Giovanni Reyna,United States,3,0.264,3.0,0.0,0.088,7.0,267.0,0.089,60.17
3942382,Abdülkerim Bardakcı,Turkey,6,0.546,7.0,0.0,0.091,12.0,552.0,0.089,49.53
3869684,Josip Šutalo,Croatia,4,0.339,4.0,1.0,0.085,16.0,344.0,0.089,46.05
3857285,Cody Mathès Gakpo,Netherlands,7,0.634,7.0,1.0,0.091,13.0,644.0,0.089,62.09
3857262,António João Pereira Albuquerque Tavares Silva,Portugal,5,0.476,5.0,1.0,0.095,28.0,480.0,0.089,50.8
3943077,Alexis Mac Allister,Argentina,5,0.472,5.0,0.0,0.094,19.0,475.0,0.089,43.59
3869486,Selim Amallah,Morocco,1,0.061,1.0,0.0,0.061,1.0,62.0,0.089,6.28
3942852,Jhon Adolfo Arias Andrade,Colombia,3,0.134,3.0,0.0,0.045,5.0,135.0,0.089,11.43
3942382,Tijjani Reijnders,Netherlands,4,0.284,5.0,0.0,0.071,17.0,288.0,0.089,44.37
3942752,Nicholas Williams Arthuer,Spain,3,0.276,3.0,0.0,0.092,10.0,279.0,0.089,64.01
3942229,Cyle Larin,Canada,5,0.35,6.0,0.0,0.07,13.0,355.0,0.089,5.79
3942785,Liam Millar,Canada,1,0.036,1.0,0.0,0.036,2.0,37.0,0.088,5.32
3857299,Min Jae Kim,South Korea,6,0.528,11.0,1.0,0.088,24.0,540.0,0.088,45.85
3857275,Youssouf Fofana,France,2,0.129,2.0,0.0,0.065,4.0,132.0,0.088,28.56
3930166,Vitor Machado Ferreira,Portugal,12,1.043,14.0,0.0,0.087,61.0,1068.0,0.088,58.11
3869354,Aurélien Djani Tchouaméni,France,4,0.379,4.0,1.0,0.095,9.0,388.0,0.088,45.15
3939985,Stephen Antunes Eustáquio,Canada,5,0.461,5.0,0.0,0.092,17.0,470.0,0.088,65.9
3857268,Yannick Ferreira Carrasco,Belgium,1,0.047,1.0,0.0,0.047,1.0,48.0,0.088,7.01
3930172,Álvaro Borja Morata Martín,Spain,6,0.439,6.0,0.0,0.073,11.0,450.0,0.088,28.62
3857283,Michy Batshuayi Tunga,Belgium,2,0.145,2.0,0.0,0.072,5.0,148.0,0.088,22.56
3939989,Edgar Yoel Bárcenas Herrera,Panama,9,0.826,9.0,2.0,0.092,25.0,846.0,0.088,61.62
3942226,Florian Wirtz,Germany,14,1.077,14.0,1.0,0.077,32.0,1106.0,0.088,66.11
3930179,Ferrán Torres García,Spain,6,0.41,6.0,1.0,0.068,14.0,420.0,0.088,43.08
3857269,Remo Freuler,Switzerland,1,0.088,2.0,0.0,0.088,4.0,90.0,0.088,33.99
3942382,Steven Bergwijn,Netherlands,3,0.129,3.0,0.0,0.043,7.0,132.0,0.088,20.15
3857269,Ruben Vargas,Switzerland,3,0.167,4.0,0.0,0.056,7.0,171.0,0.088,64.5
3857269,Yann Sommer,Switzerland,1,0.088,2.0,0.0,0.088,6.0,90.0,0.088,33.99
3869254,Cristiano Ronaldo dos Santos Aveiro,Portugal,2,0.039,2.0,1.0,0.02,3.0,40.0,0.088,1.71
3938637,Sebastian Szymański,Poland,1,0.044,1.0,0.0,0.044,1.0,45.0,0.088,5.17
3939972,José Andrés Martínez Torres,Venezuela,5,0.449,7.0,1.0,0.09,16.0,460.0,0.088,36.31
3869684,Yassine Bounou,Morocco,2,0.175,2.0,0.0,0.088,2.0,180.0,0.088,18.05
3857297,Saleh Khalid Al Shehri,Saudi Arabia,4,0.332,4.0,0.0,0.083,9.0,340.0,0.088,21.66
3938644,Cristiano Ronaldo dos Santos Aveiro,Portugal,7,0.44,7.0,0.0,0.063,12.0,455.0,0.087,19.04
3941019,Kevin De Bruyne,Belgium,4,0.357,4.0,0.0,0.089,15.0,368.0,0.087,98.29
3942349,Theo Bernard François Hernández,France,12,1.465,14.0,1.0,0.122,33.0,1524.0,0.087,29.51
3939990,Facundo Pellistri Rebollo,Uruguay,4,0.349,5.0,0.0,0.087,9.0,360.0,0.087,29.8
3857288,Youssef Msakni,Tunisia,8,0.738,9.0,0.0,0.092,23.0,760.0,0.087,71.97
3857298,Raphaël Adelino José Guerreiro,Portugal,6,0.583,6.0,1.0,0.097,11.0,600.0,0.087,27.8
3942785,Jacob Shaffelburg,Canada,2,0.104,2.0,0.0,0.052,6.0,108.0,0.087,15.36
3857265,Jakub Piotr Kiwior,Poland,2,0.174,2.0,0.0,0.087,3.0,180.0,0.087,16.79
3939980,Di'Shon Bernard,Jamaica,2,0.097,2.0,0.0,0.049,3.0,100.0,0.087,11.99
3938638,Volodymyr Brazhko,Ukraine,3,0.09,3.0,0.0,0.03,12.0,93.0,0.087,16.56
3930161,Riccardo Calafiori,Italy,12,1.07,14.0,1.0,0.089,51.0,1104.0,0.087,78.13
3939982,Nahitan Michel Nández Acosta,Uruguay,9,0.81,10.0,1.0,0.09,35.0,837.0,0.087,34.99
3857255,Sergio Busquets i Burgos,Spain,7,0.63,7.0,1.0,0.09,43.0,651.0,0.087,76.29
3938639,Kaan Ayhan,Turkey,12,0.891,14.0,2.0,0.074,37.0,924.0,0.087,37.6
3930164,Orel Mangala,Belgium,3,0.16,3.0,0.0,0.053,14.0,165.0,0.087,10.09
3942229,Rafael Enrique Romo Pérez,Venezuela,1,0.124,1.0,0.0,0.124,1.0,129.0,0.087,2.21
3857269,Granit Xhaka,Switzerland,1,0.088,2.0,0.0,0.088,9.0,91.0,0.087,33.99
3930175,Jan Vertonghen,Belgium,6,0.516,6.0,0.0,0.086,17.0,534.0,0.087,31.6
3930167,Joško Gvardiol,Croatia,8,0.751,8.0,0.0,0.094,24.0,776.0,0.087,42.27
3930167,Luka Modrić,Croatia,15,1.399,16.0,1.0,0.093,58.0,1440.0,0.087,78.75
3942752,Marc Cucurella Saseta,Spain,4,0.358,4.0,2.0,0.09,11.0,372.0,0.087,83.02
3942227,Bukayo Saka,England,10,1.165,12.0,2.0,0.116,52.0,1210.0,0.087,26.69
3941020,Bruno Miguel Borges Fernandes,Portugal,11,1.304,13.0,1.0,0.119,23.0,1342.0,0.087,32.42
3938644,António João Pereira Albuquerque Tavares Silva,Portugal,7,0.437,8.0,0.0,0.062,28.0,455.0,0.086,18.91
3938641,Philipp Lienhart,Austria,3,0.265,3.0,0.0,0.088,8.0,276.0,0.086,14.55
3938638,Roman Yaremchuk,Ukraine,3,0.086,3.0,0.0,0.029,5.0,90.0,0.086,15.82
3857299,Young-Gwon Kim,South Korea,9,0.856,13.0,2.0,0.095,26.0,900.0,0.086,74.33
3941020,Jon Gorenc Stankovič,Slovenia,1,0.039,1.0,0.0,0.039,2.0,41.0,0.086,1.29
3857280,Jean-Eric Maxim Choupo-Moting,Cameroon,2,0.189,2.0,0.0,0.094,3.0,198.0,0.086,49.3
3857283,Munir Mohand Mohamedi,Morocco,3,0.258,3.0,1.0,0.086,6.0,270.0,0.086,26.03
3869685,Youssouf Fofana,France,1,0.023,1.0,0.0,0.023,2.0,24.0,0.086,0.43
3857296,Thibaut Courtois,Belgium,5,0.388,6.0,0.0,0.078,14.0,405.0,0.086,17.54
