match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3939969,Canada,21,13.46,4.62,2.98
3939969,Argentina,25,11.97,4.24,2.81
3939970,Peru,26,12.07,3.67,3.74
3939970,Chile,29,15.74,4.28,3.59
3939971,Jamaica,29,14.26,4.26,3.55
3939971,Mexico,41,14.57,5.03,2.97
3939972,Ecuador,28,13.39,4.53,4.08
3939972,Venezuela,28,14.56,4.9,3.05
3939973,Uruguay,24,19.92,4.83,4.78
3939973,Panama,30,15.31,4.04,3.75
3939974,United States,27,18.63,4.79,3.99
3939974,Bolivia,29,11.86,4.83,2.78
3939975,Paraguay,27,19.05,4.69,4.88
3939975,Colombia,24,11.75,4.68,2.91
3939976,Costa Rica,24,15.41,4.45,3.78
3939976,Brazil,24,11.95,5.12,2.6
3939977,Argentina,25,14.44,4.69,4.02
3939977,Chile,34,14.62,4.58,3.49
3939978,Canada,31,17.56,4.48,3.82
3939978,Peru,30,14.38,4.53,3.56
3939979,Venezuela,24,14.99,4.19,3.66
3939979,Mexico,35,13.36,4.38,3.31
3939980,Ecuador,24,19.32,4.92,4.16
3939980,Jamaica,23,15.07,5.02,3.46
3939981,United States,13,18.42,4.33,4.09
3939981,Panama,24,15.96,5.01,3.41
3939982,Uruguay,25,14.45,4.49,3.6
3939982,Bolivia,28,9.18,4.7,2.24
3939983,Brazil,28,18.68,4.78,4.35
3939983,Paraguay,32,14.98,4.35,3.8
3939984,Colombia,32,15.3,4.68,3.48
3939984,Costa Rica,19,12.43,4.82,2.69
3939985,Canada,24,17.85,4.68,3.6
3939985,Chile,19,15.44,4.58,3.54
3939986,Argentina,17,11.15,4.19,2.94
3939986,Peru,21,9.22,4.2,2.66
3939987,Venezuela,29,16.12,4.82,3.59
3939987,Jamaica,32,15.29,4.41,3.44
3939988,Mexico,30,15.29,4.31,4.44
3939988,Ecuador,25,17.86,3.97,4.16
3939989,Panama,21,21.03,4.21,4.97
3939989,Bolivia,23,16.15,5.02,3.26
3939990,Uruguay,31,16.75,4.37,4.9
3939990,United States,15,19.23,4.46,4.59
3939991,Brazil,21,10.59,4.81,2.35
3939991,Colombia,29,10.56,5.15,2.26
3939992,Paraguay,35,15.63,4.53,3.92
3939992,Costa Rica,31,15.23,3.96,3.8
3940878,Switzerland,21,15.13,5.01,3.01
3940878,Italy,23,10.07,5.22,2.2
3940983,Denmark,20,16.98,5.02,3.62
3940983,Germany,22,14.95,4.47,3.47
3941017,Slovakia,32,14.38,4.77,3.0
3941017,England,37,12.04,4.82,2.9
3941018,Georgia,20,14.57,4.6,3.26
3941018,Spain,27,13.52,4.68,3.04
3941019,Belgium,16,13.14,4.88,3.61
3941019,France,23,14.71,4.85,3.15
3941020,Slovenia,35,17.45,4.3,3.91
3941020,Portugal,33,15.67,4.91,3.39
3941021,Netherlands,24,12.39,4.4,2.97
3941021,Romania,19,14.55,5.0,2.91
3941022,Austria,37,14.81,4.98,3.06
3941022,Turkey,25,12.13,4.29,2.97
3942226,Germany,37,16.88,4.95,3.52
3942226,Spain,32,11.62,4.44,3.38
3942227,England,20,13.11,4.11,3.5
