match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3939987,Venezuela,58,5.9079999999999995,174.0,0.102,3.0
3939988,Ecuador,14,0.301,37.0,0.022,2.64
3939988,Mexico,60,2.958,147.0,0.049,2.45
3939989,Bolivia,28,4.184,98.0,0.149,3.5
3939989,Panama,43,3.737,121.0,0.087,2.81
3939990,United States,17,1.21,50.0,0.071,2.94
3939990,Uruguay,31,2.613,93.0,0.084,3.0
3939991,Brazil,23,1.113,67.0,0.048,2.91
3939991,Colombia,29,4.259,115.0,0.147,3.97
3939992,Costa Rica,6,0.8160000000000001,11.0,0.136,1.83
3939992,Paraguay,47,2.933,108.0,0.062,2.3
3940878,Italy,53,4.293,186.0,0.081,3.51
3940878,Switzerland,56,3.8649999999999998,241.0,0.069,4.3
3940983,Denmark,45,4.1000000000000005,155.0,0.091,3.44
3940983,Germany,28,4.351,83.0,0.155,2.96
3941017,England,40,3.661,150.0,0.092,3.75
3941017,Slovakia,46,8.427999999999999,149.0,0.183,3.24
3941018,Georgia,6,0.271,11.0,0.045,1.83
3941018,Spain,139,11.46,694.0,0.082,4.99
3941019,Belgium,20,1.322,56.0,0.066,2.8
3941019,France,90,5.944,360.0,0.066,4.0
3941020,Portugal,44,2.728,130.0,0.062,2.95
3941020,Slovenia,13,1.073,18.0,0.083,1.38
3941021,Netherlands,57,9.096,264.0,0.16,4.63
3941021,Romania,17,0.894,33.0,0.053,1.94
3941022,Austria,59,7.102,187.0,0.12,3.17
3941022,Turkey,9,0.923,22.0,0.103,2.44
3942226,Germany,93,7.047,268.0,0.076,2.88
3942226,Spain,78,5.135,254.0,0.066,3.26
3942227,England,69,3.197,393.0,0.046,5.7
3942227,Switzerland,61,8.345,323.0,0.137,5.3
3942228,Argentina,23,1.961,75.0,0.085,3.26
3942228,Ecuador,22,2.549,75.0,0.116,3.41
3942229,Canada,56,4.316,129.0,0.077,2.3
3942229,Venezuela,33,2.652,80.0,0.08,2.42
3942349,France,67,4.097,204.0,0.061,3.04
3942349,Portugal,50,5.811,198.0,0.116,3.96
3942382,Netherlands,44,4.214,185.0,0.096,4.2
3942382,Turkey,33,2.484,78.0,0.075,2.36
3942415,Brazil,15,1.29,58.0,0.086,3.87
3942415,Uruguay,16,0.74,25.0,0.046,1.56
3942416,Colombia,8,0.20400000000000001,15.0,0.026,1.88
3942416,Panama,27,1.615,117.0,0.06,4.33
3942752,France,25,2.348,44.0,0.094,1.76
3942752,Spain,30,2.422,95.0,0.081,3.17
3942785,Argentina,34,7.367,86.0,0.217,2.53
3942785,Canada,13,1.145,26.0,0.088,2.0
3942819,England,52,2.759,193.0,0.053,3.71
3942819,Netherlands,17,1.534,177.0,0.09,10.41
3942852,Colombia,14,1.802,25.0,0.129,1.79
3942852,Uruguay,42,2.434,123.0,0.058,2.93
3943043,England,17,1.014,47.0,0.06,2.76
3943043,Spain,61,7.495,189.0,0.123,3.1
3943076,Canada,18,3.9370000000000003,52.0,0.219,2.89
3943076,Uruguay,12,2.573,18.0,0.214,1.5
3943077,Argentina,41,3.683,92.0,0.09,2.24
3943077,Colombia,61,2.711,160.0,0.044,2.62
