match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3930158,Germany,47.0,29.0,47.0,123.0,23.58,38.21
3930158,Scotland,1.0,2.0,1.0,4.0,50.0,25.0
3930159,Hungary,15.0,6.0,15.0,36.0,16.67,41.67
3930159,Switzerland,27.0,24.0,27.0,78.0,30.77,34.62
3930160,Croatia,17.0,17.0,17.0,51.0,33.33,33.33
3930160,Spain,22.0,17.0,22.0,61.0,27.87,36.07
3930161,Albania,13.0,9.0,13.0,35.0,25.71,37.14
3930161,Italy,44.0,25.0,44.0,113.0,22.12,38.94
3930162,Denmark,27.0,19.0,27.0,73.0,26.03,36.99
3930162,Slovenia,12.0,12.0,12.0,36.0,33.33,33.33
3930163,England,29.0,11.0,29.0,69.0,15.94,42.03
3930163,Serbia,14.0,17.0,14.0,45.0,37.78,31.11
3930164,Belgium,28.0,24.0,28.0,80.0,30.0,35.0
3930164,Slovakia,15.0,14.0,15.0,44.0,31.82,34.09
3930165,Austria,31.0,23.0,31.0,85.0,27.06,36.47
3930165,France,32.0,30.0,32.0,94.0,31.91,34.04
3930166,Czech Republic,6.0,10.0,6.0,22.0,45.45,27.27
3930166,Portugal,49.0,59.0,49.0,157.0,37.58,31.21
3930167,Albania,21.0,14.0,21.0,56.0,25.0,37.5
3930167,Croatia,44.0,49.0,44.0,137.0,35.77,32.12
3930168,Germany,72.0,50.0,72.0,194.0,25.77,37.11
3930168,Hungary,12.0,10.0,12.0,34.0,29.41,35.29
3930169,Scotland,12.0,9.0,12.0,33.0,27.27,36.36
3930169,Switzerland,17.0,15.0,17.0,49.0,30.61,34.69
3930170,Serbia,37.0,20.0,37.0,94.0,21.28,39.36
3930170,Slovenia,17.0,21.0,17.0,55.0,38.18,30.91
3930171,Denmark,31.0,16.0,31.0,78.0,20.51,39.74
3930171,England,20.0,16.0,20.0,56.0,28.57,35.71
3930172,Italy,23.0,12.0,23.0,58.0,20.69,39.66
