player,team,matches,shots,xg,goals,goals_minus_xg
Kobbie Mainoo,England,3,5,0.25,0.0,-0.25
Jeremy Doku,Belgium,3,5,0.26,0.0,-0.26
Víctor Alejandro Dávila Zavala,Chile,2,5,0.27,0.0,-0.27
Abdelkarim Hassan Al Haj Fadlalla,Qatar,3,6,0.27,0.0,-0.27
Carlos Soler Barragán,Spain,2,5,1.27,1.0,-0.27
Luis Francisco Romo Barrón,Mexico,3,6,0.27,0.0,-0.27
Robert Andrich,Germany,4,7,0.28,0.0,-0.28
Davinson Sánchez Mina,Colombia,3,7,1.29,1.0,-0.29
Angelo Smit Preciado Quiñónez,Ecuador,5,9,0.29,0.0,-0.29
Joachim Andersen,Denmark,6,7,0.29,0.0,-0.29
Mykhailo Mudryk,Ukraine,2,6,0.3,0.0,-0.3
Aymeric Laporte,Spain,5,6,0.31,0.0,-0.31
Miguel Ángel Terceros,Bolivia,3,7,0.32,0.0,-0.32
Mohammed Kanoo,Saudi Arabia,2,6,0.32,0.0,-0.32
Sofiane Boufal,Morocco,6,7,0.32,0.0,-0.32
Stefan Posch,Austria,3,7,0.34,0.0,-0.34
Andreas Skov Olsen,Denmark,2,5,0.35,0.0,-0.35
Jonas Older Wind,Denmark,3,5,0.38,0.0,-0.38
Harry Kane,England,11,30,5.38,5.0,-0.38
Edgar Yoel Bárcenas Herrera,Panama,3,6,0.38,0.0,-0.38
Declan Rice,England,5,9,0.39,0.0,-0.39
Julián Andrés Quiñones Quiñones,Mexico,3,8,0.39,0.0,-0.39
Joshua Sargent,United States,3,5,0.4,0.0,-0.4
Juraj Kucka,Slovakia,3,8,0.41,0.0,-0.41
Lionel Andrés Messi Cuccittini,Argentina,12,48,10.41,10.0,-0.41
Leandro Daniel Paredes,Argentina,6,7,2.42,2.0,-0.42
Daichi Kamada,Japan,4,6,0.42,0.0,-0.42
Lukáš Haraslín,Slovakia,4,8,0.43,0.0,-0.43
Georgiy Sudakov,Ukraine,3,9,0.43,0.0,-0.43
Alex Adrián Arce Barrios,Paraguay,2,5,0.44,0.0,-0.44
Enzo Fernandez,Argentina,10,15,1.44,1.0,-0.44
Ondřej Lingr,Czech Republic,2,5,0.44,0.0,-0.44
Heung-Min Son,South Korea,4,9,0.45,0.0,-0.45
Granit Xhaka,Switzerland,7,10,0.45,0.0,-0.45
Amadou Onana,Belgium,3,5,0.46,0.0,-0.46
Leroy Sané,Germany,4,10,0.47,0.0,-0.47
Luka Modrić,Croatia,8,12,2.49,2.0,-0.49
Harry Maguire,England,4,6,0.49,0.0,-0.49
Marcelo Brozović,Croatia,6,8,1.5,1.0,-0.5
Shamar Nicholson,Jamaica,2,6,0.5,0.0,-0.5
Gianluca Lapadula Vargas,Peru,3,8,0.5,0.0,-0.5
Lorenzo Pellegrini,Italy,4,7,0.5,0.0,-0.5
Gianluca Scamacca,Italy,3,6,0.53,0.0,-0.53
Christoph Baumgartner,Austria,3,8,1.55,1.0,-0.55
Dennis Man,Romania,3,6,0.55,0.0,-0.55
Artem Dovbyk,Ukraine,3,6,0.55,0.0,-0.55
Kenan Yildiz,Turkey,4,11,0.59,0.0,-0.59
Lamine Yamal Nasraoui Ebana,Spain,6,18,1.59,1.0,-0.59
Aurélien Djani Tchouaméni,France,11,19,1.59,1.0,-0.59
Weston McKennie,United States,4,7,0.61,0.0,-0.61
Ousmane Dembélé,France,9,17,1.61,1.0,-0.61
Ante Budimir,Croatia,4,5,0.62,0.0,-0.62
Felix Eduardo Torres Caicedo,Ecuador,4,6,0.62,0.0,-0.62
Kristjan Asllani,Albania,3,8,0.63,0.0,-0.63
David Strelec,Slovakia,3,7,0.63,0.0,-0.63
João Félix Sequeira,Portugal,6,16,1.63,1.0,-0.63
Tijjani Reijnders,Netherlands,4,10,0.63,0.0,-0.63
Youssef Msakni,Tunisia,2,9,0.64,0.0,-0.64
Kieffer Roberto Francisco Moore,Wales,3,6,0.64,0.0,-0.64
Joshua Kimmich,Germany,8,14,0.64,0.0,-0.64
Yannick Ferreira Carrasco,Belgium,4,10,0.66,0.0,-0.66
Aleksandar Mitrović,Serbia,5,20,2.66,2.0,-0.66
Ray Kendry Páez Andrade,Ecuador,4,11,1.66,1.0,-0.66
John Stones,England,4,5,0.66,0.0,-0.66
Nicolás Iván González,Argentina,2,5,0.66,0.0,-0.66
Manuel Obafemi Akanji,Switzerland,5,5,1.67,1.0,-0.67
Mateo Kovačić,Croatia,5,9,0.67,0.0,-0.67
Rodrigo Javier De Paul,Argentina,6,11,0.67,0.0,-0.67
Vitor Machado Ferreira,Portugal,4,10,0.69,0.0,-0.69
Ernesto Alexis Vega Rojas,Mexico,3,9,0.69,0.0,-0.69
Raphael Dias Belloli,Brazil,7,16,1.76,1.0,-0.76
Marko Livaja,Croatia,4,7,1.77,1.0,-0.77
Andreas Evald Cornelius,Denmark,3,5,0.8,0.0,-0.8
Orkun Kökçü,Turkey,2,6,0.8,0.0,-0.8
Giorgi Kochorashvili,Georgia,2,5,0.82,0.0,-0.82
Antonio Rüdiger,Germany,6,10,0.82,0.0,-0.82
Roland Sallai,Hungary,3,8,0.83,0.0,-0.83
Benjamin Šeško,Slovenia,4,8,0.84,0.0,-0.84
Pedro González López,Spain,3,6,0.85,0.0,-0.85
Ismaïla Sarr,Senegal,4,10,1.85,1.0,-0.85
Cyle Larin,Canada,5,10,0.88,0.0,-0.88
Alphonso Davies,Canada,8,12,2.88,2.0,-0.88
Lucas Tolentino Coelho de Lima,Brazil,5,15,2.92,2.0,-0.92
Kai Havertz,Germany,6,24,4.93,4.0,-0.93
Sardar Azmoun,Iran,2,5,0.96,0.0,-0.96
Liam Millar,Canada,4,6,0.96,0.0,-0.96
Steven Berghuis,Netherlands,3,6,0.98,0.0,-0.98
Bruno Guimarães Rodriguez Moura,Brazil,5,11,0.99,0.0,-0.99
Tajon Buchanan,Canada,5,7,1.01,0.0,-1.01
