match_id,team,zone,defensive_actions
7525,Russia,Middle Third,12
7525,Saudi Arabia,Attacking Third,2
7525,Saudi Arabia,Defensive Third,30
7525,Saudi Arabia,Middle Third,13
7529,Croatia,Attacking Third,3
7529,Croatia,Defensive Third,36
7529,Croatia,Middle Third,11
7529,Nigeria,Attacking Third,4
7529,Nigeria,Defensive Third,26
7529,Nigeria,Middle Third,7
7530,Australia,Defensive Third,41
7530,Australia,Middle Third,9
7530,France,Attacking Third,4
7530,France,Defensive Third,19
7530,France,Middle Third,6
7531,Argentina,Attacking Third,5
7531,Argentina,Defensive Third,21
7531,Iceland,Attacking Third,5
7531,Iceland,Defensive Third,64
7531,Iceland,Middle Third,5
7532,Denmark,Attacking Third,7
7532,Denmark,Defensive Third,25
7532,Denmark,Middle Third,14
7532,Peru,Attacking Third,1
7532,Peru,Defensive Third,37
7532,Peru,Middle Third,9
7533,Brazil,Attacking Third,4
7533,Brazil,Defensive Third,34
7533,Brazil,Middle Third,12
7533,Switzerland,Attacking Third,2
7533,Switzerland,Defensive Third,46
7533,Switzerland,Middle Third,10
7534,Germany,Attacking Third,7
7534,Germany,Defensive Third,17
7534,Germany,Middle Third,2
7534,Mexico,Attacking Third,2
7534,Mexico,Defensive Third,67
7534,Mexico,Middle Third,3
7535,Costa Rica,Attacking Third,3
7535,Costa Rica,Defensive Third,22
7535,Costa Rica,Middle Third,13
7535,Serbia,Attacking Third,2
7535,Serbia,Defensive Third,37
7535,Serbia,Middle Third,9
7536,Belgium,Attacking Third,6
7536,Belgium,Defensive Third,17
7536,Belgium,Middle Third,6
7536,Panama,Attacking Third,3
7536,Panama,Defensive Third,33
7536,Panama,Middle Third,11
7537,England,Attacking Third,5
7537,England,Defensive Third,11
7537,England,Middle Third,5
7537,Tunisia,Attacking Third,5
7537,Tunisia,Defensive Third,31
7537,Tunisia,Middle Third,13
7538,South Korea,Attacking Third,3
7538,South Korea,Defensive Third,43
7538,South Korea,Middle Third,2
7538,Sweden,Attacking Third,2
7538,Sweden,Defensive Third,28
7538,Sweden,Middle Third,8
7539,Poland,Attacking Third,4
7539,Poland,Defensive Third,22
7539,Poland,Middle Third,5
7539,Senegal,Attacking Third,4
7539,Senegal,Defensive Third,34
7539,Senegal,Middle Third,12
7540,Egypt,Attacking Third,6
7540,Egypt,Defensive Third,41
7540,Egypt,Middle Third,10
7540,Russia,Attacking Third,3
7540,Russia,Defensive Third,43
7540,Russia,Middle Third,7
7541,Colombia,Attacking Third,1
7541,Colombia,Defensive Third,22
7541,Colombia,Middle Third,8
7541,Japan,Attacking Third,6
7541,Japan,Defensive Third,32
7541,Japan,Middle Third,12
7542,Morocco,Attacking Third,6
7542,Morocco,Defensive Third,24
7542,Morocco,Middle Third,14
7542,Portugal,Attacking Third,7
7542,Portugal,Defensive Third,49
7542,Portugal,Middle Third,11
7543,Iran,Attacking Third,2
7543,Iran,Defensive Third,50
7543,Iran,Middle Third,7
7543,Spain,Attacking Third,4
7543,Spain,Defensive Third,11
7543,Spain,Middle Third,5
7544,Saudi Arabia,Attacking Third,3
7544,Saudi Arabia,Defensive Third,21
7544,Saudi Arabia,Middle Third,18
7544,Uruguay,Attacking Third,4
7544,Uruguay,Defensive Third,25
7544,Uruguay,Middle Third,10
7545,Argentina,Attacking Third,7
7545,Argentina,Defensive Third,20
7545,Argentina,Middle Third,10
7545,Croatia,Attacking Third,1
7545,Croatia,Defensive Third,31
7545,Croatia,Middle Third,11
7546,France,Attacking Third,4
7546,France,Defensive Third,34
7546,France,Middle Third,14
7546,Peru,Defensive Third,28
7546,Peru,Middle Third,5
7547,Australia,Attacking Third,4
7547,Australia,Defensive Third,24
7547,Australia,Middle Third,7
7547,Denmark,Attacking Third,8
7547,Denmark,Defensive Third,31
7547,Denmark,Middle Third,9
7548,Brazil,Attacking Third,6
7548,Brazil,Defensive Third,16
7548,Brazil,Middle Third,10
7548,Costa Rica,Attacking Third,5
