match_id,team,passes,total_passes,possession_pct
9673,Sevilla,569,1184.0,48.06
9682,Barcelona,653,972.0,67.18
9682,Leganés,319,972.0,32.82
9695,Barcelona,798,1154.0,69.15
9695,Valencia,356,1154.0,30.85
9700,Barcelona,775,1200.0,64.58
9700,Celta Vigo,425,1200.0,35.42
9717,Barcelona,809,1191.0,67.93
9717,Villarreal,382,1191.0,32.07
9726,Barcelona,687,1138.0,60.37
9726,RC Deportivo La Coruña,451,1138.0,39.63
9736,Barcelona,597,1092.0,54.67
9736,Real Madrid,495,1092.0,45.33
9742,Barcelona,723,1026.0,70.47
9742,Levante UD,303,1026.0,29.53
9754,Real Sociedad,501,1001.0,50.05
9754,Barcelona,500,1001.0,49.95
9765,Barcelona,571,1088.0,52.48
9765,Real Betis,517,1088.0,47.52
9774,Barcelona,767,1010.0,75.94
9774,Deportivo Alavés,243,1010.0,24.06
9783,Barcelona,653,907.0,72.0
9783,Espanyol,254,907.0,28.0
9794,Barcelona,827,1057.0,78.24
9794,Getafe,230,1057.0,21.76
9799,Barcelona,581,1090.0,53.3
9799,Eibar,509,1090.0,46.7
9811,Barcelona,634,1014.0,62.52
9811,Girona,380,1014.0,37.48
9827,Barcelona,590,926.0,63.71
9827,Las Palmas,336,926.0,36.29
9837,Barcelona,640,1114.0,57.45
9837,Atlético Madrid,474,1114.0,42.55
9855,Barcelona,629,1075.0,58.51
9855,Athletic Club,446,1075.0,41.49
9860,Barcelona,648,1092.0,59.34
9860,Sevilla,444,1092.0,40.66
9870,Barcelona,743,1085.0,68.48
9870,Leganés,342,1085.0,31.52
9880,Barcelona,722,1162.0,62.13
9880,Valencia,440,1162.0,37.87
9889,Barcelona,537,1031.0,52.09
9889,Celta Vigo,494,1031.0,47.91
9912,Barcelona,736,1187.0,62.01
9912,RC Deportivo La Coruña,451,1187.0,37.99
9924,Barcelona,581,1161.0,50.04
9924,Real Madrid,580,1161.0,49.96
9928,Barcelona,666,1180.0,56.44
9928,Villarreal,514,1180.0,43.56
9948,Barcelona,642,1044.0,61.49
9948,Real Sociedad,402,1044.0,38.51
15946,Barcelona,917,1163.0,78.85
15946,Deportivo Alavés,246,1163.0,21.15
15956,Barcelona,628,996.0,63.05
15956,Real Valladolid,368,996.0,36.95
15973,Barcelona,701,1037.0,67.6
15973,Huesca,336,1037.0,32.4
15978,Barcelona,783,1148.0,68.21
15978,Real Sociedad,365,1148.0,31.79
15986,Barcelona,765,1141.0,67.05
15986,Girona,376,1141.0,32.95
15998,Barcelona,855,1122.0,76.2
15998,Leganés,267,1122.0,23.8
16010,Barcelona,692,987.0,70.11
16010,Athletic Club,295,987.0,29.89
16023,Barcelona,1035,1381.0,74.95
16023,Valencia,346,1381.0,25.05
16029,Barcelona,520,976.0,53.28
16029,Sevilla,456,976.0,46.72
16056,Barcelona,537,985.0,54.52
16056,Real Betis,448,985.0,45.48
16073,Barcelona,758,1112.0,68.17
16073,Atlético Madrid,354,1112.0,31.83
16079,Barcelona,721,1155.0,62.42
16079,Villarreal,434,1155.0,37.58
16086,Barcelona,617,1120.0,55.09
16086,Espanyol,503,1120.0,44.91
16095,Barcelona,556,982.0,56.62
16095,Levante UD,426,982.0,43.38
16109,Barcelona,584,1120.0,52.14
16109,Celta Vigo,536,1120.0,47.86
16120,Barcelona,765,1009.0,75.82
16120,Getafe,244,1009.0,24.18
16131,Barcelona,654,1122.0,58.29
16131,Eibar,468,1122.0,41.71
16136,Barcelona,831,1146.0,72.51
16136,Leganés,315,1146.0,27.49
16149,Barcelona,675,1049.0,64.35
16149,Girona,374,1049.0,35.65
16157,Barcelona,807,1195.0,67.53
16157,Valencia,388,1195.0,32.47
16173,Barcelona,727,1104.0,65.85
16173,Athletic Club,377,1104.0,34.15
16182,Barcelona,742,1226.0,60.52
16182,Real Valladolid,484,1226.0,39.48
16190,Barcelona,602,1003.0,60.02
16190,Sevilla,401,1003.0,39.98
16196,Barcelona,543,1056.0,51.42
16196,Real Madrid,513,1056.0,48.58
16205,Barcelona,732,1072.0,68.28
16205,Rayo Vallecano,340,1072.0,31.72
16215,Real Betis,620,1107.0,56.01
16215,Barcelona,487,1107.0,43.99
16231,Barcelona,725,1061.0,68.33
16231,Espanyol,336,1061.0,31.67
16240,Barcelona,713,1061.0,67.2
16240,Villarreal,348,1061.0,32.8
16248,Barcelona,760,1196.0,63.55
16248,Atlético Madrid,436,1196.0,36.45
16265,Barcelona,567,1122.0,50.53
16265,Real Sociedad,555,1122.0,49.47
16275,Barcelona,811,1070.0,75.79
16275,Deportivo Alavés,259,1070.0,24.21
16289,Barcelona,650,1046.0,62.14
16289,Levante UD,396,1046.0,37.86
16306,Barcelona,929,1196.0,77.68
16306,Getafe,267,1196.0,22.32
16317,Barcelona,656,1089.0,60.24
16317,Eibar,433,1089.0,39.76
18235,Bayern Munich,635,933.0,68.06
18235,Inter Milan,298,933.0,31.94
18236,Barcelona,827,1222.0,67.68
