match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
9602,Barcelona,27,14.17,4.63,3.29
9609,Barcelona,24,16.38,4.82,3.68
9609,Eibar,30,15.21,5.0,3.43
9620,Girona,35,13.64,4.44,3.19
9620,Barcelona,26,10.51,5.21,2.36
9636,Las Palmas,24,13.83,4.42,3.32
9636,Barcelona,35,11.67,4.25,3.13
9642,Atlético Madrid,32,14.56,4.68,3.16
9642,Barcelona,42,14.14,4.93,3.07
9650,Málaga,30,14.29,5.07,3.5
9650,Barcelona,19,15.28,5.69,2.46
9661,Athletic Club,37,16.22,4.58,3.76
9661,Barcelona,29,16.23,4.65,3.67
9673,Barcelona,38,13.8,4.66,3.21
9673,Sevilla,25,13.94,4.97,3.0
9682,Barcelona,30,16.22,4.58,3.96
9682,Leganés,38,14.87,4.43,3.43
9695,Valencia,29,16.18,4.55,3.59
9695,Barcelona,36,11.84,4.72,2.86
9700,Celta Vigo,34,17.25,4.83,3.53
9700,Barcelona,45,13.02,4.78,3.02
9717,Villarreal,23,16.52,4.73,3.38
9717,Barcelona,27,13.64,4.82,3.16
9726,Barcelona,45,20.23,5.1,4.05
9726,RC Deportivo La Coruña,35,15.56,4.95,3.47
9736,Barcelona,30,17.16,5.2,3.48
9736,Real Madrid,20,18.99,5.58,3.39
9742,Levante UD,33,14.09,4.76,3.32
9742,Barcelona,24,12.97,4.54,3.12
9754,Real Sociedad,29,16.17,4.56,4.56
9754,Barcelona,17,16.31,5.12,3.4
9765,Real Betis,21,15.38,3.91,4.28
9765,Barcelona,26,16.35,4.68,3.81
9774,Deportivo Alavés,21,14.23,4.65,3.45
9774,Barcelona,33,14.2,5.0,2.92
9783,Espanyol,29,10.3,3.37,3.2
9783,Barcelona,34,12.76,5.31,2.53
9794,Getafe,31,14.57,4.04,4.11
9794,Barcelona,30,12.96,4.86,3.14
9799,Eibar,47,14.26,4.64,3.28
9799,Barcelona,35,14.85,5.28,3.2
9811,Barcelona,31,18.25,4.98,3.88
9811,Girona,31,13.29,4.44,3.27
9827,Barcelona,23,15.55,5.13,3.26
9827,Las Palmas,32,10.56,5.06,2.24
9837,Atlético Madrid,41,15.33,4.63,3.99
9837,Barcelona,32,14.01,4.76,3.42
9855,Athletic Club,32,15.45,4.87,3.28
9855,Barcelona,31,12.62,5.09,2.6
9860,Sevilla,33,17.26,4.72,3.5
9860,Barcelona,30,14.07,4.81,3.09
9870,Leganés,34,13.04,4.69,3.17
9870,Barcelona,28,13.26,4.85,2.94
9880,Barcelona,29,17.5,5.26,3.96
9880,Valencia,31,14.94,4.65,3.24
9889,Celta Vigo,33,16.26,4.82,4.26
9889,Barcelona,30,12.37,4.53,3.37
9912,Barcelona,29,19.42,5.19,3.57
9912,RC Deportivo La Coruña,38,14.65,4.47,3.34
9924,Real Madrid,28,17.2,4.91,3.54
9924,Barcelona,29,14.44,4.56,3.38
9928,Barcelona,27,14.13,4.66,4.12
9928,Villarreal,27,15.4,4.65,3.36
9948,Real Sociedad,32,17.27,4.93,3.5
9948,Barcelona,32,13.74,4.66,2.98
