team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
England,Tyrone Mings,195.0,8.0,0.0,0.0,3.69,0.0,0.0,3.69,Progressive Passer
Hyderabad,Souvik Chakrabarti,975.0,27.0,6.0,7.0,2.49,0.55,0.65,3.69,Supporting Progressor
Peru,Alexander Martín Marquinho Callens Asín,268.0,3.0,6.0,2.0,1.01,2.01,0.67,3.6899999999999995,Supporting Progressor
Arsenal WFC,Louise Quinn,1832.0,66.0,9.0,0.0,3.24,0.44,0.0,3.68,Progressive Passer
Genoa,Giovanni Marchese,662.0,16.0,5.0,6.0,2.18,0.68,0.82,3.68,Supporting Progressor
Athletic Club,Iñaki Muñoz Oroz,49.0,1.0,0.0,1.0,1.84,0.0,1.84,3.68,Limited Progression
Racing Santander,Francisco Jiménez Tejada,98.0,1.0,1.0,2.0,0.92,0.92,1.84,3.68,Limited Progression
Brighton & Hove Albion WFC,Jenna Legg,98.0,1.0,1.0,2.0,0.92,0.92,1.84,3.68,Limited Progression
Egypt,Mahmoud Hamada,49.0,1.0,0.0,1.0,1.84,0.0,1.84,3.68,Limited Progression
Czech Republic,Jan Kuchta,98.0,1.0,2.0,1.0,0.92,1.84,0.92,3.68,Supporting Progressor
Espanyol,Juan Rafael Fuentes Hernández,1028.0,14.0,13.0,15.0,1.23,1.14,1.31,3.68,Limited Progression
Sampdoria,Alejandro Miguel Rodriguez,49.0,0.0,1.0,1.0,0.0,1.84,1.84,3.68,Supporting Progressor
Liverpool WFC,Rebecca Jane,1271.0,33.0,15.0,4.0,2.34,1.06,0.28,3.6799999999999997,Supporting Progressor
Las Palmas,Hernán Daniel Santana Trujillo,1026.0,23.0,8.0,11.0,2.02,0.7,0.96,3.6799999999999997,Supporting Progressor
Nigeria,Leon Aderemi Balogun,269.0,9.0,2.0,0.0,3.01,0.67,0.0,3.6799999999999997,Progressive Passer
Slovenia,Erik Janža,269.0,3.0,2.0,6.0,1.0,0.67,2.01,3.6799999999999997,Limited Progression
Southampton,Paul Telfer,172.0,5.0,0.0,2.0,2.62,0.0,1.05,3.67,Supporting Progressor
Costa Rica,Anthony Daniel Contreras Enríquez,147.0,0.0,2.0,4.0,0.0,1.22,2.45,3.67,Limited Progression
Real Sociedad,Íñigo Martínez Berridi,3533.0,100.0,39.0,5.0,2.55,0.99,0.13,3.67,Supporting Progressor
Netherlands Women's,Stephanie van der Gragt,1323.0,42.0,9.0,3.0,2.86,0.61,0.2,3.67,Supporting Progressor
Birmingham City WFC,Chloe Mccarron,295.0,7.0,2.0,3.0,2.14,0.61,0.92,3.67,Supporting Progressor
Belgium Women's,Laura De Neve,245.0,8.0,2.0,0.0,2.94,0.73,0.0,3.67,Supporting Progressor
Iran,Mohammad Hossein Kanani Zadegan,49.0,2.0,0.0,0.0,3.67,0.0,0.0,3.67,Progressive Passer
Sweden,Isaac Kiese Thelin,49.0,2.0,0.0,0.0,3.67,0.0,0.0,3.67,Progressive Passer
