match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
68338,Scotland Women's,30.0,25.0,30.0,85.0,29.41,35.29
68339,Barcelona,26.0,11.0,26.0,63.0,17.46,41.27
68339,Getafe,29.0,18.0,29.0,76.0,23.68,38.16
68340,Barcelona,23.0,20.0,23.0,66.0,30.3,34.85
68340,Racing Santander,23.0,17.0,23.0,63.0,26.98,36.51
68341,Barcelona,37.0,32.0,37.0,106.0,30.19,34.91
68341,Recreativo Huelva,28.0,18.0,28.0,74.0,24.32,37.84
68342,Athletic Club,10.0,8.0,10.0,28.0,28.57,35.71
68342,Barcelona,26.0,32.0,26.0,84.0,38.1,30.95
68343,Chile Women's,72.0,39.0,72.0,183.0,21.31,39.34
68343,Thailand Women's,9.0,9.0,9.0,27.0,33.33,33.33
68344,Canada Women's,22.0,17.0,22.0,61.0,27.87,36.07
68344,Netherlands Women's,18.0,13.0,18.0,49.0,26.53,36.73
68345,Sweden Women's,20.0,26.0,20.0,66.0,39.39,30.3
68345,United States Women's,34.0,31.0,34.0,99.0,31.31,34.34
68346,Cameroon Women's,24.0,24.0,24.0,72.0,33.33,33.33
68346,New Zealand Women's,18.0,17.0,18.0,53.0,32.08,33.96
68347,Athletic Club,25.0,25.0,25.0,75.0,33.33,33.33
68347,Barcelona,44.0,36.0,44.0,124.0,29.03,35.48
68348,Barcelona,27.0,19.0,27.0,73.0,26.03,36.99
68348,Espanyol,10.0,8.0,10.0,28.0,28.57,35.71
68350,Atlético Madrid,19.0,18.0,19.0,56.0,32.14,33.93
68350,Barcelona,15.0,10.0,15.0,40.0,25.0,37.5
68351,Barcelona,24.0,11.0,24.0,59.0,18.64,40.68
68351,Real Zaragoza,16.0,17.0,16.0,49.0,34.69,32.65
68352,Barcelona,41.0,38.0,41.0,120.0,31.67,34.17
68352,Getafe,18.0,22.0,18.0,58.0,37.93,31.03
68353,Barcelona,30.0,13.0,30.0,73.0,17.81,41.1
68353,Espanyol,6.0,11.0,6.0,23.0,47.83,26.09
68354,Barcelona,38.0,46.0,38.0,122.0,37.7,31.15
68354,Racing Santander,7.0,14.0,7.0,28.0,50.0,25.0
68355,Germany Women's,24.0,26.0,24.0,74.0,35.14,32.43
68355,Nigeria Women's,9.0,12.0,9.0,30.0,40.0,30.0
68356,Barcelona,33.0,26.0,33.0,92.0,28.26,35.87
68356,Espanyol,25.0,26.0,25.0,76.0,34.21,32.89
68357,Australia Women's,46.0,34.0,46.0,126.0,26.98,36.51
68357,Norway Women's,33.0,51.0,33.0,117.0,43.59,28.21
68358,Barcelona,17.0,19.0,17.0,53.0,35.85,32.08
68358,Recreativo Huelva,34.0,26.0,34.0,94.0,27.66,36.17
68359,Barcelona,43.0,37.0,43.0,123.0,30.08,34.96
68359,Espanyol,16.0,15.0,16.0,47.0,31.91,34.04
68360,Barcelona,48.0,36.0,48.0,132.0,27.27,36.36
68360,Levante UD,22.0,15.0,22.0,59.0,25.42,37.29
68361,Barcelona,26.0,30.0,26.0,82.0,36.59,31.71
68361,Real Madrid,31.0,31.0,31.0,93.0,33.33,33.33
68362,Cameroon Women's,18.0,24.0,18.0,60.0,40.0,30.0
68362,England Women's,33.0,25.0,33.0,91.0,27.47,36.26
68363,Barcelona,23.0,22.0,23.0,68.0,32.35,33.82
68363,Real Valladolid,36.0,25.0,36.0,97.0,25.77,37.11
68364,Barcelona,47.0,43.0,47.0,137.0,31.39,34.31
68364,Villarreal,28.0,28.0,28.0,84.0,33.33,33.33
68365,Atlético Madrid,19.0,21.0,19.0,59.0,35.59,32.2
68365,Barcelona,51.0,32.0,51.0,134.0,23.88,38.06
68366,Barcelona,24.0,26.0,24.0,74.0,35.14,32.43
68366,Mallorca,34.0,20.0,34.0,88.0,22.73,38.64
69137,Brazil Women's,14.0,13.0,14.0,41.0,31.71,34.15
69137,France Women's,25.0,35.0,25.0,85.0,41.18,29.41
69138,Barcelona,42.0,37.0,42.0,121.0,30.58,34.71
69138,Sporting Gijón,14.0,12.0,14.0,40.0,30.0,35.0
69139,Barcelona,28.0,34.0,28.0,90.0,37.78,31.11
69139,Espanyol,16.0,19.0,16.0,51.0,37.25,31.37
69141,Barcelona,44.0,41.0,44.0,129.0,31.78,34.11
69141,Valencia,26.0,39.0,26.0,91.0,42.86,28.57
69142,Barcelona,51.0,48.0,51.0,150.0,32.0,34.0
69142,Málaga,18.0,21.0,18.0,57.0,36.84,31.58
69143,Barcelona,38.0,35.0,38.0,111.0,31.53,34.23
69143,Real Zaragoza,13.0,21.0,13.0,47.0,44.68,27.66
69144,Atlético Madrid,33.0,28.0,33.0,94.0,29.79,35.11
69144,Barcelona,30.0,34.0,30.0,94.0,36.17,31.91
69145,Barcelona,35.0,33.0,35.0,103.0,32.04,33.98
69145,Valencia,23.0,23.0,23.0,69.0,33.33,33.33
69146,Barcelona,31.0,34.0,31.0,96.0,35.42,32.29
69146,Sevilla,20.0,26.0,20.0,66.0,39.39,30.3
69147,Barcelona,47.0,54.0,47.0,148.0,36.49,31.76
69147,CD Numancia de Soria,16.0,14.0,16.0,46.0,30.43,34.78
69148,Barcelona,35.0,24.0,35.0,94.0,25.53,37.23
69148,Sevilla,18.0,11.0,18.0,47.0,23.4,38.3
69149,Barcelona,36.0,42.0,36.0,114.0,36.84,31.58
69149,Valencia,18.0,9.0,18.0,45.0,20.0,40.0
69151,Barcelona,30.0,35.0,30.0,95.0,36.84,31.58
69151,Levante UD,16.0,19.0,16.0,51.0,37.25,31.37
69153,Albacete,23.0,13.0,23.0,59.0,22.03,38.98
69153,Barcelona,18.0,18.0,18.0,54.0,33.33,33.33
69154,Barcelona,44.0,31.0,44.0,119.0,26.05,36.97
69154,Racing Santander,12.0,15.0,12.0,39.0,38.46,30.77
69155,Barcelona,44.0,25.0,44.0,113.0,22.12,38.94
69155,Villarreal,29.0,27.0,29.0,85.0,31.76,34.12
69156,Barcelona,31.0,31.0,31.0,93.0,33.33,33.33
69156,Levante UD,16.0,12.0,16.0,44.0,27.27,36.36
69157,Barcelona,19.0,21.0,19.0,59.0,35.59,32.2
69157,Getafe,32.0,27.0,32.0,91.0,29.67,35.16
69158,Almería,20.0,33.0,20.0,73.0,45.21,27.4
69158,Barcelona,39.0,36.0,39.0,114.0,31.58,34.21
69159,Barcelona,39.0,40.0,39.0,118.0,33.9,33.05
69159,Mallorca,14.0,12.0,14.0,40.0,30.0,35.0
69160,Barcelona,11.0,20.0,11.0,42.0,47.62,26.19
69160,Real Sociedad,24.0,15.0,24.0,63.0,23.81,38.1
69161,Spain Women's,18.0,13.0,18.0,49.0,26.53,36.73
69161,United States Women's,28.0,23.0,28.0,79.0,29.11,35.44
69162,Barcelona,34.0,35.0,34.0,103.0,33.98,33.01
69162,Real Betis,15.0,14.0,15.0,44.0,31.82,34.09
69163,Canada Women's,21.0,12.0,21.0,54.0,22.22,38.89
69163,Sweden Women's,29.0,24.0,29.0,82.0,29.27,35.37
69164,Barcelona,38.0,39.0,38.0,115.0,33.91,33.04
69164,Málaga,4.0,7.0,4.0,15.0,46.67,26.67
69165,Barcelona,49.0,47.0,49.0,145.0,32.41,33.79
69165,Espanyol,14.0,11.0,14.0,39.0,28.21,35.9
69166,Barcelona,44.0,42.0,44.0,130.0,32.31,33.85
69166,Real Betis,25.0,19.0,25.0,69.0,27.54,36.23
69169,Athletic Club,12.0,15.0,12.0,39.0,38.46,30.77
69169,Barcelona,36.0,31.0,36.0,103.0,30.1,34.95
69170,Barcelona,69.0,45.0,69.0,183.0,24.59,37.7
69170,RC Deportivo La Coruña,20.0,16.0,20.0,56.0,28.57,35.71
69171,Barcelona,43.0,37.0,43.0,123.0,30.08,34.96
69171,Sevilla,21.0,11.0,21.0,53.0,20.75,39.62
69172,Barcelona,25.0,25.0,25.0,75.0,33.33,33.33
69172,Real Betis,22.0,11.0,22.0,55.0,20.0,40.0
69173,Barcelona,26.0,31.0,26.0,83.0,37.35,31.33
69173,Racing Santander,19.0,26.0,19.0,64.0,40.62,29.69
69174,Barcelona,24.0,25.0,24.0,73.0,34.25,32.88
69174,RC Deportivo La Coruña,28.0,23.0,28.0,79.0,29.11,35.44
69175,Barcelona,20.0,14.0,20.0,54.0,25.93,37.04
69175,RC Deportivo La Coruña,24.0,20.0,24.0,68.0,29.41,35.29
69176,Atlético Madrid,25.0,17.0,25.0,67.0,25.37,37.31
69176,Barcelona,34.0,26.0,34.0,94.0,27.66,36.17
69177,Almería,17.0,21.0,17.0,55.0,38.18,30.91
69177,Barcelona,72.0,48.0,72.0,192.0,25.0,37.5
69178,Barcelona,26.0,29.0,26.0,81.0,35.8,32.1
69178,Getafe,17.0,19.0,17.0,53.0,35.85,32.08
69179,Barcelona,31.0,23.0,31.0,85.0,27.06,36.47
69179,Real Zaragoza,40.0,43.0,40.0,123.0,34.96,32.52
69180,Barcelona,47.0,29.0,47.0,123.0,23.58,38.21
69180,Racing Santander,19.0,18.0,19.0,56.0,32.14,33.93
69181,Athletic Club,34.0,26.0,34.0,94.0,27.66,36.17
69181,Barcelona,32.0,22.0,32.0,86.0,25.58,37.21
69182,Barcelona,32.0,20.0,32.0,84.0,23.81,38.1
69182,Real Zaragoza,33.0,25.0,33.0,91.0,27.47,36.26
69183,Barcelona,52.0,39.0,52.0,143.0,27.27,36.36
69183,RC Deportivo La Coruña,17.0,17.0,17.0,51.0,33.33,33.33
69184,Barcelona,50.0,46.0,50.0,146.0,31.51,34.25
69184,Recreativo Huelva,15.0,14.0,15.0,44.0,31.82,34.09
69185,Atlético Madrid,26.0,26.0,26.0,78.0,33.33,33.33
69185,Barcelona,35.0,38.0,35.0,108.0,35.19,32.41
69186,Barcelona,39.0,47.0,39.0,125.0,37.6,31.2
69186,Real Murcia CF,28.0,24.0,28.0,80.0,30.0,35.0
69187,Barcelona,39.0,36.0,39.0,114.0,31.58,34.21
69187,Osasuna,12.0,6.0,12.0,30.0,20.0,40.0
69188,Japan Women's,31.0,31.0,31.0,93.0,33.33,33.33
69188,Netherlands Women's,36.0,15.0,36.0,87.0,17.24,41.38
69189,Barcelona,58.0,59.0,58.0,175.0,33.71,33.14
69189,CD Numancia de Soria,15.0,12.0,15.0,42.0,28.57,35.71
69191,China PR Women's,59.0,25.0,59.0,143.0,17.48,41.26
69191,Italy Women's,17.0,11.0,17.0,45.0,24.44,37.78
69195,Barcelona,60.0,50.0,60.0,170.0,29.41,35.29
69195,Real Betis,9.0,6.0,9.0,24.0,25.0,37.5
69199,England Women's,42.0,35.0,42.0,119.0,29.41,35.29
69199,Norway Women's,39.0,22.0,39.0,100.0,22.0,39.0
69202,France Women's,25.0,26.0,25.0,76.0,34.21,32.89
69202,United States Women's,7.0,8.0,7.0,22.0,36.36,31.82
69205,Italy Women's,3.0,9.0,3.0,15.0,60.0,20.0
69205,Netherlands Women's,42.0,49.0,42.0,133.0,36.84,31.58
69207,Barcelona,37.0,34.0,37.0,108.0,31.48,34.26
69207,Real Betis,12.0,14.0,12.0,38.0,36.84,31.58
69208,Germany Women's,26.0,25.0,26.0,77.0,32.47,33.77
69208,Sweden Women's,14.0,20.0,14.0,48.0,41.67,29.17
69209,Barcelona,46.0,28.0,46.0,120.0,23.33,38.33
69209,Racing Santander,7.0,6.0,7.0,20.0,30.0,35.0
69210,Barcelona,57.0,41.0,57.0,155.0,26.45,36.77
69210,Real Valladolid,12.0,14.0,12.0,38.0,36.84,31.58
69211,Barcelona,54.0,50.0,54.0,158.0,31.65,34.18
69211,Espanyol,5.0,11.0,5.0,21.0,52.38,23.81
69212,Atlético Madrid,19.0,17.0,19.0,55.0,30.91,34.55
69212,Barcelona,49.0,34.0,49.0,132.0,25.76,37.12
69213,Barcelona,20.0,23.0,20.0,63.0,36.51,31.75
69213,Espanyol,21.0,16.0,21.0,58.0,27.59,36.21
69214,Barcelona,38.0,41.0,38.0,117.0,35.04,32.48
69214,Xerez,7.0,10.0,7.0,24.0,41.67,29.17
69215,Barcelona,52.0,33.0,52.0,137.0,24.09,37.96
