match_id,team,possession_pct,passes,total_passes,field_tilt_pct,tilt_differential,territorial_control,pass_efficiency_pct,verticality,final_third_passes,possession_quality_gap,gap_interpretation,possession_style
7551,Germany,75.42,718,952.0,42.98,17.17,Total Dominance,44.99,Ultra-Vertical,323,-10.54,Direct & Efficient,The Steamroller
7551,Sweden,24.58,234,952.0,25.81,-17.17,Pinned Back,24.36,Balanced,57,-27.04,Ultra-Efficient,Contested
7552,Belgium,50.42,475,942.0,23.57,-6.53,Contested,20.42,Patient,97,3.28,Balanced,Contested
7552,Tunisia,49.58,467,942.0,30.1,6.53,Contested,29.76,Vertical,139,-10.62,Direct & Efficient,Attacking
7553,Mexico,57.89,495,855.0,22.39,-8.58,Under Pressure,19.6,Patient,97,13.11,Patient Build-up,Contested
7553,South Korea,42.11,360,855.0,30.97,8.58,Strong Control,28.33,Vertical,102,-19.83,Ultra-Efficient,Efficiency Experts (Elite)
7554,England,59.92,607,1013.0,14.46,-11.31,Under Pressure,13.84,Horizontal,84,31.0,Sterile Possession,The U-Shape (Sterile)
7554,Panama,40.08,406,1013.0,25.77,11.31,Strong Control,24.88,Balanced,101,-11.46,Direct & Efficient,Contested
7555,Colombia,55.02,548,996.0,25.99,2.22,Contested,26.09,Balanced,143,3.04,Balanced,Contested
7555,Poland,44.98,448,996.0,23.77,-2.22,Contested,22.1,Balanced,99,-2.56,Balanced,Contested
7556,Japan,54.84,476,868.0,17.47,-15.03,Pinned Back,17.02,Horizontal,81,19.9,Sterile Possession,Defensive
7556,Senegal,45.16,392,868.0,32.5,15.03,Total Dominance,30.1,Vertical,118,-19.84,Ultra-Efficient,Attacking
7557,Portugal,72.5,630,869.0,28.62,1.52,Contested,28.73,Vertical,181,15.26,Sterile Possession,Contested
7557,Iran,27.5,239,869.0,27.1,-1.52,Contested,24.27,Balanced,58,-26.7,Ultra-Efficient,Contested
7558,Uruguay,58.06,526,906.0,21.34,-9.89,Under Pressure,20.53,Patient,108,15.38,Sterile Possession,Contested
7558,Russia,41.94,380,906.0,31.23,9.89,Strong Control,30.79,Vertical,117,-20.52,Ultra-Efficient,Efficiency Experts (Elite)
7559,Saudi Arabia,64.01,674,1053.0,36.92,15.74,Total Dominance,37.98,Ultra-Vertical,256,-9.83,Direct & Efficient,The Steamroller
7559,Egypt,35.99,379,1053.0,21.18,-15.74,Pinned Back,19.0,Patient,72,-6.37,Direct & Efficient,Contested
7560,Spain,75.0,753,1004.0,32.39,15.27,Total Dominance,32.01,Vertical,241,10.22,Patient Build-up,The Steamroller
7560,Morocco,25.0,251,1004.0,17.12,-15.27,Pinned Back,14.74,Horizontal,37,-9.24,Direct & Efficient,Counter-Punchers
7561,Croatia,61.78,535,866.0,25.64,-3.51,Contested,24.11,Balanced,129,10.5,Patient Build-up,Contested
7561,Iceland,38.22,331,866.0,29.15,3.51,Contested,28.4,Vertical,94,-20.08,Ultra-Efficient,Contested
7562,Australia,57.16,575,1006.0,27.43,10.66,Strong Control,26.61,Balanced,153,2.3,Balanced,Contested
7562,Peru,42.84,431,1006.0,16.77,-10.66,Under Pressure,16.47,Horizontal,71,9.3,Patient Build-up,Counter-Punchers
7563,France,67.15,699,1041.0,33.66,11.54,Strong Control,34.05,Vertical,238,-0.17,Balanced,The Steamroller
7563,Denmark,32.85,342,1041.0,22.12,-11.54,Under Pressure,21.35,Patient,73,-11.39,Direct & Efficient,Contested
7564,Argentina,64.89,595,917.0,24.66,2.73,Contested,24.03,Balanced,143,15.57,Sterile Possession,Contested
7564,Nigeria,35.11,322,917.0,21.93,-2.73,Contested,17.7,Horizontal,57,-8.75,Direct & Efficient,Contested
7565,Brazil,59.36,653,1100.0,22.65,-13.71,Under Pressure,21.59,Patient,141,14.06,Patient Build-up,Contested
7565,Serbia,40.64,447,1100.0,36.36,13.71,Strong Control,36.24,Ultra-Vertical,162,-32.08,Ultra-Efficient,Efficiency Experts (Elite)
7566,Mexico,66.67,508,762.0,30.76,8.29,Strong Control,27.95,Balanced,142,5.15,Patient Build-up,The Steamroller
7566,Sweden,33.33,254,762.0,22.47,-8.29,Under Pressure,19.69,Patient,50,-11.61,Direct & Efficient,Contested
7567,Germany,73.92,734,993.0,41.31,16.57,Total Dominance,41.83,Ultra-Vertical,307,-8.7,Direct & Efficient,The Steamroller
7567,South Korea,26.08,259,993.0,24.74,-16.57,Pinned Back,20.46,Patient,53,-23.4,Ultra-Efficient,Contested
7568,Switzerland,62.17,595,957.0,15.23,-11.29,Under Pressure,14.96,Horizontal,89,31.71,Sterile Possession,The U-Shape (Sterile)
7568,Costa Rica,37.83,362,957.0,26.52,11.29,Strong Control,22.93,Balanced,83,-15.21,Ultra-Efficient,Contested
7569,Tunisia,69.01,648,939.0,21.92,2.38,Contested,19.91,Patient,129,25.17,Sterile Possession,Contested
7569,Panama,30.99,291,939.0,19.54,-2.38,Contested,16.49,Horizontal,48,-8.09,Direct & Efficient,Counter-Punchers
7570,Belgium,52.54,569,1083.0,15.55,-4.04,Contested,14.59,Horizontal,83,21.44,Sterile Possession,Defensive
7570,England,47.46,514,1083.0,19.59,4.04,Contested,18.29,Patient,94,8.28,Patient Build-up,Defensive
7571,Colombia,58.69,466,794.0,13.92,-6.39,Contested,13.52,Horizontal,63,30.85,Sterile Possession,The U-Shape (Sterile)
7571,Senegal,41.31,328,794.0,20.31,6.39,Contested,18.29,Patient,60,0.69,Balanced,Contested
7572,Japan,54.05,587,1086.0,16.01,-4.01,Contested,13.8,Horizontal,81,22.03,Sterile Possession,Defensive
7572,Poland,45.95,499,1086.0,20.02,4.01,Contested,19.04,Patient,95,5.91,Patient Build-up,Contested
7576,Spain,66.78,780,1168.0,24.19,-0.07,Contested,24.1,Balanced,188,18.4,Sterile Possession,Contested
7576,Portugal,33.22,388,1168.0,24.26,0.07,Contested,22.42,Balanced,87,-15.3,Ultra-Efficient,Contested
7577,Morocco,64.82,492,759.0,21.08,-0.13,Contested,18.29,Patient,90,22.66,Sterile Possession,Contested
7577,Iran,35.18,267,759.0,21.21,0.13,Contested,17.98,Horizontal,48,-7.24,Direct & Efficient,Contested
7578,Uruguay,57.05,623,1092.0,27.01,-2.39,Contested,25.68,Balanced,160,3.03,Balanced,Contested
7578,Egypt,42.95,469,1092.0,29.4,2.39,Contested,28.14,Vertical,132,-15.85,Ultra-Efficient,Contested
7579,Portugal,67.08,593,884.0,47.67,22.03,Total Dominance,47.22,Ultra-Vertical,280,-28.26,Ultra-Efficient,The Steamroller
7579,Uruguay,32.92,291,884.0,25.64,-22.03,Pinned Back,22.34,Balanced,65,-18.36,Ultra-Efficient,Contested
7580,Argentina,60.45,535,885.0,28.3,11.47,Strong Control,27.1,Balanced,145,3.85,Balanced,Contested
7580,France,39.55,350,885.0,16.83,-11.47,Under Pressure,14.57,Horizontal,51,5.89,Patient Build-up,Counter-Punchers
7581,Croatia,53.37,665,1246.0,24.18,3.79,Contested,20.6,Patient,137,5.01,Patient Build-up,Contested
7581,Denmark,46.63,581,1246.0,20.39,-3.79,Contested,18.07,Patient,105,5.85,Patient Build-up,Contested
7582,Spain,78.02,1157,1483.0,29.1,-2.83,Contested,30.25,Vertical,350,19.82,Sterile Possession,Contested
7582,Russia,21.98,326,1483.0,31.93,2.83,Contested,27.3,Balanced,89,-41.88,Ultra-Efficient,Efficiency Experts (Elite)
7583,Mexico,51.13,429,839.0,28.57,0.68,Contested,26.11,Balanced,112,-6.01,Direct & Efficient,Contested
7583,Brazil,48.87,410,839.0,27.89,-0.68,Contested,24.39,Balanced,100,-6.91,Direct & Efficient,Contested
7584,Belgium,57.49,618,1075.0,30.2,9.76,Strong Control,27.83,Balanced,172,-2.91,Balanced,The Steamroller
