match_id,team,shots,xg,avg_xg_per_shot,goals
7583,Mexico,14,0.582799818366766,0.042,0.0
7584,Belgium,28,2.9178317338228226,0.104,3.0
7584,Japan,12,0.6937694437801838,0.058,2.0
7585,England,22,6.161789957433939,0.28,5.0
7585,Colombia,19,4.74865030311048,0.25,4.0
7586,Sweden,12,0.9105954794213176,0.076,1.0
7586,Switzerland,16,0.5329880504868925,0.033,0.0
8649,Uruguay,10,0.6931952852755785,0.069,0.0
8649,France,11,0.5387829504907131,0.049,2.0
8650,Brazil,25,2.60919567104429,0.104,1.0
8650,Belgium,8,0.40525613352656364,0.051,1.0
8651,Sweden,8,0.8341866424307227,0.104,0.0
8651,England,12,0.7582359928637743,0.063,2.0
8652,Croatia,23,5.565318384207785,0.242,6.0
8652,Russia,18,4.988439190201461,0.277,5.0
8655,France,19,1.681686770170927,0.089,1.0
8655,Belgium,9,0.5668683014810085,0.063,0.0
8656,Croatia,22,2.1413194215856493,0.097,2.0
8656,England,11,0.5466641029343009,0.05,1.0
8657,England,15,1.3353566229343414,0.089,0.0
8657,Belgium,11,1.320658452808857,0.12,2.0
8658,Croatia,15,1.480287715792656,0.099,2.0
8658,France,8,1.0979636255651712,0.137,3.0
9575,Barcelona,15,1.1637680185958743,0.078,1.0
9575,Real Betis,3,0.1911650225520134,0.064,0.0
9581,Barcelona,23,2.2130003832280636,0.096,2.0
9581,Deportivo Alavés,11,0.6554198954254389,0.06,0.0
9592,Barcelona,20,3.0948080886155367,0.155,5.0
9592,Espanyol,9,0.4680516282096505,0.052,0.0
9602,Getafe,13,0.6546389134600759,0.05,1.0
9602,Barcelona,7,0.5557288639247417,0.079,2.0
9609,Barcelona,11,2.0014582239091396,0.182,6.0
9609,Eibar,13,1.032137606292963,0.079,1.0
9620,Girona,14,1.086478213313967,0.078,0.0
9620,Barcelona,10,0.9824887234717607,0.098,1.0
9636,Barcelona,22,3.1009647604078054,0.141,3.0
9636,Las Palmas,11,0.5681828176602721,0.052,0.0
9642,Barcelona,15,1.3139940556138754,0.088,1.0
9642,Atlético Madrid,5,0.3977467529475689,0.08,1.0
9650,Barcelona,12,1.8173423111438751,0.151,2.0
9650,Málaga,13,0.7195069845765829,0.055,0.0
9661,Barcelona,17,2.6556588392704725,0.156,2.0
9661,Athletic Club,17,1.310543555766344,0.077,0.0
9673,Barcelona,18,1.8726843856275082,0.104,2.0
9673,Sevilla,8,0.48007024824619293,0.06,1.0
9682,Barcelona,11,1.7647279389202595,0.16,3.0
9682,Leganés,18,1.2832229444757104,0.071,0.0
9695,Valencia,9,1.1002983525395393,0.122,1.0
9695,Barcelona,12,0.9133596722967923,0.076,1.0
9700,Barcelona,22,3.297981266863644,0.15,2.0
9700,Celta Vigo,10,1.6730029694736004,0.167,2.0
9717,Barcelona,16,3.2220452167093754,0.201,2.0
9717,Villarreal,9,0.5665643594693393,0.063,0.0
9726,Barcelona,23,6.151456352323294,0.267,4.0
9726,RC Deportivo La Coruña,10,0.31085187406279147,0.031,0.0
9736,Barcelona,18,3.343821994960308,0.186,3.0
9736,Real Madrid,13,0.9102945877239108,0.07,0.0
9742,Barcelona,16,2.3669606130570173,0.148,3.0
9742,Levante UD,9,0.68390444945544,0.076,0.0
9754,Barcelona,11,1.1561278644949198,0.105,4.0
9754,Real Sociedad,13,0.8557110540568829,0.066,2.0
9765,Barcelona,14,2.218575596809387,0.158,5.0
9765,Real Betis,7,0.34815817046910524,0.05,0.0
9774,Barcelona,18,2.238585386890918,0.124,2.0
9774,Deportivo Alavés,7,0.7808859464712441,0.112,1.0
9783,Barcelona,13,0.8272799151018262,0.064,1.0
9783,Espanyol,7,0.5659254267811775,0.081,1.0
9794,Barcelona,13,0.9532583309337497,0.073,0.0
9794,Getafe,10,0.39453325839713216,0.039,0.0
9799,Barcelona,10,2.8100772090256214,0.281,2.0
9799,Eibar,14,0.678735856898129,0.048,0.0
9811,Barcelona,21,2.6437342762947083,0.126,6.0
9811,Girona,10,0.765066597610712,0.077,1.0
9827,Las Palmas,12,1.23876569326967,0.103,1.0
9827,Barcelona,10,1.0450223367661238,0.105,1.0
9837,Barcelona,17,1.0886138724163175,0.064,1.0
9837,Atlético Madrid,5,0.19499151036143303,0.039,0.0
9855,Barcelona,17,1.527211494743824,0.09,2.0
9855,Athletic Club,10,0.6349357105791569,0.063,0.0
9860,Sevilla,21,2.6078045908361673,0.124,2.0
9860,Barcelona,20,2.052047034725547,0.103,2.0
9870,Barcelona,12,2.2368969321250916,0.186,3.0
9870,Leganés,11,0.6557361092418432,0.06,1.0
9880,Valencia,17,2.218951087910682,0.131,1.0
9880,Barcelona,12,1.6317848041653633,0.136,2.0
9889,Celta Vigo,18,2.4107103012502193,0.134,2.0
9889,Barcelona,14,2.1292711570858955,0.152,2.0
9912,Barcelona,21,3.1960888104513288,0.152,4.0
9912,RC Deportivo La Coruña,17,2.2408726662397385,0.132,2.0
9924,Real Madrid,17,1.7654617046937346,0.104,2.0
9924,Barcelona,11,1.0135680548846722,0.092,2.0
9928,Barcelona,13,2.911136655136943,0.224,5.0
9928,Villarreal,20,1.2547959154471755,0.063,1.0
9948,Barcelona,12,1.2681003715842962,0.106,1.0
9948,Real Sociedad,13,0.6855415273457766,0.053,0.0
15946,Barcelona,25,2.6599242156371474,0.106,3.0
15946,Deportivo Alavés,3,0.29210961796343327,0.097,0.0
15956,Barcelona,11,0.7582223657518625,0.069,1.0
15956,Real Valladolid,7,0.3382008830085397,0.048,0.0
15973,Barcelona,30,4.513569770380855,0.15,7.0
15973,Huesca,7,1.2647428726777434,0.181,2.0
15978,Barcelona,12,1.3981652408838272,0.117,2.0
15978,Real Sociedad,8,0.9144120346754789,0.114,1.0
15986,Barcelona,21,1.5024852193892002,0.072,2.0
15986,Girona,7,1.0692023234441876,0.153,2.0
15998,Leganés,9,1.0709114652127028,0.119,2.0
15998,Barcelona,9,0.5520772375166416,0.061,1.0
16010,Barcelona,20,2.753244085237384,0.138,1.0
16010,Athletic Club,8,0.485228163190186,0.061,1.0
16023,Valencia,10,1.3763194642961025,0.138,1.0
16023,Barcelona,10,0.39694711193442345,0.04,1.0
16029,Barcelona,23,2.397420293651521,0.104,4.0
16029,Sevilla,19,1.6889731008559465,0.089,1.0
16056,Barcelona,20,4.172701418399811,0.209,3.0
16056,Real Betis,15,2.021583877503872,0.135,4.0
16073,Barcelona,7,0.2964781913906336,0.042,1.0
16073,Atlético Madrid,3,0.14196990430355072,0.047,1.0
16079,Barcelona,15,1.0838477350771427,0.072,2.0
16079,Villarreal,12,0.8975263554602861,0.075,0.0
16086,Barcelona,17,2.313218727707863,0.136,4.0
16086,Espanyol,15,1.2246888931840658,0.082,0.0
